date,location_ISO_Code,location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,location_Level,city_or_Regency,province,country,continent,island,time_Zone,special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area_km2,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million+,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million+,Total_Deaths_per_100rb+,Case_Fatality_Rate,case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths,_source_row
11/29/21,ID-KI,Kalimantan Timur,8,0,5,3,158228,5449,152704,75,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,2.25,44543.78,0.0,1533.98,153.4,0,96.51,1.33,1.0,21645
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,16742
8/10/21,ID-KI,Kalimantan Timur,1546,79,2456,-989,133826,4124,110571,19131,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,435.22,37674.21,22.24,1160.97,116.1,0,82.62,1.44,1.1,17768
8/19/21,ID-KI,Kalimantan Timur,1100,71,1294,-265,143534,4715,126232,12587,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,309.67,40407.17,19.99,1327.35,132.73,0,87.95,1.72,0.99,18083
7/18/21,ID-JK,DKI Jakarta,9129,158,11852,-2881,746310,10166,627448,108696,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,841.68,68808.78,14.57,937.29,93.73,0,84.07,0.9,2.36,16952
7/24/21,ID-JK,DKI Jakarta,8359,151,14528,-6320,786879,11282,702387,73210,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,770.69,72549.19,13.92,1040.19,104.02,0,89.26,1.04,0.96,17162
7/25/21,ID-JK,DKI Jakarta,5394,157,14225,-8988,792273,11439,716612,64222,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,497.32,73046.51,14.48,1054.66,105.47,0,90.45,0.65,1.04,17197
7/16/21,ID-JK,DKI Jakarta,12416,132,8448,3836,727013,9941,603986,113086,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1144.74,67029.62,12.17,916.55,91.65,0,83.08,0.98,0.94,16882
9/7/21,ID-KI,Kalimantan Timur,400,13,701,-314,153310,5201,143604,4505,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,112.61,43159.28,3.66,1464.17,146.42,0,93.67,2.12,0.93,18748
8/28/21,ID-KI,Kalimantan Timur,462,18,629,-185,149476,5013,136631,7832,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,130.06,42079.94,5.07,1411.24,141.12,0,91.41,0.88,0.6,18398
