applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row
12/5/51,66,45100,596,Employed,Associate,44,42886,12,Single,2,Rent,578,0.243234771,6,3,0.261697206,0,Education,0,19,20,4926,394,452915,74650,3758.333333,0.66605797,7,378265,0.209886,0.1679088,3907.152184,1.193388608,0,47.0,12391
9/25/28,62,259278,576,Employed,Bachelor,37,21480,36,Divorced,0,Mortgage,475,0.28903283,3,2,0.112001956,0,Auto,0,20,12,14355,267,136162,10914,21606.5,0.785537834,7,125248,0.21848,0.239355879,841.9953925,0.060953666,1,35.2,3920
1/31/22,70,75903,532,Employed,High School,45,113452,60,Single,4,Mortgage,613,0.230672197,3,2,0.129225067,0,Debt Consolidation,1,26,20,3305,3048,35754,32582,6325.25,0.337897438,5,3172,0.352452,0.373239739,4196.740164,0.760403172,0,56.0,1491
11/11/24,75,88712,636,Self-Employed,Associate,53,27181,12,Single,1,Rent,649,0.339456317,1,0,0.180936625,0,Home,0,25,10,2212,3369,12524,47055,7392.666667,0.765856199,3,4483,0.174181,0.177746001,2489.039086,0.424479992,0,49.0,2506
8/7/39,47,114757,637,Employed,Bachelor,24,36175,72,Divorced,2,Rent,100,0.104069276,1,2,0.15887707,0,Debt Consolidation,0,23,11,15138,1207,419903,54452,9563.083333,0.846823759,7,365451,0.232675,0.24103139,954.6393228,0.110282352,1,31.2,7888
12/21/25,44,97359,600,Employed,Doctorate,21,96846,36,Married,1,Own,286,0.378240205,3,2,0.275600553,0,Education,0,19,17,1483,1113,175820,14275,8113.25,0.904904934,8,161545,0.281846,0.246553591,3832.949366,0.5076818,0,44.0,2911
3/27/23,66,252597,622,Unemployed,Bachelor,44,26125,60,Married,4,Rent,723,0.160604766,7,2,0.160931424,0,Debt Consolidation,0,24,12,13203,1062,101937,22184,21049.75,0.888548242,7,79753,0.220125,0.203750475,697.6158079,0.067488488,1,36.0,1911
11/1/62,37,261784,626,Unemployed,High School,17,38314,12,Married,0,Other,481,0.218592918,4,3,0.379040236,0,Home,0,15,13,218,364,191007,33516,21815.33333,0.71964123,8,157491,0.190314,0.161410943,3478.820777,0.181515483,1,38.4,16375
8/1/24,60,124263,625,Employed,Bachelor,34,32616,12,Married,1,Rent,301,0.133382981,3,2,0.147550114,0,Debt Consolidation,0,18,6,1997,4157,190082,84248,10355.25,0.624397619,4,105834,0.185116,0.193947524,3011.927165,0.319927299,1,33.6,2404
8/31/71,36,317379,611,Employed,Master,14,29404,36,Married,2,Mortgage,605,0.423524307,5,1,0.285881745,0,Debt Consolidation,0,26,8,1364,1939,40693,78536,15629.91667,0.895635263,8,5820,0.208904,0.225923471,1131.98263,0.111131919,1,39.2,19600
7/15/39,27,62127,615,Unemployed,Bachelor,4,92888,24,Married,2,Mortgage,903,0.246558626,3,1,0.486821908,0,Other,0,18,19,4171,481,64119,6378,5177.25,0.878523982,5,57741,0.260388,0.263549382,5020.944429,1.144226072,0,54.0,7865
1/16/69,42,87108,570,Employed,High School,19,43118,24,Widowed,1,Rent,244,0.12069787,4,1,0.055654953,0,Debt Consolidation,0,26,27,6034,3286,801121,9352,7259.0,0.656823507,4,791769,0.233118,0.192404296,2178.55883,0.333731758,1,32.0,18643
5/15/23,39,233264,618,Employed,Master,17,32720,36,Widowed,2,Own,317,0.299410722,2,0,0.054309596,0,Debt Consolidation,0,14,14,3718,3899,45496,63285,19438.66667,0.904599561,6,9746,0.20872,0.22133663,1251.855283,0.080707968,1,36.0,1960
2/27/54,77,84454,676,Unemployed,Bachelor,55,9856,36,Divorced,4,Mortgage,677,0.200482995,6,0,0.023847205,0,Home,0,22,25,3828,1027,2619627,20691,7037.833333,0.974493728,6,2598936,0.156856,0.148250876,340.8178625,0.14462091,1,30.4,13206
9/16/45,70,113277,671,Employed,Master,45,61521,48,Married,0,Own,466,0.40736714,3,2,0.122412087,0,Debt Consolidation,0,20,20,2118,7371,134904,16327,9439.75,0.724652206,6,118577,0.221021,0.219565669,1936.835064,0.254544354,0,40.0,10120
6/21/45,33,247516,658,Employed,Doctorate,12,23297,60,Single,1,Rent,584,0.489942144,2,2,0.299080626,0,Debt Consolidation,0,22,12,3026,3796,307881,35216,20626.33333,0.828677408,3,272665,0.199297,0.190717688,605.2573908,0.057657237,1,31.2,10033
7/28/46,42,205609,590,Employed,Bachelor,20,121782,84,Married,0,Mortgage,767,0.363718485,3,0,0.155298691,0,Education,0,26,19,1315,546,31673,177479,17134.08333,0.826319903,8,9550,0.351782,0.29498853,3441.164656,0.245601972,0,48.0,10435
2/8/22,47,422480,518,Employed,Master,27,50214,84,Divorced,1,Rent,397,0.145101012,1,0,0.248193425,0,Home,0,29,10,1756,2081,55293,9842,17952.58333,0.632131932,2,45451,0.316214,0.257883351,1296.417456,0.09432723,1,39.2,1499
9/4/59,55,216255,638,Unemployed,Bachelor,33,39518,60,Single,0,Rent,165,0.192362955,0,0,0.29850966,0,Debt Consolidation,0,32,23,689,754,47326,51258,18021.25,0.925037998,8,7909,0.225518,0.207694774,1063.976567,0.068195967,1,39.2,15221
2/28/53,43,177351,650,Employed,Master,22,36741,24,Married,3,Other,403,0.156771677,2,2,0.046849732,0,Education,0,17,14,3518,1539,121339,5542,14779.25,0.85097797,2,115797,0.186741,0.177511701,1829.84714,0.151079868,1,29.6,12842
4/2/43,51,206381,594,Employed,Associate,31,45207,48,Married,1,Own,573,0.250396148,2,0,0.526348291,0,Debt Consolidation,0,26,28,5856,235,62768,22136,17198.41667,0.798781994,5,40632,0.243207,0.217653077,1418.541531,0.115797958,1,44.8,9222
10/24/36,47,177380,511,Employed,Bachelor,24,60265,12,Married,3,Mortgage,570,0.303254061,4,2,0.29389766,0,Home,0,24,8,1711,438,34317,10644,14781.66667,0.898384041,5,23673,0.269765,0.232807923,5677.679354,0.422664067,1,40.8,6871
9/18/37,41,184873,549,Employed,Bachelor,16,82644,36,Married,4,Other,299,0.152745012,3,0,0.137331139,0,Education,0,26,29,5998,166,48305,6310,15406.08333,0.936164125,5,41995,0.293144,0.280902592,3422.483565,0.241559356,1,37.6,7200
7/15/34,49,126197,616,Employed,Master,26,115815,60,Married,2,Own,556,0.514982441,4,1,0.322913325,0,Other,0,19,16,9763,1946,172062,4030,10516.41667,0.901671514,3,168032,0.312815,0.324436965,3922.69059,0.425876107,0,46.0,6039
4/18/31,68,63858,673,Unemployed,Associate,46,70498,60,Married,0,Own,273,0.140741227,4,3,0.418633647,0,Other,0,30,22,2669,1804,178773,16732,5321.5,0.927127763,8,162041,0.238998,0.21598088,1931.002536,0.414169414,0,48.0,4855
8/3/43,38,138753,612,Employed,Associate,13,51169,36,Married,2,Rent,577,0.398093067,4,1,0.097390464,0,Education,0,26,16,6078,532,133109,78645,11562.75,0.888952652,7,54464,0.230169,0.222313996,1960.298059,0.21943725,1,34.4,9345
1/25/39,47,40089,642,Employed,Bachelor,22,52270,72,Divorced,1,Mortgage,318,0.523424887,3,1,0.363989187,0,Debt Consolidation,0,20,12,2611,1302,917728,69333,3340.75,0.815805456,7,848395,0.24627,0.220243074,1314.096951,0.488542079,1,36.0,7694
2/13/36,68,83267,595,Unemployed,Bachelor,43,50083,12,Single,0,Mortgage,182,0.302203866,5,2,0.420372458,0,Auto,0,17,22,736,1260,29754,25154,6938.916667,0.886532157,5,4600,0.217583,0.222172223,4692.724744,0.702519569,0,58.0,6617
11/25/64,34,287180,554,Self-Employed,Bachelor,10,26986,12,Married,3,Mortgage,194,0.280525921,1,1,0.510897632,0,Auto,0,24,12,4669,1045,87549,8943,23931.66667,0.75081599,1,78606,0.214986,0.197985517,2497.233714,0.112454922,1,45.6,17130
2/9/28,50,300000,658,Self-Employed,Master,25,31869,120,Married,0,Own,382,0.135259362,3,3,0.180687341,0,Debt Consolidation,0,25,1,828,2127,303110,29903,25000.0,0.476183286,4,273207,0.257869,0.3094428,862.4347364,0.049777389,1,33.6,3691
2/21/24,63,197055,587,Employed,High School,44,25115,24,Married,5,Rent,262,0.307764684,3,1,0.325549368,0,Auto,1,22,8,819,1479,69933,9347,16421.25,0.684489195,5,60586,0.206615,0.196667084,1274.162601,0.093547239,1,45.6,2242
8/7/64,50,38197,545,Employed,Master,27,127011,24,Single,5,Mortgage,418,0.273752369,3,1,0.132760437,0,Other,0,23,15,11841,1688,173889,45871,3183.083333,0.858537,9,128018,0.329511,0.32037334,7235.419792,2.404404469,0,47.0,17020
7/11/33,69,212504,548,Employed,Master,45,37150,120,Married,2,Mortgage,759,0.312548764,1,1,0.068001554,1,Debt Consolidation,1,19,11,855,1887,12151,26420,10145.58333,0.762813394,5,5727,0.31815,0.283770584,935.1051185,0.166979568,0,66.0,5670
10/12/55,57,260149,586,Employed,Bachelor,38,14921,12,Single,3,Rent,468,0.533150051,6,2,0.381630487,0,Home,0,22,2,773,403,10813,15254,21679.08333,0.921050396,4,7264,0.186921,0.219920004,1396.464294,0.086002912,1,45.6,13798
