date,location_ISO_Code,location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,location_Level,city_or_Regency,province,country,continent,island,time_Zone,special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area_km2,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million+,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million+,Total_Deaths_per_100rb+,Case_Fatality_Rate,case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths,_source_row,_source_algorithm,_source_file
8/5/21,ID-KI,Kalimantan Timur,2083,101,2000,-18,126029,3717,99794,22518,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,586.4,35479.23,28.43,1046.4,104.64,0,79.18,0.94,1.22,17593,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,16742,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv
9/2/21,ID-KI,Kalimantan Timur,503,13,589,-99,151738,5107,140169,6462,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,141.6,42716.73,3.66,1437.7,143.77,0,92.38,0.94,0.45,18573,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv
9/21/21,ID-KI,Kalimantan Timur,192,3,263,-74,155953,5347,148712,1894,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,54.05,43903.33,0.84,1505.27,150.53,0,95.36,1.85,1.0,19238,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv
10/8/21,ID-KI,Kalimantan Timur,60,3,90,-33,157297,5396,151166,735,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,16.89,44281.68,0.84,1519.06,151.91,0,96.1,0.74,0.6,19833,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv
9/17/21,ID-KI,Kalimantan Timur,233,7,377,-151,155398,5325,147647,2426,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,65.59,43747.08,1.97,1499.07,149.91,0,95.01,2.26,0.88,19098,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv
10/7/21,ID-KI,Kalimantan Timur,81,5,81,-5,157237,5393,151076,768,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,22.8,44264.79,1.41,1518.22,151.82,0,96.08,1.5,1.074145242,19798,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv
8/5/21,ID-KI,Kalimantan Timur,2083,101,2000,-18,126029,3717,99794,22518,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,586.4,35479.23,28.43,1046.4,104.64,0,79.18,0.94,1.22,17593,AGEMOEA2,outputs\AGEMOEA2\Data_COVID19_Indonesia.csv
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,16742,AGEMOEA2,outputs\AGEMOEA2\Data_COVID19_Indonesia.csv
10/23/21,ID-KI,Kalimantan Timur,34,0,47,-13,157791,5436,152066,289,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,9.57,44420.75,0.0,1530.32,153.03,0,96.37,1.06,0.0,20358,AGEMOEA2,outputs\AGEMOEA2\Data_COVID19_Indonesia.csv
