num,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties+,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength+,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,_source_row,_source_algorithm,_source_file
1298,1525,0,76,66,79,69,70,48,84,65,67,80,79,80,75,74,90,70,68,57,72,65,66,70,63,59,70,73,76,36,80,45,49,42,89,78,89,77,0,3,4,0,0,0,0,37,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1298,AGEMOEA,outputs\AGEMOEA\all_players.csv
1248,1525,0,76,60,77,59,65,45,82,54,65,78,82,79,63,74,86,63,41,30,69,62,60,68,38,32,76,73,68,41,87,33,48,36,82,66,92,79,0,3,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1248,AGEMOEA,outputs\AGEMOEA\all_players.csv
1298,1525,0,76,66,79,69,70,48,84,65,67,80,79,80,75,74,90,70,68,57,72,65,66,70,63,59,70,73,76,36,80,45,49,42,89,78,89,77,0,3,4,0,0,0,0,37,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1298,AGEMOEA2,outputs\AGEMOEA2\all_players.csv
1248,1525,0,76,60,77,59,65,45,82,54,65,78,82,79,63,74,86,63,41,30,69,62,60,68,38,32,76,73,68,41,87,33,48,36,82,66,92,79,0,3,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1248,AGEMOEA2,outputs\AGEMOEA2\all_players.csv
1298,1525,0,76,66,79,69,70,48,84,65,67,80,79,80,75,74,90,70,68,57,72,65,66,70,63,59,70,73,76,36,80,45,49,42,89,78,89,77,0,3,4,0,0,0,0,37,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1298,combined_frontiers,outputs\combined_frontiers\all_players.csv
1248,1525,0,76,60,77,59,65,45,82,54,65,78,82,79,63,74,86,63,41,30,69,62,60,68,38,32,76,73,68,41,87,33,48,36,82,66,92,79,0,3,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1248,combined_frontiers,outputs\combined_frontiers\all_players.csv
2513,2882,0,73,47,73,67,72,35,78,35,56,75,74,79,63,68,78,72,60,50,74,62,59,74,42,67,69,80,75,24,73,40,30,21,77,61,93,63,0,3,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,2513,combined_frontiers,outputs\combined_frontiers\all_players.csv
1757,2318,0,74,50,74,60,63,32,87,47,52,79,75,77,68,73,73,67,44,68,69,55,49,65,38,32,73,72,71,22,86,27,26,31,88,70,95,89,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1757,combined_frontiers,outputs\combined_frontiers\all_players.csv
2513,2882,0,73,47,73,67,72,35,78,35,56,75,74,79,63,68,78,72,60,50,74,62,59,74,42,67,69,80,75,24,73,40,30,21,77,61,93,63,0,3,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,2513,NSGA3,outputs\NSGA3\all_players.csv
1757,2318,0,74,50,74,60,63,32,87,47,52,79,75,77,68,73,73,67,44,68,69,55,49,65,38,32,73,72,71,22,86,27,26,31,88,70,95,89,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1757,NSGA3,outputs\NSGA3\all_players.csv
1757,2318,0,74,50,74,60,63,32,87,47,52,79,75,77,68,73,73,67,44,68,69,55,49,65,38,32,73,72,71,22,86,27,26,31,88,70,95,89,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1757,RVEA,outputs\RVEA\all_players.csv
