applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row,_source_algorithm,_source_file,_runtime_sec
8/12/69,80,51166,641,Unemployed,Doctorate,53,26447,60,Married,0,Rent,440,0.198761195,4,3,0.431115733,1,Auto,0,19,2,2115,3478,222417,43714,4263.833333,0.877062833,3,178703,0.210947,0.192689347,689.9692722,0.265012533,0,67.0,1,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
3/29/45,55,111521,664,Self-Employed,Bachelor,36,39969,12,Married,4,Other,510,0.399567597,3,1,0.169255616,0,Auto,0,20,5,7779,2547,13000,29542,9293.416667,0.991577922,8,9969,0.172969,0.172729387,3650.541843,0.447687002,0,48.0,2,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
6/18/26,18,40656,555,Employed,Bachelor,0,54201,24,Single,2,Rent,299,0.532754284,3,2,0.271435199,0,Home,0,24,26,1351,1982,824255,23212,3388.0,0.793322458,6,801043,0.251701,0.226117882,2828.249833,0.923037141,0,46.0,378,RVEA,outputs\RVEA\Loan.csv,0.20563817024230957
10/29/49,66,98488,689,Self-Employed,Doctorate,40,18901,12,Married,3,Own,116,0.186333113,3,1,0.084690349,0,Auto,0,21,29,3219,4173,78674,6051,8207.333333,0.852768149,5,72623,0.139401,0.157968791,1713.087689,0.222860168,1,34.4,30,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
4/12/32,46,223250,660,Employed,Doctorate,22,67594,108,Married,2,Other,688,0.1560828,3,1,0.245839446,0,Auto,1,24,2,3725,469,256099,109183,18604.16667,0.99403355,7,146916,0.282594,0.290789355,1771.405105,0.132196467,0,49.0,163,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
8/17/29,41,138655,578,Employed,Doctorate,21,63013,60,Married,0,Mortgage,199,0.342184982,5,3,0.245571254,0,Education,1,28,14,2419,3899,36453,8506,11554.58333,0.874854288,5,27947,0.279013,0.267643058,1915.255712,0.182979832,0,56.0,29,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
5/3/62,35,101157,553,Self-Employed,Bachelor,10,78093,24,Married,0,Other,185,0.273201631,1,2,0.4664201,0,Debt Consolidation,0,18,10,268,517,31183,32563,8429.75,0.63038319,6,9610,0.276593,0.302634906,4376.998717,0.541178412,0,58.0,22,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
11/11/20,50,97074,618,Employed,Bachelor,26,84004,96,Single,5,Other,342,0.11322163,1,1,0.19434845,0,Home,0,18,14,1046,380,24399,9398,8089.5,0.930795873,3,15001,0.310004,0.296707332,2297.285157,0.326260604,0,45.0,48,AGEMOEA2,outputs\AGEMOEA2\Loan.csv,0.20563817024230957
1/2/34,33,30141,626,Employed,Bachelor,13,127945,48,Widowed,1,Own,362,0.444687657,3,2,0.353479859,0,Auto,0,22,8,2344,1533,18482,13938,2511.75,0.889006968,7,4544,0.309945,0.309110796,4674.831067,2.005307482,0,54.0,239,NSGA2,outputs\NSGA2\Loan.csv,0.20563817024230957
2/9/28,50,300000,658,Self-Employed,Master,25,31869,120,Married,0,Own,382,0.135259362,3,3,0.180687341,0,Debt Consolidation,0,25,1,828,2127,303110,29903,25000.0,0.476183286,4,273207,0.257869,0.3094428,862.4347364,0.049777389,1,33.6,37,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
1/31/22,70,75903,532,Employed,High School,45,113452,60,Single,4,Mortgage,613,0.230672197,3,2,0.129225067,0,Debt Consolidation,1,26,20,3305,3048,35754,32582,6325.25,0.337897438,5,3172,0.352452,0.373239739,4196.740164,0.760403172,0,56.0,97,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
9/24/55,67,300000,631,Employed,Doctorate,45,33117,84,Divorced,1,Own,719,0.232527947,3,1,0.263670621,0,Auto,0,23,12,4569,792,31861,194006,25000.0,0.92328342,7,1395,0.242617,0.264746169,869.7195878,0.063548784,1,37.6,137,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
4/2/59,47,485341,620,Employed,Bachelor,25,35042,48,Widowed,2,Own,270,0.718531386,6,0,0.168096677,0,Auto,0,18,26,3588,659,86133,85134,24935.83333,0.769073683,4,4581,0.220042,0.23455672,1131.914177,0.056220867,1,37.6,90,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
1/18/20,30,81960,634,Self-Employed,Bachelor,9,158686,96,Divorced,1,Own,1269,0.418233345,5,2,0.439739734,0,Home,0,29,18,3698,539,20061,27339,6830.0,0.81622224,8,8738,0.376686,0.333554106,4752.743035,0.881660766,0,56.0,213,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
7/19/42,21,119311,636,Unemployed,Doctorate,0,33124,48,Married,1,Rent,371,0.085207459,2,0,0.22960142,0,Home,0,16,15,1686,2888,436491,15767,9942.583333,0.669207443,9,420724,0.210124,0.230757768,1063.048626,0.144233,1,35.2,235,NSGA2,outputs\NSGA2\Loan.csv,0.20563817024230957
8/19/33,62,48153,635,Employed,High School,41,93360,48,Married,2,Own,346,0.25782988,2,1,0.19213319,0,Debt Consolidation,0,23,25,5832,1931,211956,27486,4012.75,0.720950784,6,184470,0.27086,0.257957544,3137.129203,0.868015501,0,44.0,144,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
8/5/44,36,88887,613,Employed,Associate,16,15328,12,Single,1,Own,561,0.265655133,9,0,0.13844279,0,Auto,0,21,20,1793,331,876456,67530,7407.25,0.861921662,6,808926,0.173828,0.17152688,1399.09736,0.264618767,1,30.4,127,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
11/15/47,39,113447,614,Employed,Master,17,101338,60,Single,2,Own,365,0.331162764,3,1,0.211756616,0,Education,0,16,15,5524,2523,273613,13194,9453.916667,0.968977616,8,260419,0.299338,0.281553863,3164.74823,0.373363586,0,42.0,201,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
4/29/70,50,81855,494,Employed,Bachelor,29,93799,12,Single,2,Mortgage,839,0.203494814,3,0,0.124414332,0,Other,1,23,23,822,471,24735,57695,6821.25,0.877243471,5,10607,0.311799,0.315764269,9217.082609,1.474228713,0,55.0,160,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
11/24/27,48,122915,472,Employed,High School,27,115410,48,Widowed,2,Mortgage,341,0.527655292,3,1,0.221992022,0,Home,0,30,6,8525,4490,53919,24957,10242.91667,0.892904614,6,28962,0.37441,0.379182938,4703.345737,0.492471617,0,53.0,206,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
6/15/72,35,245787,605,Employed,Doctorate,13,19117,24,Single,2,Mortgage,461,0.247391252,2,1,0.041421369,0,Debt Consolidation,0,22,12,13712,7630,35014,93403,20482.25,0.830070087,2,4516,0.191617,0.1532936,929.9135476,0.06790824,1,36.0,87,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
9/24/27,70,280976,571,Employed,Doctorate,47,18911,48,Single,3,Mortgage,616,0.410117812,4,0,0.549132382,0,Education,0,19,7,249,694,57848,54549,23414.66667,0.857224599,6,3299,0.228411,0.213394504,589.0504918,0.051465627,1,46.4,117,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
3/23/66,64,93725,635,Employed,Bachelor,41,49626,72,Single,4,Own,482,0.750798909,0,0,0.307314671,0,Home,0,30,3,1165,819,22662,4471,7810.416667,0.877885861,7,18191,0.247126,0.282777131,1438.296442,0.245863508,0,55.0,18,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
2/27/54,77,84454,676,Unemployed,Bachelor,55,9856,36,Divorced,4,Mortgage,677,0.200482995,6,0,0.023847205,0,Home,0,22,25,3828,1027,2619627,20691,7037.833333,0.974493728,6,2598936,0.156856,0.148250876,340.8178625,0.14462091,1,30.4,272,NSGA3,outputs\NSGA3\Loan.csv,0.20563817024230957
10/23/35,52,300000,609,Employed,Bachelor,28,8499,36,Single,1,Own,308,0.27899552,4,0,0.036773123,0,Other,0,22,14,2742,176,141485,11596,25000.0,0.674273997,6,129889,0.188999,0.181850805,308.0488792,0.024641955,1,32.8,202,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
3/27/23,66,252597,622,Unemployed,Bachelor,44,26125,60,Married,4,Rent,723,0.160604766,7,2,0.160931424,0,Debt Consolidation,0,24,12,13203,1062,101937,22184,21049.75,0.888548242,7,79753,0.220125,0.203750475,697.6158079,0.067488488,1,36.0,222,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
