date,location_ISO_Code,location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,location_Level,city_or_Regency,province,country,continent,island,time_Zone,special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area_km2,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million+,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million+,Total_Deaths_per_100rb+,Case_Fatality_Rate,case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths,_source_row,_source_algorithm,_source_file,_runtime_sec
7/16/21,ID-JK,DKI Jakarta,12416,132,8448,3836,727013,9941,603986,113086,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1144.74,67029.62,12.17,916.55,91.65,0,83.08,0.98,0.94,59,CTAEA,outputs\CTAEA\Data_COVID19_Indonesia.csv,0.722022294998169
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,1,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv,0.722022294998169
7/15/21,ID-JK,DKI Jakarta,12691,141,3034,9516,714597,9809,595538,109250,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1170.09,65884.88,13.0,904.38,90.44,0,83.34,1.0,2.24,26,AGEMOEA2,outputs\AGEMOEA2\Data_COVID19_Indonesia.csv,0.722022294998169
7/24/21,ID-JK,DKI Jakarta,8359,151,14528,-6320,786879,11282,702387,73210,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,770.69,72549.19,13.92,1040.19,104.02,0,89.26,1.04,0.96,58,CTAEA,outputs\CTAEA\Data_COVID19_Indonesia.csv,0.722022294998169
7/18/21,ID-JK,DKI Jakarta,9129,158,11852,-2881,746310,10166,627448,108696,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,841.68,68808.78,14.57,937.29,93.73,0,84.07,0.9,2.36,43,CTAEA,outputs\CTAEA\Data_COVID19_Indonesia.csv,0.722022294998169
8/11/21,ID-KI,Kalimantan Timur,1843,64,1928,-149,135669,4188,112499,18982,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,518.83,38193.05,18.02,1178.99,117.9,0,82.92,1.19,0.81,40,AGEMOEA2,outputs\AGEMOEA2\Data_COVID19_Indonesia.csv,0.722022294998169
8/5/21,ID-KI,Kalimantan Timur,2083,101,2000,-18,126029,3717,99794,22518,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,586.4,35479.23,28.43,1046.4,104.64,0,79.18,0.94,1.22,0,AGEMOEA,outputs\AGEMOEA\Data_COVID19_Indonesia.csv,0.722022294998169
8/19/21,ID-KI,Kalimantan Timur,1100,71,1294,-265,143534,4715,126232,12587,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,309.67,40407.17,19.99,1327.35,132.73,0,87.95,1.72,0.99,71,NSGA2,outputs\NSGA2\Data_COVID19_Indonesia.csv,0.722022294998169
9/9/21,ID-KI,Kalimantan Timur,273,16,454,-197,153941,5230,144526,4185,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,76.85,43336.92,4.5,1472.33,147.23,0,93.88,0.76,1.23,82,NSGA2,outputs\NSGA2\Data_COVID19_Indonesia.csv,0.722022294998169
8/24/21,ID-KI,Kalimantan Timur,791,38,1089,-336,146989,4889,132648,9452,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,222.68,41379.81,10.7,1376.33,137.63,0,90.24,1.62,1.31,81,NSGA2,outputs\NSGA2\Data_COVID19_Indonesia.csv,0.722022294998169
