applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row,_source_algorithm,_source_file,_runtime_sec
4/22/55,56,79152,662,Employed,Bachelor,35,41949,36,Married,1,Rent,770,0.232091405,2,0,0.028617883,0,Home,0,22,22,2989,2540,580445,18482,6596.0,0.598107085,9,561963,0.195949,0.198194425,1555.118579,0.352504333,1,28.8,267,NSGA3,outputs\NSGA3\Loan.csv,0.07897472381591797
10/23/35,52,300000,609,Employed,Bachelor,28,8499,36,Single,1,Own,308,0.27899552,4,0,0.036773123,0,Other,0,22,14,2742,176,141485,11596,25000.0,0.674273997,6,129889,0.188999,0.181850805,308.0488792,0.024641955,1,32.8,202,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
11/12/61,69,80411,550,Unemployed,Bachelor,47,55511,72,Married,2,Own,982,0.04553411,3,2,0.451864053,1,Debt Consolidation,0,21,2,768,713,70652,36742,6700.916667,0.889152108,6,33910,0.295511,0.263845749,1542.815435,0.376786574,0,73.0,129,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
8/1/40,80,111290,565,Employed,Bachelor,59,28390,24,Widowed,1,Other,167,0.320006499,4,2,0.035895771,0,Home,0,20,27,946,2555,13554,11104,9274.166667,0.831690611,6,2450,0.22089,0.231449169,1488.921528,0.178552056,1,39.2,306,NSGA3,outputs\NSGA3\Loan.csv,0.07897472381591797
7/19/42,21,119311,636,Unemployed,Doctorate,0,33124,48,Married,1,Rent,371,0.085207459,2,0,0.22960142,0,Home,0,16,15,1686,2888,436491,15767,9942.583333,0.669207443,9,420724,0.210124,0.230757768,1063.048626,0.144233,1,35.2,235,NSGA2,outputs\NSGA2\Loan.csv,0.07897472381591797
5/4/20,57,23755,646,Employed,Bachelor,35,103005,60,Married,2,Other,337,0.071154117,3,1,0.19886726,0,Debt Consolidation,1,28,10,4214,2349,18980,88302,1979.583333,0.711285653,7,7450,0.285005,0.276227634,3183.744021,1.778527815,0,54.0,408,RVEA,outputs\RVEA\Loan.csv,0.07897472381591797
4/1/32,68,49615,583,Employed,High School,45,26949,12,Divorced,4,Own,715,0.152536228,2,1,0.428224465,1,Other,0,26,24,22790,12555,68162,2502,4134.583333,0.797284724,1,65660,0.200449,0.2405388,2548.98931,0.789436092,0,66.0,406,RVEA,outputs\RVEA\Loan.csv,0.07897472381591797
7/11/33,69,212504,548,Employed,Master,45,37150,120,Married,2,Mortgage,759,0.312548764,1,1,0.068001554,1,Debt Consolidation,1,19,11,855,1887,12151,26420,10145.58333,0.762813394,5,5727,0.31815,0.283770584,935.1051185,0.166979568,0,66.0,317,NSGA3,outputs\NSGA3\Loan.csv,0.07897472381591797
1/18/20,30,81960,634,Self-Employed,Bachelor,9,158686,96,Divorced,1,Own,1269,0.418233345,5,2,0.439739734,0,Home,0,29,18,3698,539,20061,27339,6830.0,0.81622224,8,8738,0.376686,0.333554106,4752.743035,0.881660766,0,56.0,213,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
10/11/28,54,184385,566,Employed,Master,34,66131,60,Single,1,Own,430,0.602946105,4,1,0.433550497,0,Education,0,24,1,3794,3861,46472,36780,15365.41667,0.853968225,3,9692,0.288131,0.284168928,2075.707098,0.163074465,0,60.0,70,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
1/2/34,33,30141,626,Employed,Bachelor,13,127945,48,Widowed,1,Own,362,0.444687657,3,2,0.353479859,0,Auto,0,22,8,2344,1533,18482,13938,2511.75,0.889006968,7,4544,0.309945,0.309110796,4674.831067,2.005307482,0,54.0,239,NSGA2,outputs\NSGA2\Loan.csv,0.07897472381591797
6/21/45,33,247516,658,Employed,Doctorate,12,23297,60,Single,1,Rent,584,0.489942144,2,2,0.299080626,0,Debt Consolidation,0,22,12,3026,3796,307881,35216,20626.33333,0.828677408,3,272665,0.199297,0.190717688,605.2573908,0.057657237,1,31.2,80,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
1/31/22,70,75903,532,Employed,High School,45,113452,60,Single,4,Mortgage,613,0.230672197,3,2,0.129225067,0,Debt Consolidation,1,26,20,3305,3048,35754,32582,6325.25,0.337897438,5,3172,0.352452,0.373239739,4196.740164,0.760403172,0,56.0,97,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
4/12/32,46,223250,660,Employed,Doctorate,22,67594,108,Married,2,Other,688,0.1560828,3,1,0.245839446,0,Auto,1,24,2,3725,469,256099,109183,18604.16667,0.99403355,7,146916,0.282594,0.290789355,1771.405105,0.132196467,0,49.0,163,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
4/22/62,51,103833,600,Unemployed,High School,31,67952,48,Single,2,Rent,669,0.425762288,6,0,0.225695816,0,Debt Consolidation,0,31,12,2798,1393,84137,44604,8652.75,0.63117009,8,39533,0.262952,0.276424439,2354.391122,0.3494139,0,52.0,331,NSGA3,outputs\NSGA3\Loan.csv,0.07897472381591797
4/1/58,35,171188,528,Unemployed,Bachelor,16,48682,96,Single,0,Other,212,0.326853476,4,1,0.563796373,0,Home,0,24,18,8664,1042,521118,25647,14265.66667,0.941678981,8,495471,0.319682,0.293030759,1318.898769,0.10731351,1,42.4,240,NSGA2,outputs\NSGA2\Loan.csv,0.07897472381591797
8/7/46,42,96629,461,Employed,Doctorate,20,38438,12,Single,1,Other,611,0.132571319,3,1,0.460591868,0,Home,0,22,13,2888,2774,330199,21768,8052.416667,0.77092378,4,308431,0.272938,0.236420312,3628.026213,0.52642907,1,38.4,36,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.07897472381591797
5/7/52,30,260421,489,Employed,Bachelor,7,21143,12,Single,2,Rent,587,0.164688483,2,1,0.217908273,0,Education,1,30,1,2770,1927,169773,146280,21701.75,0.618659907,5,23493,0.241643,0.227063867,1986.060906,0.118564674,1,47.2,377,RVEA,outputs\RVEA\Loan.csv,0.07897472381591797
10/18/26,60,72973,549,Employed,Bachelor,34,72649,24,Widowed,1,Rent,241,0.115825748,6,0,0.200255659,0,Debt Consolidation,0,20,13,2998,5543,248997,20539,6081.083333,0.61355482,4,228458,0.273149,0.287647234,4015.959429,0.700033069,0,47.0,136,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
10/17/52,79,168699,636,Employed,Bachelor,58,20991,60,Married,2,Rent,188,0.526485391,2,1,0.248187119,0,Debt Consolidation,1,26,6,1006,858,48360,36994,14058.25,0.777703265,7,11366,0.207991,0.199244023,555.2505226,0.052869349,1,44.8,168,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
6/27/22,64,151905,694,Unemployed,Doctorate,40,34902,60,Married,2,Own,213,0.595258492,5,1,0.142949522,0,Education,0,16,23,1041,2466,15585,12935,12658.75,0.762943118,2,2650,0.192902,0.219907257,963.7712355,0.092961093,1,36.8,195,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
2/26/60,59,92922,665,Employed,Doctorate,36,80250,36,Single,0,Own,294,0.130305737,3,2,0.242026369,0,Home,0,21,24,1311,158,155885,15354,7743.5,0.760648769,3,140531,0.23275,0.264138599,3251.040505,0.45780855,0,40.0,3,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.07897472381591797
9/3/36,63,97259,611,Self-Employed,Bachelor,41,19885,36,Single,0,Own,1008,0.312688233,4,2,0.208455185,0,Home,0,15,20,5742,168,1628933,33156,8104.916667,0.830906709,6,1595777,0.199385,0.214841484,754.1208185,0.217413811,1,34.4,46,AGEMOEA2,outputs\AGEMOEA2\Loan.csv,0.07897472381591797
9/11/64,63,268623,616,Employed,High School,39,38750,72,Single,2,Own,566,0.405035041,2,0,0.359767245,0,Debt Consolidation,0,25,29,1808,433,103504,25222,22385.25,0.744045943,8,78282,0.24575,0.260585006,1069.124823,0.073044743,1,38.4,106,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
7/15/39,27,62127,615,Unemployed,Bachelor,4,92888,24,Married,2,Mortgage,903,0.246558626,3,1,0.486821908,0,Other,0,18,19,4171,481,64119,6378,5177.25,0.878523982,5,57741,0.260388,0.263549382,5020.944429,1.144226072,0,54.0,73,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
7/15/34,49,126197,616,Employed,Master,26,115815,60,Married,2,Own,556,0.514982441,4,1,0.322913325,0,Other,0,19,16,9763,1946,172062,4030,10516.41667,0.901671514,3,168032,0.312815,0.324436965,3922.69059,0.425876107,0,46.0,223,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
8/7/64,50,38197,545,Employed,Master,27,127011,24,Single,5,Mortgage,418,0.273752369,3,1,0.132760437,0,Other,0,23,15,11841,1688,173889,45871,3183.083333,0.858537,9,128018,0.329511,0.32037334,7235.419792,2.404404469,0,47.0,190,CTAEA,outputs\CTAEA\Loan.csv,0.07897472381591797
