experienced_professionals,r_5_minutes,presence_d,r_8_hours,po_alone,two_half_weeks,google_docs,pb_id,physical,sm_devteam,daily,three_weeks,status,story_points_and_points_of_value,from_6_to_8,google_group,apo6,apo5,roles,apo4,apo3,apo2,two,apo1,artifacts,many_times_a_day,t_15_to_35_minutes,estimated_time,sprint,planning,blocked,rp,estimate,selection,one,twice_a_week,equal_9,sb,more_two,devteam2,events,less_3,chat,sm,progress,num_persons,rules,lenght,planning_poker,composing_dt,frequency,one_week,po_devteam,online,user_stories,email,three_hours,three_times_week,one_week_p,po_devteam2,atd12,one_week_1,in_progress,atd10,atd11,more_9,representation,composing,loes,physical_dt,presence_dt,num_person_dt,time_d,cpo10,prioritization,time,review,sixteen_hours,cpo1,time_p,four_weeks,cpo2,two_hours,cpo4,cpo5,cpo6,devteam,cpo7,cpo8,cpo9,from_4_to_5,increment,scrumteam,presence,dailyscrum,eight_weeks,scrum_sml,t_5_minutes,activities,two_weeks,activities_dt,ppo1,use_cases,ppo2,apo11,not_started,apo13,virtual,apo14,t_15_minutes,time_r,t_15_to_20_minutes,pb,po_sm_devteam,atd8,completed,atd7,developer,atd6,refinery_requirements,atd5,atd3,atd2,po,Cost-,Defects-,Featuresused+,_source_row,_source_algorithm,_source_file,_runtime_sec
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,235,28,30,48,CTAEA,outputs\CTAEA\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,235,29,31,60,CTAEA,outputs\CTAEA\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,234,30,30,67,MOEAD,outputs\MOEAD\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,238,27,30,114,NSGA3,outputs\NSGA3\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,238,28,31,61,CTAEA,outputs\CTAEA\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,239,28,31,36,AGEMOEA2,outputs\AGEMOEA2\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,241,28,31,128,RVEA,outputs\RVEA\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,240,29,32,71,MOEAD,outputs\MOEAD\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,241,29,33,11,AGEMOEA,outputs\AGEMOEA\Scrum100k.csv,0.1150062084197998
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,242,30,33,132,RVEA,outputs\RVEA\Scrum100k.csv,0.1150062084197998
