CLIENTNUM,attrition_Flag,Customer_Age,gender,Dependent_count,education_Level,marital_Status,income_Category,card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit+,Total_Revolving_Bal+,Avg_Open_To_Buy+,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1+,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,_source_row,_source_algorithm,_source_file,_runtime_sec
714959358,Attrited Customer,50,M,3,High School,Married,$80K - $120K,Silver,36,5,3,3,34516.0,2292,32224.0,0.876,8045,71,0.868,0.066,0.99639,0.00361254,1,AGEMOEA,outputs\AGEMOEA\BankChurners.csv,0.7672920227050781
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,4,3,2,34516.0,1440,33076.0,1.117,1575,34,2.4,0.042,0.00015255,0.99985,9,AGEMOEA,outputs\AGEMOEA\BankChurners.csv,0.7672920227050781
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0.00015398,0.99985,260,MOEAD,outputs\MOEAD\BankChurners.csv,0.7672920227050781
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34,4,1,2,21573.0,1585,19988.0,0.621,1384,36,2.273,0.073,6.35e-05,0.99994,103,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0.00015785,0.99984,122,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,3,34516.0,2177,32339.0,1.32,1234,23,1.875,0.063,0.00026573,0.99973,24,AGEMOEA,outputs\AGEMOEA\BankChurners.csv,0.7672920227050781
771359958,Existing Customer,39,M,4,Unknown,Single,$120K +,Silver,26,6,2,2,34516.0,2517,31999.0,0.887,1689,42,1.1,0.073,0.00011856,0.99988,105,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0.00020643,0.99979,83,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
712206858,Existing Customer,39,M,3,Graduate,Married,$120K +,Blue,36,3,3,2,32964.0,2231,30733.0,1.731,3094,45,1.647,0.068,0.00018665,0.99981,353,NSGA3,outputs\NSGA3\BankChurners.csv,0.7672920227050781
714754533,Existing Customer,51,M,0,Doctorate,Single,$120K +,Platinum,44,3,2,3,34516.0,1925,32591.0,0.764,8012,87,0.582,0.056,0.00041292,0.99959,157,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
713989233,Existing Customer,61,M,0,Post-Graduate,Married,Unknown,Blue,53,6,2,3,14434.0,1927,12507.0,2.675,1731,32,3.571,0.134,0.0001933,0.99981,147,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
789920883,Existing Customer,45,F,3,Graduate,Single,Unknown,Blue,36,3,3,4,11189.0,2517,8672.0,2.041,2959,58,1.231,0.225,0.00053543,0.99946,183,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,6.35e-05,0.99994,342,NSGA3,outputs\NSGA3\BankChurners.csv,0.7672920227050781
712768983,Attrited Customer,51,M,4,Graduate,Single,$80K - $120K,Silver,42,6,4,2,34516.0,230,34286.0,1.004,8629,65,0.548,0.007,0.99517,0.00483011,115,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
717757608,Existing Customer,53,M,2,College,Single,$120K +,Gold,36,2,1,1,34516.0,1051,33465.0,0.863,8938,114,0.676,0.03,3.72e-05,0.99996,79,CTAEA,outputs\CTAEA\BankChurners.csv,0.7672920227050781
