algorithm,dataset,reference_rows,hv,spread,igd,mdh,output_file
NSGA2,all_players.csv,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.1060786185288338,outputs\pass3\NSGA2\all_players.csv
MOEAD,all_players.csv,4,0.3683333333333335,0.5604063657179348,0.5287444986469565,0.9445364786513657,outputs\pass3\MOEAD\all_players.csv
NSGA3,all_players.csv,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.1060786185288338,outputs\pass3\NSGA3\all_players.csv
UNSGA3,all_players.csv,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.1060786185288338,outputs\pass3\UNSGA3\all_players.csv
RNSGA3,all_players.csv,4,0.6083333333333335,0.7304869000270375,0.33135865130526226,0.7416666666666667,outputs\pass3\RNSGA3\all_players.csv
RVEA,all_players.csv,4,0.6095689655172415,0.42730502352963146,0.39007173009818225,0.8229075274897589,outputs\pass3\RVEA\all_players.csv
AGEMOEA,all_players.csv,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.106078618528834,outputs\pass3\AGEMOEA\all_players.csv
AGEMOEA2,all_players.csv,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.106078618528834,outputs\pass3\AGEMOEA2\all_players.csv
CTAEA,all_players.csv,4,0.7452490421455941,0.44688551116577796,0.3378731370596842,0.7427843579848602,outputs\pass3\CTAEA\all_players.csv
NSGA2,BankChurners.csv,34,1.1036359948340428,0.7461670215066286,0.05406389912751308,0.9205133090355194,outputs\pass3\NSGA2\BankChurners.csv
MOEAD,BankChurners.csv,34,0.6703739497677321,0.27793434409891854,0.0978643338114484,0.8675054302217259,outputs\pass3\MOEAD\BankChurners.csv
NSGA3,BankChurners.csv,34,0.9540567590020846,0.7920212048034403,0.08684488639842923,0.9162381407196476,outputs\pass3\NSGA3\BankChurners.csv
UNSGA3,BankChurners.csv,34,0.953264049842578,0.7726277045195605,0.08602595002630126,0.9075522721332815,outputs\pass3\UNSGA3\BankChurners.csv
RNSGA3,BankChurners.csv,34,1.1298011934905419,0.6910098515752099,0.4606349603572719,0.4883356291980127,outputs\pass3\RNSGA3\BankChurners.csv
RVEA,BankChurners.csv,34,1.0239647900158435,0.5638905922842612,0.09781251494100418,0.8945008005845437,outputs\pass3\RVEA\BankChurners.csv
AGEMOEA,BankChurners.csv,34,0.9522946061026624,0.6820787146684788,0.037584388749018566,0.9417881765170082,outputs\pass3\AGEMOEA\BankChurners.csv
AGEMOEA2,BankChurners.csv,34,1.121136962078421,0.7229404278817236,0.06582810654712588,0.8780216759242679,outputs\pass3\AGEMOEA2\BankChurners.csv
CTAEA,BankChurners.csv,34,0.9601199035128145,0.34963674129998773,0.01600941335493254,0.9186834253406878,outputs\pass3\CTAEA\BankChurners.csv
NSGA2,Data_COVID19_Indonesia.csv,22,0.39939117185389533,0.6532960486162105,0.022691434900538418,1.0444130401969203,outputs\pass3\NSGA2\Data_COVID19_Indonesia.csv
MOEAD,Data_COVID19_Indonesia.csv,22,0.35692361584662324,0.6859376427716739,0.09142328357868588,1.1544127740277097,outputs\pass3\MOEAD\Data_COVID19_Indonesia.csv
NSGA3,Data_COVID19_Indonesia.csv,22,0.36050364525351686,0.7114069306175378,0.03613399659039086,1.0525481875893739,outputs\pass3\NSGA3\Data_COVID19_Indonesia.csv
UNSGA3,Data_COVID19_Indonesia.csv,22,0.3679553768584509,0.7157907346542061,0.04854540952142146,1.0351961159266252,outputs\pass3\UNSGA3\Data_COVID19_Indonesia.csv
RNSGA3,Data_COVID19_Indonesia.csv,22,0.19132859152974502,0.956601384216476,0.14760889110788236,1.1641385834863323,outputs\pass3\RNSGA3\Data_COVID19_Indonesia.csv
RVEA,Data_COVID19_Indonesia.csv,22,0.6857378331021147,0.5609540845977333,0.027744499563695603,0.9059294221775156,outputs\pass3\RVEA\Data_COVID19_Indonesia.csv
AGEMOEA,Data_COVID19_Indonesia.csv,22,0.3807423741663566,0.6578406213643431,0.014150280458497888,1.0562999264116992,outputs\pass3\AGEMOEA\Data_COVID19_Indonesia.csv
AGEMOEA2,Data_COVID19_Indonesia.csv,22,0.40042226734844655,0.638818365514396,0.0226114008870408,1.0396977296086987,outputs\pass3\AGEMOEA2\Data_COVID19_Indonesia.csv
CTAEA,Data_COVID19_Indonesia.csv,22,0.40017548657000995,0.6595685961060794,0.023097391113869367,1.0464062065497923,outputs\pass3\CTAEA\Data_COVID19_Indonesia.csv
NSGA2,Loan.csv,38,0.38448555734122936,0.7852434326841651,0.28600929155504345,1.2776701486256652,outputs\pass3\NSGA2\Loan.csv
MOEAD,Loan.csv,38,0.2037919133937932,0.734193904761337,0.44589708616514373,1.267896956710969,outputs\pass3\MOEAD\Loan.csv
NSGA3,Loan.csv,38,0.3642892926122798,0.6790713965551953,0.22437699208347153,1.2958706077404256,outputs\pass3\NSGA3\Loan.csv
UNSGA3,Loan.csv,38,0.36506918340814987,0.6775148210060423,0.22437699208347153,1.2942858671404533,outputs\pass3\UNSGA3\Loan.csv
RNSGA3,Loan.csv,38,0.0070608400009062626,,0.8583596031630217,1.5508458091869535,outputs\pass3\RNSGA3\Loan.csv
RVEA,Loan.csv,38,0.3814883375371986,0.6674408003156391,0.16227297446688999,1.32650300270716,outputs\pass3\RVEA\Loan.csv
AGEMOEA,Loan.csv,38,0.3247218159224621,0.7530051307142637,0.1891618672094207,1.3314863483527917,outputs\pass3\AGEMOEA\Loan.csv
AGEMOEA2,Loan.csv,38,0.313963678484887,0.7243397722186212,0.24483758031175168,1.3100252838892534,outputs\pass3\AGEMOEA2\Loan.csv
CTAEA,Loan.csv,38,0.3870691247039122,0.5657867071701131,0.1429081930766919,1.284944207959283,outputs\pass3\CTAEA\Loan.csv
NSGA2,pom3a.csv,11,1.0600075154301323,0.6413345385241194,0.2904741285998301,0.7122061595346614,outputs\pass3\NSGA2\pom3a.csv
