CLIENTNUM,attrition_Flag,Customer_Age,gender,Dependent_count,education_Level,marital_Status,income_Category,card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit+,Total_Revolving_Bal+,Avg_Open_To_Buy+,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1+,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,_source_row
759584958,Attrited Customer,51,F,1,Graduate,Married,Unknown,Silver,44,4,2,4,33004.0,2418,30586.0,0.923,10156,72,0.946,0.073,0.9964,0.0035965,9968
757291008,Attrited Customer,46,M,4,Unknown,Married,$80K - $120K,Blue,39,3,3,2,34516.0,289,34227.0,0.95,8964,76,1.054,0.008,0.9952,0.00479863,9665
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,3,34516.0,2177,32339.0,1.32,1234,23,1.875,0.063,0.00026573,0.99973,323
714959358,Attrited Customer,50,M,3,High School,Married,$80K - $120K,Silver,36,5,3,3,34516.0,2292,32224.0,0.876,8045,71,0.868,0.066,0.99639,0.00361254,9221
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,6.35e-05,0.99994,131
796990908,Existing Customer,35,M,3,Post-Graduate,Single,$80K - $120K,Silver,29,5,3,2,34516.0,1872,32644.0,1.068,2227,61,1.103,0.054,0.00019844,0.9998,1170
708948483,Attrited Customer,54,M,3,Graduate,Married,$80K - $120K,Silver,36,2,3,1,34516.0,761,33755.0,0.838,8444,68,0.744,0.022,0.99026,0.00974,9782
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0.00015785,0.99984,42
819700533,Existing Customer,50,M,0,High School,Single,$120K +,Silver,45,5,2,3,14938.0,2303,12635.0,0.804,949,27,2.0,0.154,0.0001443,0.99986,300
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,0.00015801,0.99984,124
710980383,Attrited Customer,53,M,3,High School,Single,$80K - $120K,Silver,33,2,2,3,34516.0,0,34516.0,0.534,6361,74,1.114,0.0,0.9943,0.0057,9619
827332983,Existing Customer,46,M,3,High School,Single,$80K - $120K,Gold,42,3,2,2,34516.0,2113,32403.0,0.618,1362,31,1.214,0.061,0.00013228,0.99987,523
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,4,3,2,34516.0,1440,33076.0,1.117,1575,34,2.4,0.042,0.00015255,0.99985,280
711032058,Existing Customer,34,M,3,High School,Single,$80K - $120K,Silver,21,6,4,3,34516.0,2517,31999.0,0.791,2901,75,0.923,0.073,0.00033322,0.99967,2083
720998358,Existing Customer,52,M,0,High School,Married,$120K +,Silver,41,3,3,1,34516.0,1043,33473.0,0.562,1489,38,0.357,0.03,8.18e-05,0.99992,957
712206858,Existing Customer,39,M,3,Graduate,Married,$120K +,Blue,36,3,3,2,32964.0,2231,30733.0,1.731,3094,45,1.647,0.068,0.00018665,0.99981,2565
