date,location_ISO_Code,location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,location_Level,city_or_Regency,province,country,continent,island,time_Zone,special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area_km2,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million+,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million+,Total_Deaths_per_100rb+,Case_Fatality_Rate,case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths,_source_row
8/5/21,ID-KI,Kalimantan Timur,2083,101,2000,-18,126029,3717,99794,22518,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,586.4,35479.23,28.43,1046.4,104.64,0,79.18,0.94,1.22,17593
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,16742
9/22/21,ID-KI,Kalimantan Timur,140,5,186,-51,156093,5352,148898,1843,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,39.41,43942.74,1.41,1506.68,150.67,0,95.39,0.73,1.67,19273
8/21/21,ID-KI,Kalimantan Timur,657,37,1222,-602,145112,4796,128888,11428,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,184.96,40851.41,10.42,1350.15,135.02,0,88.82,0.71,0.84,18153
11/1/21,ID-KI,Kalimantan Timur,18,0,30,-12,157952,5447,152331,174,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,5.07,44466.08,0.0,1533.42,153.34,0,96.44,1.64,1.0,20673
10/27/21,ID-KI,Kalimantan Timur,21,1,26,-6,157872,5444,152205,223,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,5.91,44443.56,0.28,1532.58,153.26,0,96.41,0.88,1.0,20498
9/23/21,ID-KI,Kalimantan Timur,130,2,215,-87,156223,5354,149113,1756,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,36.6,43979.34,0.56,1507.24,150.72,0,95.45,0.93,0.4,19308
9/4/21,ID-KI,Kalimantan Timur,324,24,594,-294,152428,5152,141540,5736,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,91.21,42910.98,6.76,1450.37,145.04,0,92.86,0.89,1.14,18643
9/2/21,ID-KI,Kalimantan Timur,503,13,589,-99,151738,5107,140169,6462,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,141.6,42716.73,3.66,1437.7,143.77,0,92.38,0.94,0.45,18573
10/26/21,ID-KI,Kalimantan Timur,24,1,30,-7,157851,5443,152179,229,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,6.76,44437.64,0.28,1532.29,153.23,0,96.41,1.85,0.5,20463
8/6/21,ID-KI,Kalimantan Timur,1815,84,2584,-853,127844,3801,102378,21665,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,510.95,35990.18,23.65,1070.04,107.0,0,80.08,0.87,0.83,17628
9/21/21,ID-KI,Kalimantan Timur,192,3,263,-74,155953,5347,148712,1894,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,54.05,43903.33,0.84,1505.27,150.53,0,95.36,1.85,1.0,19238
10/8/21,ID-KI,Kalimantan Timur,60,3,90,-33,157297,5396,151166,735,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,16.89,44281.68,0.84,1519.06,151.91,0,96.1,0.74,0.6,19833
11/10/21,ID-KI,Kalimantan Timur,11,0,17,-6,158074,5448,152498,128,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,3.1,44500.42,0.0,1533.7,153.37,0,96.47,0.92,1.0,20988
9/5/21,ID-KI,Kalimantan Timur,293,22,649,-378,152721,5174,142189,5358,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,82.48,42993.47,6.19,1456.57,145.66,0,93.1,0.9,0.92,18678
9/3/21,ID-KI,Kalimantan Timur,366,21,777,-432,152104,5128,140946,6030,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,103.04,42819.77,5.91,1443.62,144.36,0,92.66,0.73,1.62,18608
9/17/21,ID-KI,Kalimantan Timur,233,7,377,-151,155398,5325,147647,2426,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,65.59,43747.08,1.97,1499.07,149.91,0,95.01,2.26,0.88,19098
10/22/21,ID-KI,Kalimantan Timur,32,3,44,-15,157757,5436,152019,302,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,9.01,44411.18,0.84,1530.32,153.03,0,96.36,1.19,1.074145242,20323
