date,location_ISO_Code,location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,location_Level,city_or_Regency,province,country,continent,island,time_Zone,special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area_km2,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million+,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million+,Total_Deaths_per_100rb+,Case_Fatality_Rate,case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths,_source_row
8/5/21,ID-KI,Kalimantan Timur,2083,101,2000,-18,126029,3717,99794,22518,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,586.4,35479.23,28.43,1046.4,104.64,0,79.18,0.94,1.22,17593
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,16742
10/23/21,ID-KI,Kalimantan Timur,34,0,47,-13,157791,5436,152066,289,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,9.57,44420.75,0.0,1530.32,153.03,0,96.37,1.06,0.0,20358
10/5/21,ID-KI,Kalimantan Timur,73,2,108,-37,157102,5388,150872,842,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,20.55,44226.79,0.56,1516.81,151.68,0,96.03,1.97,0.4,19728
7/15/21,ID-JK,DKI Jakarta,12691,141,3034,9516,714597,9809,595538,109250,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1170.09,65884.88,13.0,904.38,90.44,0,83.34,1.0,2.24,16847
9/8/21,ID-KI,Kalimantan Timur,358,13,468,-123,153668,5214,144072,4382,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,100.78,43260.06,3.66,1467.83,146.78,0,93.76,0.9,1.0,18783
10/16/21,ID-KI,Kalimantan Timur,40,0,43,-3,157598,5419,151692,487,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,11.26,44366.42,0.0,1525.54,152.55,0,96.25,1.33,0.0,20113
9/2/21,ID-KI,Kalimantan Timur,503,13,589,-99,151738,5107,140169,6462,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,141.6,42716.73,3.66,1437.7,143.77,0,92.38,0.94,0.45,18573
10/19/21,ID-KI,Kalimantan Timur,35,4,59,-28,157672,5431,151878,363,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,9.85,44387.25,1.13,1528.92,152.89,0,96.33,1.84,1.0,20218
9/24/21,ID-KI,Kalimantan Timur,141,3,209,-71,156364,5357,149322,1685,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,39.69,44019.03,0.84,1508.08,150.81,0,95.5,1.08,1.5,19343
12/2/21,ID-KI,Kalimantan Timur,7,0,2,5,158245,5449,152714,82,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,1.97,44548.56,0.0,1533.98,153.4,0,96.5,1.17,1.0,21743
8/13/21,ID-KI,Kalimantan Timur,1451,68,1889,-506,138296,4320,116383,17593,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,408.48,38932.59,19.14,1216.15,121.62,0,84.16,1.23,1.06,17873
9/18/21,ID-KI,Kalimantan Timur,175,7,302,-134,155573,5332,147949,2292,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,49.27,43796.35,1.97,1501.05,150.1,0,95.1,0.75,1.0,19133
9/26/21,ID-KI,Kalimantan Timur,76,1,112,-37,156518,5360,149631,1527,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,21.4,44062.38,0.28,1508.93,150.89,0,95.6,0.97,0.5,19413
9/7/21,ID-KI,Kalimantan Timur,400,13,701,-314,153310,5201,143604,4505,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,112.61,43159.28,3.66,1464.17,146.42,0,93.67,2.12,0.93,18748
11/2/21,ID-KI,Kalimantan Timur,24,1,26,-3,157976,5448,152357,171,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,6.76,44472.83,0.28,1533.7,153.37,0,96.44,1.33,1.074145242,20708
8/15/21,ID-KI,Kalimantan Timur,776,63,1706,-993,140240,4449,119816,15975,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,218.46,39479.86,17.74,1252.47,125.25,0,85.44,0.66,0.95,17943
10/12/21,ID-KI,Kalimantan Timur,50,1,49,0,157456,5408,151426,622,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,14.08,44326.45,0.28,1522.44,152.24,0,96.17,1.79,0.33,19973
