date,location_ISO_Code,location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,location_Level,city_or_Regency,province,country,continent,island,time_Zone,special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area_km2,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million+,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million+,Total_Deaths_per_100rb+,Case_Fatality_Rate,case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths,_source_row
7/18/21,ID-JK,DKI Jakarta,9129,158,11852,-2881,746310,10166,627448,108696,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,841.68,68808.78,14.57,937.29,93.73,0,84.07,0.9,2.36,16952
10/4/21,ID-KI,Kalimantan Timur,37,5,106,-74,157029,5386,150764,879,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,10.42,44206.24,1.41,1516.25,151.62,0,96.01,0.76,2.5,19693
9/23/21,ID-KI,Kalimantan Timur,130,2,215,-87,156223,5354,149113,1756,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,36.6,43979.34,0.56,1507.24,150.72,0,95.45,0.93,0.4,19308
9/7/21,ID-KI,Kalimantan Timur,400,13,701,-314,153310,5201,143604,4505,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,112.61,43159.28,3.66,1464.17,146.42,0,93.67,2.12,0.93,18748
8/27/21,ID-KI,Kalimantan Timur,523,30,1265,-772,149014,4995,136002,8017,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,147.23,41949.88,8.45,1406.17,140.62,0,91.27,0.82,0.83,18363
8/10/21,ID-KI,Kalimantan Timur,1546,79,2456,-989,133826,4124,110571,19131,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,435.22,37674.21,22.24,1160.97,116.1,0,82.62,1.44,1.1,17768
8/26/21,ID-KI,Kalimantan Timur,637,36,888,-287,148491,4965,134737,8789,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,179.33,41802.65,10.13,1397.73,139.77,0,90.74,0.74,0.9,18328
7/25/21,ID-JK,DKI Jakarta,5394,157,14225,-8988,792273,11439,716612,64222,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,497.32,73046.51,14.48,1054.66,105.47,0,90.45,0.65,1.04,17197
9/29/21,ID-KI,Kalimantan Timur,91,7,115,-31,156751,5374,150157,1220,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,25.62,44127.98,1.97,1512.87,151.29,0,95.79,1.34,2.33,19518
7/15/21,ID-JK,DKI Jakarta,12691,141,3034,9516,714597,9809,595538,109250,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1170.09,65884.88,13.0,904.38,90.44,0,83.34,1.0,2.24,16847
11/30/21,ID-KI,Kalimantan Timur,4,0,8,-4,158232,5449,152712,71,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,1.13,44544.9,0.0,1533.98,153.4,0,96.51,0.5,1.0,21678
10/27/21,ID-KI,Kalimantan Timur,21,1,26,-6,157872,5444,152205,223,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,5.91,44443.56,0.28,1532.58,153.26,0,96.41,0.88,1.0,20498
8/5/21,ID-KI,Kalimantan Timur,2083,101,2000,-18,126029,3717,99794,22518,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,586.4,35479.23,28.43,1046.4,104.64,0,79.18,0.94,1.22,17593
9/8/21,ID-KI,Kalimantan Timur,358,13,468,-123,153668,5214,144072,4382,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,100.78,43260.06,3.66,1467.83,146.78,0,93.76,0.9,1.0,18783
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,16742
7/24/21,ID-JK,DKI Jakarta,8359,151,14528,-6320,786879,11282,702387,73210,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,770.69,72549.19,13.92,1040.19,104.02,0,89.26,1.04,0.96,17162
7/16/21,ID-JK,DKI Jakarta,12416,132,8448,3836,727013,9941,603986,113086,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1144.74,67029.62,12.17,916.55,91.65,0,83.08,0.98,0.94,16882
