date,location_ISO_Code,location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,location_Level,city_or_Regency,province,country,continent,island,time_Zone,special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area_km2,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million+,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million+,Total_Deaths_per_100rb+,Case_Fatality_Rate,case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths,_source_row
7/12/21,ID-JK,DKI Jakarta,14622,134,20477,-5989,677054,9537,584864,82653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1348.13,62423.47,12.35,879.3,87.93,0,86.38,1.11,2.91,16742
8/4/21,ID-KU,Kalimantan Utara,632,21,311,300,23313,400,16721,6192,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,974.7,35954.27,32.39,616.9,61.69,0,71.72,1.33,2.63,17559
7/15/21,ID-JK,DKI Jakarta,12691,141,3034,9516,714597,9809,595538,109250,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1170.09,65884.88,13.0,904.38,90.44,0,83.34,1.0,2.24,16847
7/9/21,ID-JK,DKI Jakarta,13111,138,15029,-2056,636379,9270,526946,100163,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,1208.82,58673.29,12.72,854.68,85.47,0,82.8,1.01,1.01,16637
7/18/21,IDN,Indonesia,44721,1093,29264,14364,2877476,73582,2261658,542236,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,168.64,10850.8,4.12,277.47,27.75,0,78.6,0.86,1.0,16955
8/10/21,ID-KU,Kalimantan Utara,505,26,363,116,26036,495,18412,7129,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,778.83,40153.79,40.1,763.41,76.34,0,70.72,1.54,1.13,17769
7/4/21,ID-JK,DKI Jakarta,10485,66,5816,4603,580588,8597,484712,87279,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,966.7,53529.43,6.09,792.63,79.26,0,83.49,1.08,4.13,16462
8/4/21,ID-KI,Kalimantan Timur,2222,83,1720,419,123946,3616,97794,22536,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,625.53,34892.83,23.37,1017.96,101.8,0,78.9,1.57,1.46,17558
8/14/21,ID-KU,Kalimantan Utara,365,13,668,-316,27605,541,20202,6862,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,562.92,42573.57,20.05,834.35,83.44,0,73.18,1.09,1.18,17909
7/18/21,ID-JK,DKI Jakarta,9129,158,11852,-2881,746310,10166,627448,108696,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,4490.348298,664,10846145,16334.31,106.8361183,-6.204698991,841.68,68808.78,14.57,937.29,93.73,0,84.07,0.9,2.36,16952
8/7/21,ID-KI,Kalimantan Timur,1786,82,1730,-26,129630,3883,104108,21639,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,502.79,36492.97,23.08,1093.13,109.31,0,80.31,0.98,0.98,17663
8/27/21,IDN,Indonesia,12618,599,19290,-7271,4056354,130781,3689256,236317,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,47.58,15296.29,2.26,493.17,49.32,0,90.95,0.75,0.67,18355
9/27/21,ID-KU,Kalimantan Utara,64,0,21,43,34848,767,31010,3071,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,98.7,53744.02,0.0,1182.9,118.29,0,88.99,0.94,0.0,19449
9/8/21,ID-KU,Kalimantan Utara,157,7,432,-282,33189,722,29689,2778,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,242.13,51185.44,10.8,1113.5,111.35,0,89.45,2.15,1.074145242,18784
8/28/21,ID-KU,Kalimantan Utara,305,4,423,-122,31661,665,25672,5324,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,470.38,48828.9,6.17,1025.59,102.56,0,81.08,0.83,0.5,18399
8/23/21,ID-KI,Kalimantan Timur,487,29,940,-482,146198,4851,131559,9788,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,137.1,41157.13,8.16,1365.64,136.56,0,89.99,0.81,1.12,18223
8/17/21,ID-KI,Kalimantan Timur,923,52,1574,-703,141796,4572,123281,13943,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,259.84,39917.9,14.64,1287.09,128.71,0,86.94,1.46,0.73,18013
9/6/21,ID-KU,Kalimantan Utara,79,5,453,-379,32959,715,29085,3159,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,121.84,50830.73,7.71,1102.7,110.27,0,88.25,0.64,1.0,18714
8/28/21,ID-KI,Kalimantan Timur,462,18,629,-185,149476,5013,136631,7832,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,130.06,42079.94,5.07,1411.24,141.12,0,91.41,0.88,0.6,18398
8/28/21,ID-YO,Daerah Istimewa Yogyakarta,525,31,1054,-560,148744,4760,129931,14053,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,144.59,40964.85,8.54,1310.93,131.09,0,87.35,0.76,1.48,18388
8/21/21,ID-KI,Kalimantan Timur,657,37,1222,-602,145112,4796,128888,11428,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,184.96,40851.41,10.42,1350.15,135.02,0,88.82,0.71,0.84,18153
9/7/21,ID-KI,Kalimantan Timur,400,13,701,-314,153310,5201,143604,4505,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,112.61,43159.28,3.66,1464.17,146.42,0,93.67,2.12,0.93,18748
11/12/21,ID-KI,Kalimantan Timur,12,0,18,-6,158090,5448,152534,108,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,3.38,44504.93,0.0,1533.7,153.37,0,96.49,3.0,1.0,21058
