MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.6875214850464078,1.0,90,absolute_error,12,3.25,14,9214
0.0,0.6875214850464078,1.0,90,absolute_error,16,3.5,11,1867
0.0,0.6875214850464078,1.0,90,absolute_error,17,1.75,15,4546
0.0,0.6875214850464078,1.0,190,absolute_error,2,5.0,9,2642
0.0,0.6875214850464078,1.0,170,absolute_error,8,1.75,3,3840
0.0,0.6875214850464078,1.0,150,absolute_error,16,2.25,16,2847
0.0,0.6875214850464078,1.0,90,absolute_error,9,1.25,20,3054
0.0,0.6875214850464078,1.0,170,absolute_error,10,2.0,11,6994
0.0,0.6875214850464078,1.0,90,absolute_error,11,2.25,18,3905
0.0,0.6875214850464078,1.0,150,absolute_error,7,8.5,10,1828
0.0,0.6875214850464078,1.0,190,absolute_error,9,3.5,16,2587
0.0,0.6875214850464078,1.0,160,absolute_error,9,2.25,18,2085
0.0,0.6875214850464078,1.0,160,absolute_error,13,3.25,16,3071
0.0,0.6875214850464078,1.0,90,absolute_error,7,4.75,3,7810
0.0,0.6875214850464078,1.0,30,absolute_error,20,1.5,12,6808
0.0,0.6875214850464078,1.0,150,absolute_error,6,1.25,1,3564
0.0,0.6875214850464078,1.0,160,absolute_error,12,2.75,3,1410
0.0,0.6875214850464078,1.0,170,absolute_error,13,8.0,18,29
0.0,0.6875214850464078,1.0,120,absolute_error,2,4.0,14,3142
0.0,0.6875214850464078,1.0,40,absolute_error,18,6.25,2,9982
0.0,0.6875214850464078,1.0,110,absolute_error,3,6.5,14,2293
0.0,0.6875214850464078,1.0,190,absolute_error,7,7.75,2,1813
0.0,0.6875214850464078,1.0,120,absolute_error,19,4.75,17,4409
0.0,0.6875214850464078,1.0,180,absolute_error,13,5.5,1,2362
0.0,0.6875214850464078,1.0,10,absolute_error,13,1.25,2,7871
