MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.9634117621871588,1.0,90,absolute_error,16,3.5,11,1867
0.0,0.9634117621871588,1.0,190,absolute_error,2,5.0,9,2642
0.0,0.991960864073305,0.75,180,absolute_error,3,0.0,10,6246
0.0,0.9634117621871588,1.0,170,absolute_error,3,5.0,9,5947
0.0,0.9634117621871588,1.0,180,absolute_error,17,1.5,17,5154
0.0,0.9634117621871588,1.0,130,absolute_error,12,1.75,9,6253
0.0,0.9634117621871588,1.0,180,absolute_error,16,1.5,17,5442
0.0,0.9634117621871588,1.0,130,absolute_error,1,5.75,14,2687
0.0,0.9634117621871588,1.0,190,absolute_error,2,3.5,9,6099
0.0,0.9634117621871588,1.0,160,absolute_error,2,3.0,9,7922
0.0,0.9634117621871588,1.0,100,absolute_error,18,4.75,15,6855
0.0,0.9634117621871588,1.0,170,absolute_error,2,1.5,19,1595
0.0,0.9634117621871588,1.0,150,absolute_error,17,3.0,16,2747
0.0,0.9634117621871588,1.0,100,absolute_error,17,3.25,9,6063
0.0,0.9634117621871588,1.0,100,absolute_error,3,5.25,11,5423
0.0,0.9634117621871588,1.0,110,absolute_error,2,0.75,20,4323
0.0,0.9634117621871588,1.0,180,absolute_error,2,2.75,9,9517
0.0,0.9634117621871588,1.0,180,absolute_error,2,4.75,8,3657
0.0,0.9634117621871588,1.0,90,absolute_error,17,3.25,16,6613
0.0,0.9634117621871588,1.0,190,absolute_error,12,2.0,9,1677
0.0,0.9634117621871588,1.0,180,absolute_error,16,5.0,9,6709
0.0,0.9634117621871588,1.0,120,absolute_error,2,2.5,11,28
0.0,0.9634117621871588,1.0,160,absolute_error,15,1.25,8,2744
0.0,0.9634117621871588,1.0,170,absolute_error,1,3.5,12,4613
0.0,0.9634117621871588,1.0,170,absolute_error,1,5.25,20,9789
0.0,0.9634117621871588,1.0,100,absolute_error,1,1.75,10,7256
0.0,0.9634117621871588,1.0,200,absolute_error,15,2.5,8,4341
0.0,0.9634117621871588,1.0,170,absolute_error,17,3.75,10,6986
0.0,0.9634117621871588,1.0,170,absolute_error,2,4.75,14,7196
0.0,0.9634117621871588,1.0,130,absolute_error,15,5.0,16,1621
0.0,0.9634117621871588,1.0,160,absolute_error,18,2.75,16,841
0.0,0.9634117621871588,1.0,130,absolute_error,2,4.25,8,9266
0.0,0.9634117621871588,1.0,140,absolute_error,18,3.25,17,9062
