MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.7142857142857142,1.0,90,absolute_error,16,3.5,11,1867
0.0,0.7142857142857142,1.0,190,absolute_error,2,5.0,9,2642
0.0,0.7142857142857142,1.0,90,absolute_error,11,2.25,18,3905
0.0,0.7142857142857142,1.0,60,absolute_error,9,5.25,11,5717
0.0,0.7142857142857142,1.0,100,absolute_error,15,4.25,16,4232
0.0,0.7142857142857142,1.0,180,absolute_error,2,2.75,9,9517
0.0,0.7142857142857142,1.0,170,absolute_error,17,3.75,10,6986
0.0,0.7142857142857142,1.0,200,absolute_error,10,2.5,16,8334
0.0,0.7142857142857142,1.0,90,absolute_error,12,0.25,19,5322
0.0,0.7142857142857142,1.0,180,absolute_error,11,4.0,14,1227
0.0,0.7142857142857142,1.0,100,absolute_error,8,6.25,9,4295
0.0,0.7142857142857142,1.0,100,absolute_error,2,4.0,20,6243
0.0,0.7142857142857142,1.0,190,absolute_error,12,3.75,12,7257
0.0,0.7142857142857142,1.0,180,absolute_error,9,5.0,9,1774
0.0,0.7142857142857142,1.0,90,absolute_error,16,2.25,19,9910
0.0,0.7142857142857142,1.0,190,absolute_error,11,4.5,10,2494
0.0,0.7142857142857142,1.0,80,absolute_error,12,3.25,19,6089
0.0,0.7142857142857142,1.0,190,absolute_error,2,3.5,9,6099
0.0,0.7142857142857142,1.0,70,absolute_error,2,5.75,14,2240
0.0,0.7142857142857142,1.0,70,absolute_error,12,4.25,19,641
0.0,0.7142857142857142,1.0,40,absolute_error,15,4.25,20,6712
0.0,0.7142857142857142,1.0,80,absolute_error,6,4.75,11,9638
0.0,0.7142857142857142,1.0,100,absolute_error,15,2.75,10,5518
0.0,0.7142857142857142,1.0,60,absolute_error,11,0.75,19,6380
0.0,0.7142857142857142,1.0,100,absolute_error,12,2.5,14,568
0.0,0.7142857142857142,1.0,180,absolute_error,18,6.25,11,5965
0.0,0.7142857142857142,1.0,80,absolute_error,1,6.25,10,8199
0.0,0.7142857142857142,1.0,80,absolute_error,16,3.5,11,8059
0.0,0.7142857142857142,1.0,130,absolute_error,15,3.75,20,8533
0.0,0.7142857142857142,1.0,180,absolute_error,18,2.25,13,1535
0.0,0.7142857142857142,1.0,190,absolute_error,9,0.25,12,8781
0.0,0.7142857142857142,1.0,100,absolute_error,10,4.0,12,7512
0.0,0.7142857142857142,1.0,70,absolute_error,11,5.0,11,195
0.0,0.7142857142857142,1.0,90,absolute_error,15,1.75,19,513
0.0,0.7142857142857142,1.0,160,absolute_error,6,4.0,19,5445
0.0,0.7142857142857142,1.0,190,absolute_error,6,5.75,19,2393
