MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.7142857142857142,1.0,90,absolute_error,17,3.25,16,6613
0.0,0.7142857142857142,1.0,160,absolute_error,6,3.25,14,9652
0.0,0.7142857142857142,1.0,190,absolute_error,8,4.75,16,9587
0.0,0.7142857142857142,1.0,100,absolute_error,19,4.25,17,2343
0.0,0.7142857142857142,1.0,190,absolute_error,10,6.0,17,7815
0.0,0.7142857142857142,1.0,70,absolute_error,15,0.5,16,3679
0.0,0.7142857142857142,1.0,60,absolute_error,7,3.0,16,901
0.0,0.7142857142857142,1.0,120,absolute_error,17,1.75,13,923
0.0,0.7142857142857142,1.0,190,absolute_error,14,4.5,17,484
0.0,0.7142857142857142,1.0,60,absolute_error,17,4.5,16,6868
0.0,0.7142857142857142,1.0,90,absolute_error,18,5.5,5,123
0.0,0.7142857142857142,1.0,90,absolute_error,9,6.0,16,3318
0.0,0.7142857142857142,1.0,90,absolute_error,2,3.0,15,1406
0.0,0.7142857142857142,1.0,90,absolute_error,4,4.75,17,6441
0.0,0.7142857142857142,1.0,100,absolute_error,7,1.5,15,8695
0.0,0.7142857142857142,1.0,120,absolute_error,10,3.5,16,2811
0.0,0.7142857142857142,1.0,60,absolute_error,20,3.75,14,5218
0.0,0.7142857142857142,1.0,80,absolute_error,16,3.25,15,3085
0.0,0.7142857142857142,1.0,100,absolute_error,7,6.5,16,1440
0.0,0.7142857142857142,1.0,100,absolute_error,12,5.75,17,8847
0.0,0.7142857142857142,1.0,60,absolute_error,6,3.25,13,474
0.0,0.7142857142857142,1.0,120,absolute_error,14,1.75,16,1015
0.0,0.7142857142857142,1.0,120,absolute_error,9,4.75,15,5020
0.0,0.7142857142857142,1.0,90,absolute_error,11,3.75,18,2962
0.0,0.7142857142857142,1.0,130,absolute_error,19,3.75,13,5256
0.0,0.7142857142857142,1.0,90,absolute_error,8,3.0,14,2994
0.0,0.7142857142857142,1.0,170,absolute_error,9,3.75,16,6386
0.0,0.7142857142857142,1.0,100,absolute_error,18,2.75,6,8738
0.0,0.7142857142857142,1.0,110,absolute_error,10,4.5,15,100
0.0,0.7142857142857142,1.0,130,absolute_error,6,4.0,16,4864
0.0,0.7142857142857142,1.0,70,absolute_error,16,3.5,13,7357
0.0,0.7142857142857142,1.0,90,absolute_error,11,2.25,18,3905
0.0,0.7142857142857142,1.0,110,absolute_error,4,4.25,15,4728
