applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row
6/29/52,49,42742,593,Unemployed,Master,24,80192,12,Married,1,Other,611,0.35677064,3,2,0.52649816,0,Home,0,34,6,3916,766,50699,107570,3561.833333,0.589540813,6,1336,0.248692,0.265727578,7683.120159,2.328609843,0,64.0,12598
8/12/69,80,51166,641,Unemployed,Doctorate,53,26447,60,Married,0,Rent,440,0.198761195,4,3,0.431115733,1,Auto,0,19,2,2115,3478,222417,43714,4263.833333,0.877062833,3,178703,0.210947,0.192689347,689.9692722,0.265012533,0,67.0,18851
3/29/45,55,111521,664,Self-Employed,Bachelor,36,39969,12,Married,4,Other,510,0.399567597,3,1,0.169255616,0,Auto,0,20,5,7779,2547,13000,29542,9293.416667,0.991577922,8,9969,0.172969,0.172729387,3650.541843,0.447687002,0,48.0,9949
2/26/60,59,92922,665,Employed,Doctorate,36,80250,36,Single,0,Own,294,0.130305737,3,2,0.242026369,0,Home,0,21,24,1311,158,155885,15354,7743.5,0.760648769,3,140531,0.23275,0.264138599,3251.040505,0.45780855,0,40.0,15396
9/18/37,41,184873,549,Employed,Bachelor,16,82644,36,Married,4,Other,299,0.152745012,3,0,0.137331139,0,Education,0,26,29,5998,166,48305,6310,15406.08333,0.936164125,5,41995,0.293144,0.280902592,3422.483565,0.241559356,1,37.6,7200
11/14/32,32,45444,583,Self-Employed,Associate,9,44252,12,Divorced,2,Mortgage,429,0.246830449,2,3,0.15136653,0,Debt Consolidation,0,16,25,1589,874,93939,3599,3787.0,0.813491471,5,90340,0.217752,0.175098962,4046.708549,1.181861249,0,52.0,5431
4/6/40,47,145160,574,Employed,Bachelor,26,51753,84,Married,1,Other,602,0.166495958,2,2,0.126184931,0,Education,0,21,4,1744,558,406991,75567,12096.66667,0.809627348,4,331424,0.289753,0.289957331,1444.985253,0.169218952,1,35.2,8131
8/5/62,33,206221,562,Self-Employed,Doctorate,7,13683,12,Single,0,Own,612,0.163547073,3,1,0.618843148,0,Home,0,25,4,36593,1125,37718,13599,17185.08333,0.841535778,6,24119,0.197683,0.228265464,1286.101172,0.110450507,1,48.8,16287
8/28/40,44,112129,631,Self-Employed,Bachelor,18,61244,60,Divorced,2,Mortgage,469,0.562659324,8,0,0.174542625,0,Debt Consolidation,0,25,14,1014,5355,448752,83998,9344.083333,0.747919997,8,364754,0.250744,0.201092766,1626.317489,0.224240026,1,35.2,8275
9/27/20,56,166387,673,Self-Employed,Master,28,60044,48,Married,3,Own,367,0.06503972,3,0,0.336372826,0,Home,0,25,19,10332,2723,28990,26330,13865.58333,0.839894039,7,2660,0.218544,0.202917852,1836.50821,0.158919258,1,38.4,1000
5/3/23,53,215681,593,Self-Employed,Bachelor,30,13177,36,Single,1,Mortgage,448,0.395078842,3,2,0.105269912,0,Education,0,20,3,2237,1507,60566,251576,17973.41667,0.819967659,5,2174,0.201677,0.196430431,487.3112102,0.052038587,1,43.2,1948
8/27/65,47,134766,552,Employed,Master,24,44899,24,Single,0,Rent,641,0.587632355,4,2,0.586571575,1,Home,0,21,3,2025,1643,127530,99027,11230.5,0.762105245,6,28503,0.243899,0.218752823,2326.512897,0.264236935,0,72.0,17405
12/6/29,36,250153,605,Self-Employed,Doctorate,15,21725,24,Married,2,Own,442,0.029470397,1,1,0.031281556,0,Home,0,25,8,3909,661,88435,4569,20846.08333,0.845219533,1,83866,0.194225,0.203173875,1109.082676,0.074406432,1,36.8,4357
12/21/25,44,97359,600,Employed,Doctorate,21,96846,36,Married,1,Own,286,0.378240205,3,2,0.275600553,0,Education,0,19,17,1483,1113,175820,14275,8113.25,0.904904934,8,161545,0.281846,0.246553591,3832.949366,0.5076818,0,44.0,2911
11/7/43,36,251665,596,Self-Employed,Doctorate,15,7129,96,Divorced,1,Mortgage,145,0.184868877,2,0,0.083814172,0,Education,0,22,5,16929,612,33525,147987,20972.08333,0.873104449,8,7317,0.244129,0.289624277,191.4595624,0.016043211,1,41.6,9441
