applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row
8/12/69,80,51166,641,Unemployed,Doctorate,53,26447,60,Married,0,Rent,440,0.198761195,4,3,0.431115733,1,Auto,0,19,2,2115,3478,222417,43714,4263.833333,0.877062833,3,178703,0.210947,0.192689347,689.9692722,0.265012533,0,67.0,18851
4/15/29,51,82193,486,Self-Employed,Master,30,25655,72,Single,0,Rent,357,0.361435129,1,1,0.158203426,0,Education,0,18,21,5083,11732,512985,9283,6849.416667,0.57154789,7,503702,0.297655,0.260163572,707.1589373,0.1553649,1,35.2,4122
2/26/60,59,92922,665,Employed,Doctorate,36,80250,36,Single,0,Own,294,0.130305737,3,2,0.242026369,0,Home,0,21,24,1311,158,155885,15354,7743.5,0.760648769,3,140531,0.23275,0.264138599,3251.040505,0.45780855,0,40.0,15396
9/18/37,41,184873,549,Employed,Bachelor,16,82644,36,Married,4,Other,299,0.152745012,3,0,0.137331139,0,Education,0,26,29,5998,166,48305,6310,15406.08333,0.936164125,5,41995,0.293144,0.280902592,3422.483565,0.241559356,1,37.6,7200
4/6/40,47,145160,574,Employed,Bachelor,26,51753,84,Married,1,Other,602,0.166495958,2,2,0.126184931,0,Education,0,21,4,1744,558,406991,75567,12096.66667,0.809627348,4,331424,0.289753,0.289957331,1444.985253,0.169218952,1,35.2,8131
8/28/40,44,112129,631,Self-Employed,Bachelor,18,61244,60,Divorced,2,Mortgage,469,0.562659324,8,0,0.174542625,0,Debt Consolidation,0,25,14,1014,5355,448752,83998,9344.083333,0.747919997,8,364754,0.250744,0.201092766,1626.317489,0.224240026,1,35.2,8275
9/27/20,56,166387,673,Self-Employed,Master,28,60044,48,Married,3,Own,367,0.06503972,3,0,0.336372826,0,Home,0,25,19,10332,2723,28990,26330,13865.58333,0.839894039,7,2660,0.218544,0.202917852,1836.50821,0.158919258,1,38.4,1000
1/30/38,42,188747,570,Employed,Bachelor,19,18013,60,Married,1,Other,561,0.126202014,3,3,0.117655633,0,Education,0,27,24,3894,323,227283,3300,15728.91667,0.833226116,4,223983,0.238013,0.20898808,486.2873756,0.066583567,1,34.4,7334
9/3/36,63,97259,611,Self-Employed,Bachelor,41,19885,36,Single,0,Own,1008,0.312688233,4,2,0.208455185,0,Home,0,15,20,5742,168,1628933,33156,8104.916667,0.830906709,6,1595777,0.199385,0.214841484,754.1208185,0.217413811,1,34.4,6820
10/31/41,60,165235,567,Self-Employed,Bachelor,39,32476,84,Married,1,Mortgage,210,0.106939278,3,2,0.254215367,0,Other,0,23,5,456,530,359493,12251,13769.58333,0.957759698,9,347242,0.273976,0.267631814,858.9821816,0.07763359,1,38.4,8704
11/11/20,50,97074,618,Employed,Bachelor,26,84004,96,Single,5,Other,342,0.11322163,1,1,0.19434845,0,Home,0,18,14,1046,380,24399,9398,8089.5,0.930795873,3,15001,0.310004,0.296707332,2297.285157,0.326260604,0,45.0,1045
8/28/53,68,124182,561,Self-Employed,High School,42,11217,48,Single,3,Other,827,0.527884919,9,3,0.148612046,0,Education,0,23,22,1411,1195,187233,13105,10348.5,0.960392411,3,174128,0.225717,0.220650475,353.7999106,0.114103485,1,38.4,13023
3/23/41,62,191529,526,Self-Employed,Master,38,42013,48,Married,2,Mortgage,351,0.32114171,1,4,0.199993971,0,Home,0,20,19,932,119,133079,21087,15960.75,0.839583526,3,111992,0.274013,0.269027415,1437.985818,0.112086576,1,37.6,8482
2/11/18,42,99920,582,Self-Employed,Bachelor,20,23363,12,Single,3,Other,298,0.615080763,3,2,0.20583096,0,Debt Consolidation,0,20,11,991,288,27778,23569,8326.666667,0.729776184,10,4209,0.197363,0.175435686,2136.847993,0.292415692,1,44.8,41
