applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row
8/12/69,80,51166,641,Unemployed,Doctorate,53,26447,60,Married,0,Rent,440,0.198761195,4,3,0.431115733,1,Auto,0,19,2,2115,3478,222417,43714,4263.833333,0.877062833,3,178703,0.210947,0.192689347,689.9692722,0.265012533,0,67.0,18851
6/22/68,30,104619,515,Employed,Master,10,136565,36,Widowed,1,Other,638,0.152304838,4,0,0.374555492,0,Home,0,17,24,1723,2007,108716,16437,8718.25,0.931721686,7,92279,0.364065,0.328440454,6012.168529,0.762787088,0,50.0,18435
7/15/44,70,23269,544,Unemployed,High School,50,12320,36,Widowed,0,Rent,277,0.346349911,2,2,0.605709696,0,Debt Consolidation,0,18,5,1997,358,62456,17394,1939.083333,0.555344041,6,45062,0.22532,0.243682974,485.7343526,0.393347898,0,65.0,9692
6/29/52,49,42742,593,Unemployed,Master,24,80192,12,Married,1,Other,611,0.35677064,3,2,0.52649816,0,Home,0,34,6,3916,766,50699,107570,3561.833333,0.589540813,6,1336,0.248692,0.265727578,7683.120159,2.328609843,0,64.0,12598
7/19/42,21,119311,636,Unemployed,Doctorate,0,33124,48,Married,1,Rent,371,0.085207459,2,0,0.22960142,0,Home,0,16,15,1686,2888,436491,15767,9942.583333,0.669207443,9,420724,0.210124,0.230757768,1063.048626,0.144233,1,35.2,8965
8/28/53,68,124182,561,Self-Employed,High School,42,11217,48,Single,3,Other,827,0.527884919,9,3,0.148612046,0,Education,0,23,22,1411,1195,187233,13105,10348.5,0.960392411,3,174128,0.225717,0.220650475,353.7999106,0.114103485,1,38.4,13023
3/3/64,27,300000,562,Employed,Master,5,27113,120,Single,0,Own,637,0.530008444,6,1,0.199572863,0,Home,0,19,22,5404,745,42970,40695,25000.0,0.954776704,7,2275,0.301113,0.288659491,692.1416217,0.053165665,1,39.2,16863
9/30/22,36,104847,610,Employed,Doctorate,13,30281,96,Married,3,Rent,352,0.158860963,0,2,0.170656754,0,Education,0,23,25,7273,1195,410521,54077,8737.25,0.873573743,12,356444,0.260281,0.237473184,706.990758,0.121204127,1,31.2,1733
1/2/34,33,30141,626,Employed,Bachelor,13,127945,48,Widowed,1,Own,362,0.444687657,3,2,0.353479859,0,Auto,0,22,8,2344,1533,18482,13938,2511.75,0.889006968,7,4544,0.309945,0.309110796,4674.831067,2.005307482,0,54.0,5845
4/1/58,35,171188,528,Unemployed,Bachelor,16,48682,96,Single,0,Other,212,0.326853476,4,1,0.563796373,0,Home,0,24,18,8664,1042,521118,25647,14265.66667,0.941678981,8,495471,0.319682,0.293030759,1318.898769,0.10731351,1,42.4,14700
5/27/19,39,64438,528,Self-Employed,Bachelor,17,69872,24,Married,2,Rent,628,0.119381631,2,1,0.277712595,0,Auto,0,21,18,641,5511,22340,93239,5369.833333,0.782649973,5,5241,0.280872,0.259818419,3763.683874,0.817843609,0,54.0,511
12/21/25,44,97359,600,Employed,Doctorate,21,96846,36,Married,1,Own,286,0.378240205,3,2,0.275600553,0,Education,0,19,17,1483,1113,175820,14275,8113.25,0.904904934,8,161545,0.281846,0.246553591,3832.949366,0.5076818,0,44.0,2911
9/24/27,70,280976,571,Employed,Doctorate,47,18911,48,Single,3,Mortgage,616,0.410117812,4,0,0.549132382,0,Education,0,19,7,249,694,57848,54549,23414.66667,0.857224599,6,3299,0.228411,0.213394504,589.0504918,0.051465627,1,46.4,3553
4/5/27,54,45523,562,Employed,High School,32,22387,24,Widowed,0,Rent,793,0.359893527,3,3,0.465182057,0,Debt Consolidation,0,29,14,221,1529,105717,11995,3793.583333,0.639550899,5,93722,0.216387,0.2153151,1156.223437,0.513821173,0,55.0,3381
4/22/72,54,145203,657,Self-Employed,Bachelor,31,33779,84,Married,1,Own,324,0.36302886,2,2,0.251061637,0,Education,0,17,13,5116,395,273812,18422,12100.25,0.572328097,6,255390,0.230279,0.235773459,824.5195445,0.09491701,1,32.8,19835
3/7/43,58,148391,585,Employed,Doctorate,35,46099,60,Divorced,0,Rent,995,0.402517689,1,1,0.428028366,0,Auto,0,24,26,1942,25493,196893,34400,12365.91667,0.914918115,5,162493,0.258599,0.284184954,1446.991279,0.197477578,1,40.8,9196
