Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,_source_row
1,1000,6,120,2000000.0,100000.0,73862.0,92.29,1184
3,1000,6,300,2000000.0,100000.0,138000.0,175.02,3116
1,1000,6,300,1000000.0,100000.0,68352.0,89.092,1193
3,10000,6,10,2000000.0,100000.0,205000.0,1022.0,3560
1,10000,9,300,10000000.0,10000.0,149000.0,356.78,1738
1,10000,15,300,10000000.0,100000.0,164000.0,544.38,1859
3,1000,6,120,2000000.0,100000.0,129000.0,174.8,3104
3,10000,15,300,10000000.0,1000.0,222000.0,1193.4,3777
1,10000,6,300,1000000.0,100000.0,145000.0,310.09,1673
3,10000,6,120,2000000.0,100000.0,213000.0,1036.2,3584
3,100,12,120,2000000.0,100000.0,40868.0,66.741,2744
1,10000,12,300,1000000.0,100000.0,158000.0,392.44,1793
1,100,12,120,2000000.0,100000.0,40469.0,19.389,824
1,10,12,300,2000000.0,100000.0,37680.0,2.1,356
3,10000,6,10,10000000.0,10000.0,202000.0,986.59,3562
3,1000,12,120,2000000.0,100000.0,141000.0,177.87,3224
3,10000,6,120,10000000.0,100000.0,217000.0,1047.8,3587
3,10000,6,300,1000000.0,100000.0,201000.0,961.5,3593
1,10000,15,300,2000000.0,100000.0,160000.0,403.89,1856
3,10000,12,300,1000000.0,100000.0,218000.0,1076.9,3713
1,10,6,120,2000000.0,100000.0,37451.0,1.9641,224
1,1000,6,300,10000000.0,100000.0,77747.0,99.777,1199
3,10000,12,300,2000000.0,100000.0,220000.0,1188.5,3716
