Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,_source_row
1,10,6,300,2000000.0,10000.0,34558.0,1.9466,235
3,10000,15,120,2000000.0,100000.0,223000.0,1103.7,3764
3,10000,6,10,2000000.0,100000.0,205000.0,1022.0,3560
1,10000,15,300,10000000.0,100000.0,164000.0,544.38,1859
1,1000,6,300,10000000.0,100000.0,77747.0,99.777,1199
3,1000,6,120,2000000.0,100000.0,129000.0,174.8,3104
1,1000,9,120,1000000.0,100000.0,77039.0,90.541,1241
3,100,12,120,2000000.0,100000.0,40868.0,66.741,2744
1,10000,6,300,1000000.0,100000.0,145000.0,310.09,1673
3,1000,12,120,2000000.0,100000.0,141000.0,177.87,3224
1,10000,15,120,100000.0,100000.0,161000.0,405.4,1838
3,10000,6,120,10000000.0,100000.0,217000.0,1047.8,3587
3,10000,6,120,2000000.0,100000.0,213000.0,1036.2,3584
1,10000,9,300,1000000.0,100000.0,148000.0,361.97,1733
3,1000,6,300,2000000.0,100000.0,138000.0,175.02,3116
1,100,12,10,2000000.0,10000.0,40760.0,20.007,799
3,100,6,120,2000000.0,100000.0,40800.0,64.873,2624
1,10000,9,120,2000000.0,10000.0,154000.0,398.38,1723
1,10000,15,300,2000000.0,100000.0,160000.0,403.89,1856
1,10000,9,10,2000000.0,100000.0,151000.0,390.0,1700
1,10,6,60,2000000.0,10000.0,37801.0,2.0138,211
1,10000,9,300,10000000.0,100000.0,149000.0,363.52,1739
1,100,6,60,2000000.0,100000.0,38499.0,18.839,692
1,10000,9,10,10000000.0,100000.0,150000.0,377.35,1703
1,10,6,120,2000000.0,10000.0,36481.0,1.9869,223
