Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,_source_row
3,1000,100,3,12,10,34740.0,1130.6,2625
3,1000,100,2,12,1000,30962.0,1087.6,2615
3,100,100,6,12,100,19619.0,160.14,2398
3,100,100,3,12,100,20337.0,165.4,2386
3,10,100,3,12,100,2848.4,101.11,2146
1,100,100,1,12,100,9090.4,110.19,922
1,100,100,2,12,100,9232.1,110.51,934
1,10,100,3,12,1000,918.35,100.4,707
1,10,100,6,12,1000,904.29,98.501,719
1,100,100,2,12,1000,9390.8,113.99,935
3,100,100,6,12,10,20708.0,171.23,2397
1,10,100,1,12,10,954.69,100.55,681
