No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,_source_row
0,0,0,0,9.0,19,6.0,44,6,75,65,26,160,414000000000000.0,60,1076,0.0,26.059,101.4888889,47792
0,0,0,0,16.0,8,6.0,35,5,96,-66,126,467,265000000000000.0,12,1102,0.0,27.671,152.825,47816
0,0,0,0,1.0,12,6.0,42,7,60,97,127,459,296000000000000.0,62,891,2.0,38.555,307.2285714,48054
0,0,0,0,11.0,4,1.0,48,2,86,-36,65,400,249000000000000.0,45,1138,1.0,31.626,101.1555556,48059
0,0,0,0,14.0,16,5.0,43,8,173,-84,128,532,175.0,70,1156,1.0,35.033,103.2888889,47943
0,0,0,0,19.0,24,0.0,40,6,43,-79,47,463,271000000000000.0,70,1074,4.0,46.586,154.15,47759
0,0,0,0,12.0,14,1.0,50,2,44,56,3,719,426000000000000.0,32,1044,9.0,43.263,99.4,48163
0,0,0,0,11.0,20,5.0,32,3,130,32,57,232,420000000000000.0,98,1155,1.0,44.637,47.8,48176
0,0,0,0,0.0,7,4.0,7,7,22,89,27,591,229000000000000.0,55,1146,4.0,78.012,103.1777778,47714
0,0,0,0,5.0,16,6.0,11,2,241,1,74,368,482000000000000.0,84,1190,11.0,79.928,49.66666667,47870
0,0,0,0,1.0,19,8.0,31,4,26,90,38,700,279000000000000.0,45,1241,1.0,81.936,0.0,47728
