twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
0,1,0,0,1,0,0,0,0,4,0,5,6,5373.2,229.0,43.954,87
1,1,0,0,1,1,1,0,0,3,2,15,0,5512.0,225.6,44.186667,1594
0,1,0,0,1,0,0,0,0,2,0,0,3,6471.6,304.6,36.636667,37
1,1,0,0,1,1,1,0,0,4,1,15,3,5255.8,227.0,44.786,1627
0,1,0,0,1,1,0,0,0,4,0,15,3,5289.8,278.6,41.788,279
1,1,0,0,1,1,1,0,1,4,0,0,0,5293.4,224.0,45.98,1671
0,1,1,0,0,0,0,0,1,1,1,5,3,59549.2,2191.4,26.340339,1024
1,1,0,0,1,1,1,0,1,4,2,15,0,5183.8,246.8,44.972,1703
1,1,0,0,1,1,1,0,1,4,0,15,6,5217.6,242.2,43.492,1767
0,1,0,1,0,1,0,0,1,1,0,15,0,40244.0,1481.2,26.5375,780
0,1,0,0,1,1,0,0,1,4,1,15,3,5239.8,232.0,42.272,391
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,383
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,1547
1,1,0,0,1,0,0,1,0,3,1,0,0,5674.2,255.2,37.566667,1302
