twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Performance-,Cpu-,_source_row
1,1,0,1,0,1,1,0,0,0,1,4,0,3,79777.0,3.818269,2130
0,1,0,1,0,1,0,0,0,0,1,4,15,6,50323.6,4.3184,934
0,1,0,1,0,1,0,0,0,1,0,4,15,3,31227.6,6.879355,958
1,1,0,1,0,1,1,0,0,0,0,1,15,3,89601.2,3.736404,2100
0,1,1,0,0,1,0,0,0,0,1,4,15,3,122510.6,3.622153,1498
1,1,0,1,0,1,0,1,0,1,0,4,0,0,40667.4,6.614134,2058
0,1,0,1,0,1,0,0,0,0,1,8,0,0,50508.2,3.840792,903
0,1,0,1,0,0,0,0,1,0,1,4,5,3,46083.0,4.356956,774
1,1,1,0,0,0,0,1,1,0,1,8,0,0,151179.2,3.542777,2391
0,1,0,1,0,0,0,0,1,1,1,4,5,6,28578.0,7.372734,858
1,1,0,1,0,1,0,1,1,1,0,8,0,0,40559.2,6.727622,2075
0,1,0,0,1,1,0,0,1,0,1,4,0,6,95669.2,3.714713,494
0,1,1,0,0,0,0,0,0,0,1,8,15,0,110367.4,3.697771,1199
0,1,0,1,0,0,0,0,1,1,1,2,15,6,28757.4,6.971035,861
1,1,1,0,0,1,1,0,1,0,1,8,0,3,165580.0,3.458215,2915
0,1,0,1,0,0,0,0,1,0,1,4,0,0,46002.0,4.447633,758
1,1,0,1,0,0,0,1,1,1,0,4,0,0,43927.4,6.566818,1754
1,1,1,0,0,1,1,0,0,0,1,8,15,0,168035.4,3.423692,2767
0,1,0,1,0,0,0,0,1,1,1,4,15,0,28675.8,7.134015,838
1,1,0,1,0,1,1,0,1,0,1,1,15,3,89932.0,3.724791,2280
0,1,0,1,0,1,0,0,1,0,1,8,5,0,50418.4,4.2896,1051
1,1,0,1,0,0,1,0,1,0,1,1,15,0,84276.6,3.745723,1948
0,1,0,1,0,0,0,0,1,1,0,4,5,6,28587.6,7.204483,822
0,1,1,0,0,0,0,0,0,0,1,8,0,0,110585.2,3.692593,1191
1,1,1,0,0,1,0,1,1,0,0,4,0,0,136608.6,3.556668,2706
