twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Performance-,Cpu-,_source_row
1,1,0,1,0,1,0,1,1,0,1,4,0,0,66458.0,3.968182,2070
1,1,0,1,0,1,1,0,0,0,1,4,0,3,79777.0,3.818269,2130
0,1,0,1,0,0,0,0,1,1,0,4,5,6,28587.6,7.204483,822
1,1,0,1,0,1,1,0,0,0,0,1,15,3,89601.2,3.736404,2100
0,1,0,1,0,0,0,0,1,1,0,8,0,3,28470.8,7.510961,807
0,1,0,1,0,0,0,0,1,1,0,4,15,6,28615.2,7.204261,826
0,1,0,1,0,1,0,0,1,1,0,4,0,3,31076.8,7.163226,1094
0,1,0,0,1,1,0,0,1,0,1,4,0,6,95669.2,3.714713,494
1,1,0,1,0,1,1,0,1,0,1,4,0,3,79617.2,3.892177,2274
0,1,1,0,0,1,0,0,0,0,1,8,0,6,122457.6,3.596954,1503
0,1,0,1,0,1,0,0,0,1,0,8,15,3,31203.0,6.830484,959
0,1,0,1,0,1,0,0,1,0,0,4,15,3,50877.8,3.984227,1030
1,1,0,1,0,1,0,1,1,1,0,8,0,0,40559.2,6.727622,2075
1,1,1,0,0,1,1,0,1,0,1,8,0,3,165580.0,3.458215,2915
1,1,1,0,0,1,0,1,0,0,1,8,0,0,139502.6,3.553888,2695
1,1,1,0,0,0,0,1,1,0,0,4,0,0,150903.8,3.539553,2386
0,1,0,1,0,0,0,0,0,0,1,8,0,3,45917.6,4.564348,627
1,1,1,0,0,0,1,0,0,0,1,8,0,3,168291.2,3.435225,2451
0,1,1,0,0,0,0,0,0,0,1,8,0,3,110397.2,3.633668,1203
1,1,1,0,0,1,0,1,1,0,0,4,0,0,136608.6,3.556668,2706
0,1,0,1,0,0,0,0,0,0,1,4,0,3,45990.2,4.263546,626
1,1,0,1,0,1,1,0,0,0,1,8,0,3,79359.4,3.950726,2131
0,1,0,0,1,0,0,0,1,0,1,4,0,6,86354.0,3.755581,206
1,1,0,1,0,1,0,1,0,1,1,2,0,0,40601.6,6.555854,2061
