Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput-,Latency-,_source_row
3,100,1,120,2000000.0,100000.0,87.4,23256.0,2444
1,10,3,300,2000000.0,10000.0,35939.0,1.9115,175
3,10,1,120,2000000.0,100000.0,87.75,3054.8,1964
1,10,1,120,2000000.0,10000.0,8569.0,8.637,43
1,10,2,120,2000000.0,100000.0,1442.1,69.313,104
1,10,1,300,2000000.0,10000.0,5288.8,9.8958,55
1,10,2,300,2000000.0,10000.0,8034.7,8.8802,115
1,100,1,300,2000000.0,100000.0,515.15,1862.2,536
3,10,1,120,2000000.0,10000.0,905.53,302.06,1963
1,100,1,120,2000000.0,100000.0,362.83,1923.3,524
3,10,1,300,2000000.0,100000.0,98.0,3007.2,1976
1,10,2,120,2000000.0,10000.0,8535.6,8.7319,103
1,10,2,300,2000000.0,100000.0,927.0,81.577,116
1,10,1,120,2000000.0,100000.0,1065.5,70.385,44
