Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput-,Latency-,_source_row
3,100,1,120,1000000.0,10000.0,803.06,3418.6,2440
1,1000,2,120,10000000.0,10000.0,1452.5,5757.6,1066
3,10000,1,120,10000000.0,10000.0,9561.5,18231.0,3406
1,1000,1,120,1000000.0,1000.0,3103.8,2832.6,999
3,10,1,120,1000000.0,10000.0,903.75,303.06,1960
3,1000,1,120,1000000.0,1000.0,7833.8,3680.6,2919
3,10000,2,120,2000000.0,1000.0,31659.0,9955.4,3462
3,1000,2,120,1000000.0,10000.0,45097.0,7875.9,2980
1,1000,2,120,1000000.0,1000.0,9820.4,923.34,1059
1,100,1,120,10000000.0,10000.0,3965.6,189.5,526
3,10,1,120,2000000.0,1000.0,6309.5,37.86,1962
