encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,Level,ProcessorCount,MaxRam,Performance-,Benchmark-cpu-,_source_row
1,1,0,0,1,0,0,0,0,3,1,18,14951.2,31.528,1046
0,0,0,0,0,0,0,0,1,9,2,6,14386.4,32.657714,485
0,0,0,0,0,0,0,0,1,3,2,18,10422.6,33.97,515
1,0,0,0,0,0,0,0,1,1,3,18,14669.4,32.473714,630
0,1,0,0,0,0,1,1,0,1,1,18,67616.4,27.131773,2772
0,1,0,0,0,1,0,0,0,1,1,18,225432.6,25.810571,1800
0,0,0,0,0,0,0,1,0,2,4,18,10199.0,34.692,208
0,1,0,1,0,0,0,0,1,1,1,18,25019.6,30.2662,3636
1,1,0,1,0,0,0,0,0,1,1,18,28297.6,29.950369,3960
0,0,0,0,0,0,0,0,1,6,2,6,12019.2,32.843333,482
0,1,0,0,1,0,0,0,0,2,2,18,9772.8,45.010889,946
0,0,0,0,0,0,0,0,0,1,2,18,10373.0,34.169455,81
0,1,0,0,0,1,0,0,0,8,1,18,1651960.2,25.339323,1807
1,1,0,0,1,0,0,0,0,1,1,18,14846.2,31.652857,1044
0,1,0,0,0,1,0,0,1,6,2,6,693542.4,25.712018,1994
0,1,0,1,0,0,0,1,0,2,1,18,27071.8,30.214762,3745
1,1,0,0,0,1,0,0,1,1,3,6,223406.6,26.311659,2106
1,1,0,0,0,1,0,1,0,7,1,18,705071.0,25.498153,2454
1,1,0,1,0,0,0,0,1,1,1,18,28054.2,30.017143,4176
0,1,0,0,0,1,0,1,0,1,1,6,218113.8,26.649652,2196
1,1,0,0,0,1,0,0,0,1,3,6,223368.4,26.327444,1890
0,0,0,0,0,0,0,0,0,1,1,18,10330.6,34.278,72
0,1,0,1,0,0,0,0,1,6,1,18,49114.6,29.674218,3641
0,1,0,0,0,1,0,0,1,2,1,6,220019.0,26.459311,1981
0,1,1,0,0,0,0,0,0,6,1,18,67109.2,28.211391,4397
1,1,0,1,0,0,0,0,0,2,1,18,30193.4,29.823548,3961
0,1,0,0,1,0,0,1,0,2,2,18,9645.6,46.944,1162
0,0,0,0,0,0,0,1,0,3,2,18,10519.6,33.770909,191
0,1,0,1,0,0,0,1,0,6,1,18,49313.6,29.481768,3749
0,1,1,0,0,0,0,0,1,6,1,18,67151.4,28.130564,4613
