encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,Level,ProcessorCount,MaxRam,Performance-,Benchmark-cpu-,_source_row
0,1,0,0,0,1,0,1,1,8,1,18,1657751.6,25.337672,2347
0,1,0,0,1,0,0,1,0,2,2,18,9645.6,46.944,1162
0,1,0,0,0,1,0,1,0,9,3,6,1650529.0,25.405164,2222
1,1,0,0,0,1,0,0,1,4,1,18,705081.6,25.526591,2127
0,0,0,0,0,0,0,1,0,2,1,18,10233.4,35.643091,181
0,1,0,0,1,0,0,0,0,2,2,18,9772.8,45.010889,946
0,1,0,0,0,1,0,0,1,6,2,6,693542.4,25.712018,1994
0,1,0,0,0,1,0,0,0,1,1,18,225432.6,25.810571,1800
0,1,0,0,0,1,0,1,0,1,2,6,218147.6,26.621107,2205
0,1,1,0,0,0,0,0,0,1,1,18,72043.8,27.107415,4392
0,1,0,0,0,0,1,0,1,2,1,6,67567.8,27.51511,3061
0,1,0,1,0,0,0,0,0,3,1,18,32018.2,29.410275,3530
0,1,0,0,1,0,0,1,0,1,2,18,9702.2,46.794,1161
0,0,0,0,0,0,0,1,0,2,3,6,10255.0,35.600364,163
0,0,0,0,0,0,0,0,0,1,1,18,10330.6,34.278,72
0,0,0,0,0,0,0,0,1,6,2,6,12019.2,32.843333,482
0,0,0,0,0,0,0,0,1,3,1,18,10447.6,33.826,506
0,1,0,1,0,0,0,1,0,1,1,18,25057.2,31.028,3744
0,1,0,1,0,0,0,1,0,3,1,18,32009.4,29.99875,3746
0,1,0,0,0,1,0,0,0,1,3,6,220203.8,26.496955,1782
1,0,0,0,0,0,0,0,0,2,2,6,14564.4,31.747238,262
0,1,0,1,0,0,0,1,0,2,1,18,27071.8,30.214762,3745
0,1,0,0,0,1,0,1,0,1,1,18,224713.8,25.853438,2232
1,0,0,0,0,0,0,1,1,1,2,6,14227.0,32.345714,801
1,1,0,0,1,0,0,0,0,3,1,18,14951.2,31.528,1046
0,1,0,1,0,0,0,0,0,1,1,18,25101.4,30.697969,3528
0,1,0,0,0,0,1,1,0,1,1,18,67616.4,27.131773,2772
0,0,0,0,0,0,0,0,1,3,2,18,10422.6,33.97,515
0,0,0,0,0,0,0,0,0,1,2,18,10373.0,34.169455,81
