name,Buy-,Sell+,color 1,color 2,size,Miles_Price,source,seasonal_Availability,mannequin_Piece,style,type,villager_Equippable,catalog,filename,unique_Entry_ID,_source_row
Chimayo vest,1120.0,280,Red,Green,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopYshirtsLChimayo1,9448,8rTMGjNiqHnwmu5Jx,181
bowling shirt,1260.0,315,Red,Black,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHBowling0,3698,nqr3XGTNmtobMKMch,111
lacy tank,850.0,212,White,White,1,640,Able Sisters,Summer,Yes,Cute,Yes,For sale,TopsTexTopTshirtsNCamisolelace0,3239,GY7P6emey7tvkci5S,527
dolly shirt,960.0,240,Light blue,Blue,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopPuffHDolly1,11952,AcacBmTTXMoCpthvT,269
blossom tee,800.0,200,Pink,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower0,8205,M7qCnBYqNGLyLSskf,84
guayabera shirt,1120.0,280,Blue,Blue,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHCuba3,9436,zLdpKoiAKMRKuy7fS,435
sleeveless parka,1200.0,300,Purple,Black,1,640,Able Sisters,Summer,Yes,Active,Yes,For sale,TopsTexTopOuterNNosleeve3,7996,QnPQeiQ3CbF3J8yEQ,891
retro sweater,1200.0,300,Purple,Colorful,1,640,Able Sisters,Winter,Yes,Cute,Yes,For sale,TopsTexTopOuterLHighsence0,4575,dEvz6cPYicrEfAXRp,788
lacy shirt,850.0,212,Black,Black,1,640,Able Sisters,Summer,Yes,Elegant,Yes,For sale,TopsTexTopTshirtsHLace0,3811,ngdhgZrf5ibCcotY4,525
Nook Inc. blouson,1348.395967,4000,Green,Green,1,800,Nook Miles Shop,All Year,No,Simple,Yes,Not for sale,TopsTexTopOuterLRco,5625,3yAwEXCgtLKgxqY3q,623
blossom tee,800.0,200,Light blue,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower1,12099,cskAiddHb4wcR4Rny,85
animal-stripes tee,960.0,240,Gray,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHStripe1,12066,gkjWimKdm6sMgiTw8,15
A tee,560.0,140,Blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR,0
after-school jacket,1050.0,262,Red,Green,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen1,7554,mGvZuvYbGma2REd6A,4
apron,840.0,210,Gray,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron6,9600,QdF6ZF74688kYPLx3,26
apron,840.0,210,Purple,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron5,9599,GRb6jZGaZzWdsmYuj,25
work apron,1100.0,275,Brown,Blue,1,640,Able Sisters,All Year,Yes,Active,Yes,For sale,TopsTexTopCoatLWorkapron0,9830,LGnwusDDvGBNQzYoz,1091
big-star tee,560.0,140,Blue,Yellow,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHStar0,6822,JpATLjagWyw8q8zqx,77
hello tee,640.0,160,Black,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHelloen0,12116,PvdrCjp68ATfFAWTx,472
handmade cape,500.0,125,Red,Light blue,1,640,International Children's Day,All Year,No,Active,Yes,Not in catalog,TopsTexTopCoatHChildren0,12575,kyri67BZSPNBozQ3K,450
ciao tee,640.0,160,Red,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHelloit0,12120,QPxsFRrvvtHwR2STb,184
heart apron,1000.0,250,Purple,White,1,640,Able Sisters,All Year,No,Cute,Yes,For sale,TopsTexTopCoatLHeartapron3,9604,jLwfArowQrb2Szc8Q,464
thread-worn sweater,980.0,245,Black,White,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopTshirtsLDamage1,8556,5WikqoBPEKiw2wvJu,1014
after-school jacket,1050.0,262,Purple,Blue,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen4,7557,svQfLQXgrowTDaDoh,7
after-school jacket,1050.0,262,White,Black,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen3,7556,N6nbrMGHwztxBWTMm,6
