name,Buy-,Sell+,color 1,color 2,size,Miles_Price,source,seasonal_Availability,mannequin_Piece,style,type,villager_Equippable,catalog,filename,unique_Entry_ID,_source_row
noble coat,4800.0,1200,Red,Yellow,1,640,Able Sisters,All Year,No,Gorgeous,Yes,For sale,TopsTexTopCoatLNoble7,7425,8hM7A9mfL472rQr9K,621
coatigan,2380.0,595,Purple,White,1,640,Able Sisters,Winter,Yes,Elegant,Yes,For sale,TopsTexTopCoatLCoadigan0,4601,aKqB3pjKs6ifCMixr,185
dragon jacket,2000.0,500,Black,Yellow,1,640,Able Sisters,Winter,Yes,Active,Yes,For sale,TopsTexTopOuterLSukajandragonBlack,3256,P87yK7fWJs6bj6TYg,294
boa blouson,1680.0,420,Purple,White,1,640,Able Sisters,Winter,Yes,Cute,Yes,For sale,TopsTexTopOuterLBlouson0,4598,tsxSZ2Dy6kYf8hsyR,89
Aran-knit cardigan,1300.0,325,Yellow,Yellow,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan3,7680,7nmckbhG5uG3JQxPz,31
gilet and shirt,1120.0,280,Black,White,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopTshirtsHGillet0,3676,fBWJR2m42FRP27E2R,403
camper tee,840.0,210,Green,Green,1,640,Nook Shopping Promotion,All Year,No,Simple,Yes,Not in catalog,TopsTexTopTshirtsHOkmotors0,12426,WiN73dy22JaKPfnmp,142
annyeong tee,640.0,160,Light blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHellokr0,12117,mfMor9YWpsoEbPK5e,16
A tee,560.0,140,Blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR,0
handmade cape,500.0,125,Red,Light blue,1,640,International Children's Day,All Year,No,Active,Yes,Not in catalog,TopsTexTopCoatHChildren0,12575,kyri67BZSPNBozQ3K,450
