DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
2.116,4.965,4.302,4.414,3.514,2.712,1.17,2.792,2.169,17.253,2.815,4.827,4.476,2.383,2.692,1.245,1.82,4.349,3.719,1.641,2.387,3.0,5.86,3.288,3.099,3.418,2.0,20.778,9.394,148.501,0.0,9187
4.771,2.318,4.164,2.664,7.973,3.531,1.52,1.371,1.255,224.516,1.187,4.455,1.769,3.42,2.955,1.108,4.966,3.173,1.22,3.223,3.517,3.0,3.135,3.57,1.491,3.204,2.0,963.509,30.192,24349.565,2.681,2466
4.767,3.049,4.157,3.355,6.326,1.116,1.3,2.092,1.468,372.021,3.217,4.233,2.907,1.41,2.584,1.078,2.437,4.748,3.306,1.624,5.369,3.0,3.717,3.267,1.553,3.715,2.0,1333.825,34.626,46808.222,1.072,4568
3.817,1.863,3.192,2.738,9.836,2.646,2.63,3.262,4.93,343.699,1.774,3.6,4.549,3.692,2.91,1.295,1.325,4.7,2.654,1.822,4.613,3.0,1.537,3.627,1.743,3.234,2.0,1168.68,32.149,56023.687,1.34,6514
3.679,1.526,3.275,4.179,3.905,1.524,2.311,5.013,1.9,224.029,1.666,3.358,2.267,2.458,2.073,3.655,2.994,2.524,1.852,1.162,3.538,3.0,4.457,3.432,4.514,3.801,2.0,619.559,26.65,7387.078,1.34,1121
4.714,1.416,4.745,4.438,5.616,3.34,1.26,1.713,2.104,251.401,1.121,4.974,3.346,2.734,2.313,1.955,2.556,3.56,1.552,2.281,3.867,3.0,4.949,3.077,2.495,3.724,2.0,754.89,28.663,18264.094,2.145,6121
3.63,2.531,4.007,2.997,3.898,3.53,1.054,1.061,4.288,299.76,3.469,3.459,2.003,3.975,2.228,1.746,3.334,4.818,1.713,2.611,4.287,3.0,2.861,3.186,2.298,3.571,2.0,880.333,29.515,31413.211,1.609,8214
3.697,4.328,3.191,4.678,5.518,1.555,1.543,4.418,3.72,242.291,3.307,3.206,1.399,1.188,2.716,1.408,1.45,3.192,3.413,1.101,3.313,3.0,5.08,3.917,4.636,3.557,2.0,507.81,24.634,6039.033,0.0,7607
4.163,3.287,3.715,4.869,7.776,2.483,1.518,1.367,4.323,245.729,2.169,3.247,4.947,2.634,2.306,2.727,4.484,2.542,1.97,1.361,4.916,3.0,4.379,3.754,1.774,3.069,2.0,426.873,23.293,9864.453,1.072,1479
2.081,2.815,3.618,2.962,9.751,1.281,1.597,2.662,1.804,107.801,1.445,3.202,1.054,1.275,2.383,2.861,2.017,3.996,1.529,3.565,3.052,3.0,2.807,3.245,3.279,3.895,2.0,336.137,21.723,12294.087,1.34,7145
3.122,2.725,3.252,2.975,4.197,2.689,1.719,1.848,2.081,14.266,2.049,4.383,3.058,2.117,2.076,1.924,2.365,3.194,3.817,1.174,2.346,3.0,5.561,3.697,1.173,3.087,2.0,35.727,11.207,994.449,0.536,9580
2.175,3.728,4.941,4.241,9.515,1.725,1.769,2.689,3.847,191.699,3.039,3.464,3.37,3.953,2.081,2.771,3.308,4.401,1.156,3.827,4.116,3.0,5.653,3.746,1.182,3.741,2.0,234.887,19.464,2672.325,2.145,5045
2.255,1.0,3.395,4.718,7.387,1.253,1.543,2.324,1.172,294.558,3.505,3.54,3.946,2.564,2.665,4.564,1.193,4.852,2.224,3.321,2.225,3.0,4.548,3.641,1.64,3.224,2.0,363.396,23.19,8599.651,0.0,5460
4.798,1.113,3.619,4.644,6.641,2.492,2.026,5.31,4.509,128.288,1.37,3.859,4.158,1.367,2.608,2.883,3.595,3.092,1.295,1.938,3.471,3.0,3.139,3.642,1.5,3.171,2.0,301.734,20.973,10562.875,1.34,9414
2.068,1.978,3.088,3.428,3.864,3.389,2.435,1.986,4.813,11.338,2.29,4.425,2.773,3.235,2.17,1.81,1.345,3.033,2.917,1.553,4.682,3.0,4.843,3.416,1.238,3.212,2.0,38.111,11.463,847.742,0.536,8732
4.775,5.104,3.384,2.932,6.511,1.606,1.029,1.265,1.196,47.058,2.14,3.715,3.21,3.867,2.067,3.546,1.268,3.777,2.12,3.105,4.245,3.0,3.292,3.103,3.613,3.613,2.0,204.819,19.331,2306.77,0.0,9405
4.225,2.62,3.632,2.527,7.745,3.601,1.963,3.494,1.452,78.137,1.801,4.71,4.75,1.206,2.304,1.968,2.873,2.153,2.165,3.63,5.719,3.0,5.117,3.753,1.99,3.902,2.0,194.587,18.63,4437.749,1.072,1460
3.232,4.577,3.529,2.488,3.509,1.246,2.171,1.007,2.947,12.537,3.293,3.179,2.828,2.063,2.721,4.772,1.8,2.346,1.62,2.769,2.326,3.0,3.249,3.401,1.661,3.978,2.0,35.48,11.047,589.539,1.609,5985
3.829,5.485,4.593,2.72,5.238,1.073,2.64,5.133,2.116,15.43,3.131,3.574,4.532,2.084,2.907,4.064,3.83,2.163,2.604,4.979,2.302,3.0,5.299,3.344,1.884,3.074,2.0,25.961,9.844,44.324,1.609,1651
3.644,3.77,4.238,2.006,8.483,2.365,1.241,4.534,3.815,29.53,1.928,3.508,2.172,3.182,2.998,4.784,3.59,3.037,1.305,2.279,2.914,3.0,3.11,3.968,1.228,3.344,2.0,154.748,17.392,1570.536,2.413,9003
3.598,1.851,3.808,4.928,3.63,2.384,1.497,2.861,3.604,63.452,1.808,4.003,4.244,1.514,2.433,4.33,3.693,2.027,1.023,1.714,3.516,3.0,3.818,3.389,2.2,3.897,2.0,119.519,15.952,2456.553,1.609,5259
2.146,4.43,4.141,3.722,5.435,2.103,4.249,3.355,2.14,22.33,1.883,3.929,4.145,3.948,2.231,5.82,1.989,3.246,3.939,4.322,5.347,3.0,1.327,3.897,4.095,3.569,2.0,109.491,15.337,74.96,0.268,4650
