DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
3.569,1.895,4.861,4.527,4.891,3.416,2.367,5.274,3.092,20.31,3.501,4.604,1.659,3.913,2.839,1.97,4.701,3.51,3.641,2.452,4.093,3.0,5.773,3.237,2.756,3.625,2.0,45.575,11.617,128.528,0.0,401
4.175,5.433,4.873,4.063,5.815,3.822,4.117,1.878,1.95,16.166,2.634,4.363,2.474,3.076,2.355,5.431,4.973,2.396,2.27,2.286,3.149,3.0,5.81,3.547,3.363,3.997,2.0,62.289,12.916,39.161,1.072,4156
2.422,5.199,4.976,4.876,3.249,1.897,2.432,5.424,4.858,16.959,2.918,4.616,4.232,1.295,2.024,1.913,3.694,3.301,2.674,3.402,2.445,3.0,4.341,3.934,2.463,3.066,2.0,22.589,9.421,73.337,2.145,8878
4.926,5.454,3.907,2.819,7.572,1.72,1.551,3.836,4.543,11.812,1.319,3.079,3.621,1.789,2.968,5.733,1.53,2.742,3.614,4.899,5.173,3.0,5.857,3.65,3.335,3.631,2.0,43.032,11.387,94.758,0.268,8386
4.535,5.153,4.456,4.858,6.866,2.861,4.236,2.624,2.263,11.531,3.689,4.459,4.479,1.407,2.254,5.776,2.188,2.715,2.428,2.492,2.699,3.0,4.669,3.079,2.85,3.123,2.0,33.608,10.866,43.508,1.072,8466
3.276,4.835,3.463,4.841,3.296,2.107,1.323,3.021,2.123,12.53,1.164,4.276,3.908,3.585,2.85,1.971,2.318,2.201,3.068,3.415,4.658,3.0,1.497,3.105,2.727,3.173,2.0,27.001,10.063,276.123,0.268,8966
3.199,5.914,4.441,2.381,5.793,2.232,2.137,5.619,1.206,11.526,1.223,4.957,3.424,1.302,2.868,4.817,2.45,2.113,3.396,2.187,3.308,3.0,5.176,3.029,1.312,3.239,2.0,38.632,11.465,76.161,0.536,2903
3.999,1.358,4.555,4.538,8.794,2.99,3.041,2.689,3.694,15.27,2.005,4.532,4.954,2.283,2.599,5.03,4.011,3.615,3.575,2.69,3.597,3.0,5.863,3.608,1.289,3.029,2.0,30.017,10.363,161.223,0.0,7619
2.451,5.396,3.598,2.506,3.126,3.453,4.344,5.513,3.535,22.695,1.713,4.444,4.677,2.992,2.163,4.769,3.349,4.745,3.873,4.503,3.225,3.0,5.487,3.478,2.698,3.074,2.0,73.137,13.304,56.704,0.0,5327
2.582,3.496,3.519,2.536,7.498,2.654,4.97,5.233,3.779,11.72,3.986,3.318,4.971,3.47,2.579,4.035,3.429,2.228,3.177,4.026,4.439,3.0,3.13,3.609,1.931,3.488,2.0,53.296,12.34,55.842,0.536,8777
