DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
3.339,3.514,2.017,2.188,5.807,5.588,3.575,5.514,4.75,77.353,3.946,3.0,2.419,3.0,3.291,5.356,1.742,2.0,5.0,1.269,2.28,1.226,3.0,3.511,2.158,3.818,2.729,719.712,19.881,3544.201,3.485,7847
2.129,2.692,2.96,2.107,9.837,5.297,3.384,2.671,2.238,82.167,3.84,3.0,2.589,3.0,3.863,5.729,1.38,2.0,5.0,1.503,2.441,1.224,3.0,4.293,2.655,3.125,2.377,512.308,17.822,3931.814,3.485,7517
2.984,4.349,2.599,2.971,4.62,5.441,3.306,5.346,3.39,89.088,3.486,3.0,2.907,3.0,2.22,3.372,1.223,2.0,5.0,2.679,2.132,1.501,3.0,3.436,2.72,5.421,2.219,476.555,17.746,4836.574,4.021,9023
3.091,5.936,2.513,2.624,8.202,5.981,3.747,5.242,3.787,94.574,3.644,3.0,2.521,3.0,3.997,5.126,1.821,2.0,5.0,1.833,2.409,1.591,3.0,4.664,2.179,4.654,2.337,812.787,20.576,3179.24,3.485,8992
4.504,3.125,2.232,2.334,3.859,5.178,2.294,2.426,4.263,75.389,3.849,3.0,2.648,3.0,2.801,5.718,1.643,2.0,5.0,1.757,2.366,2.433,3.0,3.095,2.198,5.585,2.701,508.353,20.717,4858.548,1.072,1416
3.41,1.06,2.057,2.895,6.114,5.527,3.804,5.081,3.082,80.338,3.142,3.0,2.605,3.0,2.841,5.208,1.712,2.0,5.0,2.977,3.45,1.389,3.0,3.371,2.85,3.315,2.644,706.197,19.818,3710.144,4.021,5954
2.695,5.55,2.739,2.257,6.694,5.947,3.189,2.532,4.837,79.574,3.758,3.0,2.435,3.0,3.204,5.992,1.363,2.0,5.0,2.951,2.071,2.292,3.0,3.421,2.042,3.284,2.538,512.179,20.717,2149.427,1.072,5417
2.451,4.837,2.367,2.212,6.636,5.066,2.344,5.581,2.543,80.316,3.3,3.0,2.737,3.0,2.388,5.714,1.143,2.0,5.0,1.128,2.915,1.937,3.0,4.338,2.499,3.112,2.469,670.864,19.962,3381.584,4.021,304
3.962,5.712,2.448,2.812,3.29,5.324,2.208,4.423,2.795,76.815,3.014,3.0,2.256,3.0,1.674,5.994,1.847,2.0,5.0,1.659,2.476,1.335,3.0,3.465,2.448,3.156,2.506,744.766,20.273,3363.086,5.362,3450
4.264,4.218,2.551,2.169,3.161,5.921,2.399,4.267,4.466,81.399,3.298,3.0,2.92,3.0,3.959,3.445,1.878,2.0,5.0,1.977,2.87,2.644,3.0,3.791,2.093,3.971,2.702,514.625,20.451,4339.648,1.072,7361
