DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
4.086,2.99,2.372,2.335,7.076,5.886,2.464,3.451,3.627,82.666,3.677,3.0,2.727,3.0,3.759,5.408,1.542,2.0,5.0,2.568,2.873,1.788,3.0,3.914,2.405,3.48,2.972,627.258,19.092,3891.825,3.485,7963
2.05,5.474,2.711,2.779,9.518,5.424,2.577,5.916,4.969,105.464,3.925,3.0,2.56,3.0,2.493,5.099,1.545,2.0,5.0,1.09,2.356,1.323,3.0,3.837,2.385,3.169,2.916,536.341,17.906,3276.884,4.021,2735
2.027,1.789,2.627,2.364,3.28,5.201,3.269,4.292,4.619,75.233,3.938,3.0,2.426,3.0,2.952,4.626,1.413,2.0,5.0,2.798,2.374,1.208,3.0,3.272,2.823,3.371,2.552,557.276,17.651,3629.095,4.021,928
2.379,5.517,2.45,2.325,9.96,5.939,2.931,5.248,4.392,96.018,3.143,3.0,2.808,3.0,2.258,5.355,1.935,2.0,5.0,2.778,2.742,1.514,3.0,3.867,2.398,3.631,2.767,619.329,18.721,3183.875,4.021,8807
2.791,4.523,2.165,2.631,5.387,5.065,3.834,5.65,4.251,78.269,2.971,3.0,2.801,3.0,1.087,5.651,1.661,2.0,5.0,2.779,3.402,1.079,3.0,4.831,2.744,3.275,2.864,600.298,18.399,3029.378,5.898,574
2.868,5.017,2.773,2.791,6.044,5.191,3.984,5.518,4.254,100.304,3.056,3.0,2.51,3.0,3.54,5.245,1.818,2.0,5.0,2.823,2.302,2.302,3.0,3.575,2.841,3.335,2.637,885.628,23.682,1811.826,1.072,5416
2.027,5.825,2.781,2.2,8.159,5.049,2.785,1.466,3.017,87.8,3.695,3.0,2.528,3.0,3.343,3.194,1.033,2.0,5.0,2.376,2.536,1.196,3.0,3.226,2.479,3.202,2.891,372.885,16.374,5123.502,3.485,9646
2.504,3.699,2.032,2.69,6.949,5.012,3.194,5.735,2.626,84.256,3.741,3.0,2.134,3.0,3.117,5.228,1.393,2.0,5.0,2.855,2.15,1.573,3.0,3.618,2.177,3.674,2.004,633.67,19.038,2948.733,3.485,2569
3.187,4.016,2.608,2.475,7.599,5.272,3.834,4.543,3.81,81.392,3.788,3.0,2.131,3.0,3.099,3.578,1.763,2.0,5.0,2.139,2.263,1.04,3.0,3.873,2.839,4.301,2.629,590.042,18.09,4698.319,3.485,8200
2.463,5.587,2.869,2.655,3.783,5.031,3.575,3.979,2.08,93.807,3.547,3.0,2.704,3.0,1.524,4.637,1.72,2.0,5.0,2.985,2.406,1.946,3.0,4.475,2.031,3.188,2.94,652.137,19.603,2927.852,5.362,407
2.974,4.164,2.982,2.654,9.763,5.578,3.786,3.832,2.599,91.432,3.62,3.0,2.488,3.0,3.82,5.32,1.56,2.0,5.0,2.473,2.202,2.615,3.0,3.828,2.205,3.115,2.439,414.883,19.721,2263.258,1.072,5896
2.075,1.788,2.731,2.623,6.28,5.321,2.075,4.287,2.97,81.025,3.674,3.0,2.122,3.0,3.042,1.278,1.586,2.0,5.0,2.738,2.827,2.629,3.0,4.84,2.485,3.709,2.94,415.465,19.543,6506.415,1.072,99
3.966,5.902,2.827,2.855,5.648,5.959,2.061,5.326,3.992,85.26,3.809,3.0,2.862,3.0,3.412,4.123,1.733,2.0,5.0,2.736,2.369,2.756,3.0,4.264,2.91,3.414,2.666,630.563,22.015,1851.034,1.072,5934
2.682,3.96,2.705,2.823,3.92,5.518,3.296,4.611,3.337,76.292,3.752,3.0,2.646,3.0,3.016,3.275,1.868,2.0,5.0,2.521,2.201,1.383,3.0,3.837,2.794,5.513,2.957,614.811,18.726,3990.694,3.485,2775
2.516,4.421,2.021,2.979,5.294,5.249,3.114,1.713,4.639,75.563,3.455,3.0,2.168,3.0,3.287,4.509,1.622,2.0,5.0,2.581,2.173,1.29,3.0,3.812,2.693,3.681,2.886,588.092,18.24,4429.234,3.485,6122
