DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
4.869,2.901,2.191,2.995,3.338,5.782,3.228,1.577,3.898,88.958,3.67,3.0,2.855,3.0,3.397,3.588,1.992,2.0,5.0,1.057,3.247,1.76,3.0,4.366,2.509,3.044,2.643,501.792,17.705,8105.342,3.485,9048
3.25,3.789,2.729,2.05,4.707,5.454,3.139,5.826,4.168,98.974,3.438,3.0,2.791,3.0,3.179,5.793,1.918,2.0,5.0,2.325,2.864,2.292,3.0,4.074,2.848,4.465,2.007,757.609,23.062,2957.676,1.072,9864
3.185,2.149,2.641,2.144,7.313,5.557,3.731,1.865,3.502,83.14,3.918,3.0,2.783,3.0,3.983,2.245,1.052,2.0,5.0,1.25,2.034,2.027,3.0,3.557,2.731,3.028,2.976,470.516,19.853,6669.067,1.072,5289
2.586,2.863,2.396,2.867,3.244,5.529,2.7,5.099,3.161,84.568,3.614,3.0,2.817,3.0,1.372,5.562,1.417,2.0,5.0,2.575,2.215,2.759,3.0,3.259,2.221,4.172,2.927,493.651,21.166,2941.499,2.413,6821
3.235,5.956,2.879,2.821,5.963,5.268,2.025,1.633,4.283,78.114,2.583,3.0,2.725,3.0,3.129,1.513,1.788,2.0,5.0,2.8,2.412,1.256,3.0,4.306,2.242,3.234,2.139,489.074,17.336,6568.43,4.021,488
3.177,2.642,2.466,2.696,3.314,5.4,3.636,4.474,3.916,97.938,2.897,3.0,2.721,3.0,3.912,5.845,1.789,2.0,5.0,1.873,2.121,2.196,3.0,3.772,2.066,3.75,2.638,531.852,20.665,3383.604,1.072,2323
3.184,4.205,2.172,2.386,3.351,5.139,2.481,4.734,3.735,100.664,2.958,3.0,2.827,3.0,2.657,1.416,1.922,2.0,5.0,2.881,2.882,2.97,3.0,3.259,2.015,3.894,2.62,526.204,21.616,6037.452,1.072,1191
2.412,4.718,2.426,2.715,9.267,5.927,3.213,4.948,4.483,110.841,3.967,3.0,2.781,3.0,3.296,5.149,1.289,2.0,5.0,2.671,3.77,2.334,3.0,4.863,2.939,3.547,2.837,618.55,21.422,3152.142,1.072,5024
3.189,4.411,2.599,2.941,3.74,5.054,3.324,5.895,2.894,83.678,3.4,3.0,2.841,3.0,3.149,4.618,1.786,2.0,5.0,1.783,2.024,1.737,3.0,3.964,2.612,5.426,2.569,591.292,18.969,3023.601,3.485,9599
3.095,5.161,2.294,2.967,6.297,5.447,2.424,5.915,4.732,82.095,3.067,3.0,2.177,3.0,3.621,3.808,1.459,2.0,5.0,1.957,2.313,1.802,3.0,3.252,2.509,3.935,2.894,506.398,17.751,3292.297,3.485,9401
