DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
2.027,5.825,2.781,2.2,8.159,5.049,2.785,1.466,3.017,87.8,3.695,3.0,2.528,3.0,3.343,3.194,1.033,2.0,5.0,2.376,2.536,1.196,3.0,3.226,2.479,3.202,2.891,372.885,16.374,5123.502,3.485,9646
2.094,2.656,2.943,2.098,9.921,5.744,2.771,2.608,2.879,89.725,3.627,3.0,2.969,3.0,1.598,3.05,1.983,2.0,5.0,2.055,2.068,2.055,3.0,3.584,2.162,3.836,2.835,387.895,19.54,7726.683,2.413,3353
2.114,4.511,2.723,2.833,7.94,5.402,3.12,1.486,4.277,76.958,3.708,3.0,2.847,3.0,2.476,2.798,1.732,2.0,5.0,2.923,2.891,2.675,3.0,4.618,2.338,3.41,2.052,379.901,19.164,4486.973,1.072,76
2.202,4.706,2.726,2.873,3.485,5.841,2.541,4.071,3.381,81.005,3.887,3.0,2.436,3.0,1.386,2.209,1.905,2.0,5.0,1.776,3.014,1.232,3.0,3.276,2.492,3.335,2.889,417.468,17.015,6155.492,5.362,2427
2.022,1.57,2.993,2.879,6.431,5.213,2.438,5.504,3.804,75.204,3.772,3.0,2.324,3.0,3.051,2.584,1.321,2.0,5.0,2.16,2.904,1.194,3.0,3.3,2.953,4.105,2.87,394.909,16.353,4980.29,3.485,9924
2.129,2.692,2.96,2.107,9.837,5.297,3.384,2.671,2.238,82.167,3.84,3.0,2.589,3.0,3.863,5.729,1.38,2.0,5.0,1.503,2.441,1.224,3.0,4.293,2.655,3.125,2.377,512.308,17.822,3931.814,3.485,7517
3.864,3.497,2.655,2.977,3.566,5.306,3.084,3.162,4.696,88.063,2.99,3.0,2.888,3.0,1.956,3.835,1.821,2.0,5.0,2.061,3.213,1.895,3.0,3.075,2.918,3.66,2.776,513.184,17.773,5864.044,5.898,7007
2.562,1.842,2.954,2.791,7.157,5.179,2.306,2.323,4.966,96.271,2.797,3.0,2.912,3.0,1.609,1.456,1.967,2.0,5.0,2.978,2.493,1.009,3.0,3.449,2.854,4.738,2.665,634.465,18.868,13435.046,5.898,15
4.02,5.303,2.544,2.257,7.188,5.272,2.016,1.168,2.821,105.874,3.917,3.0,2.93,3.0,1.854,2.217,1.075,2.0,5.0,1.014,2.178,2.322,3.0,3.888,2.305,4.16,2.53,622.868,22.611,12467.22,2.413,378
2.12,1.587,2.446,2.069,5.911,5.527,2.75,3.548,3.186,75.026,3.781,3.0,2.528,3.0,1.992,2.389,1.696,2.0,5.0,2.037,2.616,2.467,3.0,3.29,2.044,4.226,2.804,439.748,20.01,8009.722,2.413,5131
2.033,3.745,2.808,2.069,5.033,5.885,3.675,2.569,2.806,81.296,2.057,3.0,2.911,3.0,3.064,2.842,1.001,2.0,5.0,2.86,2.419,2.548,3.0,3.413,2.529,3.766,2.899,513.289,21.324,5958.85,1.072,4999
2.066,3.412,2.58,2.195,4.749,5.79,3.281,1.661,2.267,76.457,3.404,3.0,2.3,3.0,1.776,2.243,1.736,2.0,5.0,1.028,2.055,2.952,3.0,3.315,2.815,3.931,2.119,485.088,21.331,8975.307,2.413,3175
2.238,3.122,2.119,2.635,4.091,5.861,2.702,2.653,3.207,76.282,3.511,3.0,2.2,3.0,3.043,2.935,1.884,2.0,5.0,1.974,2.145,2.536,3.0,4.315,2.231,3.095,2.773,458.592,20.718,5964.746,1.072,4801
2.208,4.283,2.844,2.585,3.46,5.128,3.117,5.006,4.535,82.149,2.868,3.0,2.844,3.0,1.069,4.602,1.682,2.0,5.0,1.036,3.286,2.813,3.0,3.565,2.664,3.74,2.422,444.284,20.647,4052.503,2.413,1340
2.663,1.053,2.573,2.439,7.855,5.541,2.432,3.212,2.692,77.421,2.798,3.0,2.667,3.0,3.672,5.398,1.346,2.0,5.0,2.783,2.769,2.972,3.0,3.06,2.384,5.363,2.788,428.547,19.94,4299.485,1.072,3746
2.05,5.474,2.711,2.779,9.518,5.424,2.577,5.916,4.969,105.464,3.925,3.0,2.56,3.0,2.493,5.099,1.545,2.0,5.0,1.09,2.356,1.323,3.0,3.837,2.385,3.169,2.916,536.341,17.906,3276.884,4.021,2735
2.117,2.566,2.229,2.175,8.477,5.983,2.241,3.517,4.169,80.214,2.26,3.0,2.789,3.0,2.403,1.88,1.751,2.0,5.0,1.525,2.647,1.06,3.0,3.149,2.485,4.304,2.99,813.09,20.111,14190.503,4.558,3597
3.852,1.302,2.822,2.983,3.183,5.2,2.89,2.979,3.387,95.757,3.682,3.0,2.303,3.0,1.37,3.986,1.841,2.0,5.0,1.067,3.229,1.405,3.0,3.272,2.094,4.272,2.755,636.377,19.646,11685.586,5.362,5178
