DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
2.229,5.802,2.821,2.876,8.01,5.379,2.461,1.899,3.273,106.937,3.948,3.0,2.354,3.0,2.713,4.479,1.841,2.0,5.0,2.48,3.449,2.346,3.0,3.884,2.894,3.306,2.241,457.994,20.018,4199.812,1.072,4064
3.723,1.595,2.985,2.589,3.085,5.013,2.739,5.547,3.719,75.37,2.094,3.0,2.555,3.0,3.654,5.899,1.141,2.0,5.0,2.357,2.698,2.698,3.0,4.007,2.781,5.355,2.867,482.226,20.158,3094.506,1.072,2911
3.827,4.295,2.581,2.797,9.039,5.017,3.565,4.54,3.189,97.793,2.877,3.0,2.809,3.0,3.992,5.896,1.773,2.0,5.0,2.936,3.374,2.71,3.0,4.011,2.267,3.025,2.121,982.35,25.411,2054.825,1.072,2336
2.844,3.806,2.821,2.682,4.594,5.931,3.448,4.375,4.502,75.754,3.165,3.0,2.292,3.0,2.655,5.518,1.271,2.0,5.0,2.636,2.568,2.605,3.0,3.152,2.721,4.078,2.978,584.464,21.699,2613.324,1.072,4611
2.586,2.863,2.396,2.867,3.244,5.529,2.7,5.099,3.161,84.568,3.614,3.0,2.817,3.0,1.372,5.562,1.417,2.0,5.0,2.575,2.215,2.759,3.0,3.259,2.221,4.172,2.927,493.651,21.166,2941.499,2.413,6821
2.555,1.249,2.321,2.213,9.54,5.498,2.673,4.238,3.73,76.767,3.536,3.0,2.38,3.0,2.817,3.309,1.875,2.0,5.0,2.815,3.711,2.999,3.0,4.579,2.9,3.19,2.557,437.3,19.857,4912.834,1.072,8568
2.075,1.788,2.731,2.623,6.28,5.321,2.075,4.287,2.97,81.025,3.674,3.0,2.122,3.0,3.042,1.278,1.586,2.0,5.0,2.738,2.827,2.629,3.0,4.84,2.485,3.709,2.94,415.465,19.543,6506.415,1.072,99
3.234,4.707,2.989,2.142,4.148,5.361,2.069,4.794,3.652,96.384,3.858,3.0,2.114,3.0,3.831,5.915,1.164,2.0,5.0,1.846,2.656,2.86,3.0,3.298,2.712,3.008,2.58,684.99,23.224,2231.691,1.072,9195
3.273,5.6,2.377,2.605,8.852,5.252,2.628,5.098,2.467,89.999,3.493,3.0,2.433,3.0,3.948,5.671,1.543,2.0,5.0,2.409,2.427,1.517,3.0,3.456,2.439,4.114,2.461,601.661,18.752,2518.476,3.485,5253
2.759,5.952,2.073,2.989,5.012,5.935,3.57,4.57,4.518,76.374,3.412,3.0,2.548,3.0,3.18,4.829,1.849,2.0,5.0,2.379,2.714,1.874,3.0,3.015,2.476,3.868,2.429,673.907,19.445,2420.367,3.485,4250
2.027,5.825,2.781,2.2,8.159,5.049,2.785,1.466,3.017,87.8,3.695,3.0,2.528,3.0,3.343,3.194,1.033,2.0,5.0,2.376,2.536,1.196,3.0,3.226,2.479,3.202,2.891,372.885,16.374,5123.502,3.485,9646
2.022,1.57,2.993,2.879,6.431,5.213,2.438,5.504,3.804,75.204,3.772,3.0,2.324,3.0,3.051,2.584,1.321,2.0,5.0,2.16,2.904,1.194,3.0,3.3,2.953,4.105,2.87,394.909,16.353,4980.29,3.485,9924
2.984,4.349,2.599,2.971,4.62,5.441,3.306,5.346,3.39,89.088,3.486,3.0,2.907,3.0,2.22,3.372,1.223,2.0,5.0,2.679,2.132,1.501,3.0,3.436,2.72,5.421,2.219,476.555,17.746,4836.574,4.021,9023
2.45,4.955,2.886,2.08,3.87,5.084,2.875,5.878,2.746,89.735,3.112,3.0,2.135,3.0,3.684,5.098,1.401,2.0,5.0,2.801,2.53,1.197,3.0,3.093,2.434,3.206,2.178,533.494,17.579,2662.408,3.485,3628
