Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,_source_row
3,1000,6,300,2000000.0,100000.0,138000.0,175.02,3116
1,10000,6,300,1000000.0,100000.0,145000.0,310.09,1673
3,10000,6,120,2000000.0,100000.0,213000.0,1036.2,3584
3,100,12,120,2000000.0,100000.0,40868.0,66.741,2744
1,100,12,120,2000000.0,100000.0,40469.0,19.389,824
3,1000,12,120,2000000.0,100000.0,141000.0,177.87,3224
3,10000,6,120,10000000.0,100000.0,217000.0,1047.8,3587
3,10000,6,300,1000000.0,100000.0,201000.0,961.5,3593
3,10000,12,300,1000000.0,100000.0,218000.0,1076.9,3713
1,10000,3,60,2000000.0,100000.0,151000.0,324.74,1592
3,1000,3,60,2000000.0,100000.0,142000.0,191.95,3032
3,100,6,120,2000000.0,100000.0,40800.0,64.873,2624
1,1000,9,300,1000000.0,10000.0,79579.0,86.746,1252
3,10000,15,120,2000000.0,100000.0,223000.0,1103.7,3764
1,10,6,300,1000000.0,10000.0,38504.0,2.0226,232
1,1000,9,120,2000000.0,10000.0,80392.0,97.126,1243
3,10000,15,120,1000000.0,100000.0,212000.0,1033.9,3761
3,1000,9,10,1000000.0,100000.0,129000.0,174.47,3137
1,100,12,10,2000000.0,10000.0,40760.0,20.007,799
1,10,6,60,2000000.0,10000.0,37801.0,2.0138,211
1,10000,12,300,100000.0,10000.0,168000.0,385.26,1789
1,10000,15,300,100000.0,10000.0,170000.0,399.61,1849
3,10000,9,60,1000000.0,100000.0,203000.0,981.1,3629
1,1000,9,300,100000.0,10000.0,79990.0,91.869,1249
1,10,3,120,1000000.0,100000.0,37536.0,1.9,161
1,100,3,300,1000000.0,100000.0,40021.0,18.582,653
3,10000,9,300,100000.0,1000.0,209000.0,999.07,3648
1,10000,9,300,100000.0,100000.0,159000.0,369.44,1730
