twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
0,1,0,0,1,0,0,0,0,2,1,5,6,6498.4,274.0,36.436667,89
0,1,0,0,1,0,0,0,0,1,1,5,3,8223.8,311.4,26.845,52
0,1,0,0,1,1,0,0,1,2,1,5,3,6313.4,258.6,37.333333,377
1,1,0,0,1,0,0,1,1,4,0,0,0,5593.2,231.8,41.348,1311
0,1,0,1,0,1,0,0,0,1,0,5,3,39590.4,1409.8,26.642449,696
0,1,0,0,1,1,0,0,0,1,2,5,0,8037.8,298.6,30.325,236
1,1,0,0,1,1,1,0,1,1,1,0,0,7912.2,316.6,29.183929,1672
0,1,0,0,1,1,0,0,1,1,1,5,3,7779.4,333.0,32.1425,376
1,1,0,0,1,1,1,0,1,1,1,5,3,7838.8,313.6,31.0725,1720
0,1,0,1,0,0,0,0,0,1,1,5,0,45337.0,1684.6,26.191555,448
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,383
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,1547
0,1,0,1,0,1,0,0,0,1,2,5,0,39452.6,1429.0,26.638308,668
0,1,0,0,1,1,0,0,1,1,2,5,3,7883.8,312.2,29.648214,380
0,1,0,0,1,1,0,0,0,1,0,5,0,7836.2,316.8,27.336072,228
1,1,0,0,1,1,1,0,0,1,1,5,0,7819.2,317.2,30.201786,1576
0,1,0,0,1,1,0,0,1,3,0,5,3,5494.0,217.6,41.388,374
0,1,0,1,0,1,0,0,0,1,2,0,3,39393.4,1434.8,26.775385,692
0,1,0,0,1,1,0,0,1,1,0,5,6,7983.0,310.6,27.913571,408
0,1,0,0,1,1,0,0,1,4,1,15,3,5239.8,232.0,42.272,391
0,1,0,0,1,1,0,0,0,1,1,15,3,7813.6,323.8,29.493214,280
0,1,0,0,1,0,0,0,0,4,0,5,6,5373.2,229.0,43.954,87
1,1,0,0,1,1,1,0,0,4,1,15,3,5255.8,227.0,44.786,1627
0,1,0,0,1,1,0,0,0,4,0,15,3,5289.8,278.6,41.788,279
1,1,0,0,1,1,1,0,1,4,0,0,0,5293.4,224.0,45.98,1671
1,1,0,0,1,1,1,0,1,4,2,15,0,5183.8,246.8,44.972,1703
1,1,0,0,1,1,1,0,1,4,0,15,6,5217.6,242.2,43.492,1767
1,1,0,0,1,0,0,1,0,3,1,0,0,5674.2,255.2,37.566667,1302
1,1,0,1,0,1,1,0,1,1,1,0,6,49217.6,1733.4,26.150365,2224
0,1,0,0,1,1,0,0,0,1,1,15,0,7677.8,317.2,32.65,244
0,1,0,1,0,1,0,0,1,1,1,15,6,40949.4,1502.8,26.231707,856
1,1,0,1,0,0,1,0,1,1,0,5,6,46702.4,1675.6,26.187734,1992
0,1,0,1,0,1,0,0,0,1,1,0,6,41471.2,1495.0,26.322439,724
0,1,0,1,0,1,0,0,0,1,0,15,0,40251.0,1447.0,26.3715,672
1,1,0,1,0,1,1,0,1,1,1,5,0,48956.0,1716.0,26.174507,2164
0,1,0,0,1,1,0,0,1,3,1,15,3,5794.0,247.4,39.560667,390
1,1,0,0,1,1,1,0,1,1,0,5,0,7921.8,299.6,28.336786,1680
0,1,0,1,0,1,0,0,0,1,2,5,3,39603.0,1439.6,26.503077,704
1,1,1,0,0,0,1,0,0,1,0,15,3,57852.8,1997.8,25.936963,2340
1,1,0,0,1,1,1,0,0,1,1,15,6,7777.4,335.4,27.797143,1660
1,1,0,0,1,1,1,0,1,3,2,15,0,5509.2,274.8,41.26,1702
1,1,0,0,1,0,1,0,1,2,2,0,0,6417.6,253.6,39.093333,1437
1,1,0,0,1,0,1,0,1,2,1,0,0,6498.4,264.0,37.174762,1433
1,1,0,0,1,1,1,0,0,2,2,5,0,6293.2,294.8,36.186667,1581
0,1,0,0,1,1,0,0,1,1,1,5,0,7832.2,326.4,28.668928,340
