twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Performance-,Cpu-,_source_row
1,1,0,1,0,1,1,0,0,0,1,4,0,3,79777.0,3.818269,2130
0,1,0,1,0,1,0,0,0,0,1,8,0,0,50508.2,3.840792,903
0,1,0,1,0,0,0,0,1,1,1,4,5,6,28578.0,7.372734,858
1,1,0,1,0,1,0,1,1,1,0,8,0,0,40559.2,6.727622,2075
0,1,0,1,0,0,0,0,1,1,1,2,15,6,28757.4,6.971035,861
1,1,1,0,0,1,1,0,1,0,1,8,0,3,165580.0,3.458215,2915
1,1,1,0,0,1,1,0,0,0,1,8,15,0,168035.4,3.423692,2767
1,1,0,1,0,0,1,0,1,0,1,1,15,0,84276.6,3.745723,1948
0,1,0,1,0,0,0,0,1,1,0,4,5,6,28587.6,7.204483,822
0,1,0,1,0,0,0,0,1,1,0,8,0,3,28470.8,7.510961,807
0,1,0,1,0,0,0,0,1,1,0,4,15,6,28615.2,7.204261,826
0,1,1,0,0,1,0,0,0,0,1,8,0,6,122457.6,3.596954,1503
0,1,0,1,0,1,0,0,0,1,0,8,15,3,31203.0,6.830484,959
0,1,1,0,0,0,0,0,0,0,1,8,0,3,110397.2,3.633668,1203
0,1,0,1,0,0,0,0,0,0,1,4,0,3,45990.2,4.263546,626
1,1,0,1,0,1,0,1,0,1,1,2,0,0,40601.6,6.555854,2061
0,1,0,1,0,0,0,0,1,1,0,8,5,0,28512.8,7.415148,799
0,1,0,1,0,0,0,0,0,1,1,1,0,0,45909.6,4.53087,684
0,1,0,1,0,0,0,0,0,1,0,8,15,6,28828.4,6.90138,683
1,1,0,1,0,0,0,1,0,1,1,8,0,0,44046.4,6.505,1743
1,1,0,1,0,0,1,0,1,0,1,8,5,6,89266.4,3.68248,1971
0,1,1,0,0,1,0,0,0,0,1,1,0,0,122610.6,3.553838,1476
1,1,1,0,0,1,0,1,1,0,1,2,0,0,139980.8,3.534245,2709
1,1,1,0,0,0,0,1,0,0,0,4,0,0,150639.0,3.520168,2370
1,1,1,0,0,0,1,0,1,0,1,4,5,6,184816.2,3.421049,2610
0,1,0,1,0,0,0,0,1,1,0,2,5,6,28653.8,6.994803,821
