Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput-,Latency-,_source_row
1,10,2,120,2000000.0,10000.0,8535.6,8.7319,103
1,10,2,300,2000000.0,10000.0,8034.7,8.8802,115
1,10,1,120,2000000.0,10000.0,8569.0,8.637,43
1,10,1,300,2000000.0,10000.0,5288.8,9.8958,55
1,10,1,60,2000000.0,10000.0,7993.9,9.2784,31
1,10,3,300,2000000.0,10000.0,35939.0,1.9115,175
1,10,6,300,2000000.0,10000.0,34558.0,1.9466,235
1,10,2,300,2000000.0,100000.0,927.0,81.577,116
1,10,2,60,10000000.0,100000.0,876.5,83.818,95
3,100,1,120,10000000.0,100000.0,82.438,26910.0,2447
3,100,1,300,10000000.0,100000.0,83.4,24896.0,2459
1,10,18,120,10000000.0,10000.0,34092.0,2.328,466
1,10,18,10,10000000.0,10000.0,32951.0,2.8242,442
1,10,9,120,10000000.0,10000.0,33198.0,2.7953,286
1,10,2,120,100000.0,100000.0,996.0,69.778,98
1,10,2,1,2000000.0,10000.0,2127.8,23.5,67
1,10,2,1,2000000.0,100000.0,363.06,152.7,68
1,10,2,10,10000000.0,100000.0,829.31,98.881,83
1,10,1,1,2000000.0,10000.0,1151.3,25.039,7
1,100,1,1,2000000.0,100000.0,83.412,1794.8,488
