encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,Level,ProcessorCount,MaxRam,Performance-,Benchmark-cpu-,_source_row
1,1,0,0,1,0,0,0,0,3,1,18,14951.2,31.528,1046
0,1,0,0,0,0,1,1,0,1,1,18,67616.4,27.131773,2772
0,1,0,0,0,1,0,0,0,1,1,18,225432.6,25.810571,1800
0,0,0,0,0,0,0,1,0,2,4,18,10199.0,34.692,208
0,1,0,1,0,0,0,0,1,1,1,18,25019.6,30.2662,3636
0,0,0,0,0,0,0,0,1,6,2,6,12019.2,32.843333,482
0,1,0,0,1,0,0,0,0,2,2,18,9772.8,45.010889,946
0,1,0,0,0,1,0,0,0,8,1,18,1651960.2,25.339323,1807
1,1,0,0,1,0,0,0,0,1,1,18,14846.2,31.652857,1044
1,1,0,0,0,1,0,0,1,1,3,6,223406.6,26.311659,2106
1,1,0,0,0,1,0,1,0,7,1,18,705071.0,25.498153,2454
0,1,0,0,0,1,0,1,0,1,1,6,218113.8,26.649652,2196
1,1,0,0,0,1,0,0,0,1,3,6,223368.4,26.327444,1890
0,0,0,0,0,0,0,0,0,1,1,18,10330.6,34.278,72
0,1,0,0,0,1,0,0,1,2,1,6,220019.0,26.459311,1981
0,1,0,0,1,0,0,1,0,2,2,18,9645.6,46.944,1162
0,0,0,0,0,0,0,0,1,6,3,6,12054.6,32.713333,491
0,1,0,0,0,1,0,1,0,1,1,18,224713.8,25.853438,2232
1,1,0,0,1,0,0,1,1,1,1,18,14985.8,31.379714,1692
0,0,0,0,0,0,0,0,1,6,1,18,11472.2,32.924848,509
0,1,0,1,0,0,0,0,0,2,1,18,26893.6,29.765128,3529
0,1,0,0,0,1,0,1,0,4,1,18,701038.0,25.539528,2235
0,1,0,0,1,0,0,1,0,1,2,18,9702.2,46.794,1161
0,0,0,0,0,0,0,1,0,1,3,18,10343.0,33.406,198
0,0,0,0,0,0,0,0,1,1,3,18,10339.8,34.274182,522
0,1,0,0,0,1,0,1,0,5,3,2,684551.4,25.661477,2182
1,0,0,0,0,0,0,1,0,3,3,18,14509.2,32.04,416
0,1,0,0,0,1,0,1,0,9,3,6,1650529.0,25.405164,2222
0,1,0,0,0,1,0,1,0,1,2,6,218147.6,26.621107,2205
0,1,0,0,0,0,1,0,1,2,1,6,67567.8,27.51511,3061
1,0,0,0,0,0,0,0,0,2,2,6,14564.4,31.747238,262
1,0,0,0,0,0,0,1,1,1,2,6,14227.0,32.345714,801
1,1,0,0,0,0,1,0,0,2,1,18,70631.8,27.037096,2881
0,1,1,0,0,0,0,0,1,2,1,6,66551.8,28.013492,4573
1,1,0,1,0,0,0,0,0,2,1,6,30302.8,29.394258,3925
1,1,1,0,0,0,0,0,0,2,1,6,72690.2,26.934749,4465
0,1,0,0,0,0,1,0,0,2,1,2,63967.2,29.045625,2593
1,1,0,0,0,1,0,1,0,8,1,18,1651986.2,25.327496,2455
1,1,1,0,0,0,0,1,0,2,1,18,71813.8,26.991318,5041
0,1,0,0,0,0,1,0,0,1,1,6,67457.2,27.566062,2628
1,1,0,1,0,0,0,0,0,3,1,18,34931.0,29.195819,3962
