no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,core,core1,core2,core3,core4,Benchmark-iperf-,Benchmark-cpu-,_source_row
1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,23.6,82.854927,1716
1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,111.754,24.893637,869
1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,22.29,85.366878,1020
1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,21.636,85.861956,1116
1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,21.556,86.900996,1044
1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,78.16,24.89649,1117
1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,23.586,83.21163,1680
1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,28.656,67.423867,435
1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,28.428,68.319778,1011
1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,41.722,46.729675,1010
1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,22.312,84.964783,1128
1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,22.626,83.237668,552
1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,29.288,66.569195,483
1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,30.732,64.780043,1647
1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,44.192,45.971909,1718
1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,28.562,67.979113,507
1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,41.64,46.908804,1046
1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,42.288,46.01206,1058
1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,29.056,66.630896,831
1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,29.688,65.426092,531
