name,Buy-,Sell+,color 1,color 2,size,Miles_Price,source,seasonal_Availability,mannequin_Piece,style,type,villager_Equippable,catalog,filename,unique_Entry_ID,_source_row
Chimayo vest,1120.0,280,Red,Green,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopYshirtsLChimayo1,9448,8rTMGjNiqHnwmu5Jx,181
bowling shirt,1260.0,315,Red,Black,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHBowling0,3698,nqr3XGTNmtobMKMch,111
lacy tank,850.0,212,White,White,1,640,Able Sisters,Summer,Yes,Cute,Yes,For sale,TopsTexTopTshirtsNCamisolelace0,3239,GY7P6emey7tvkci5S,527
dolly shirt,960.0,240,Light blue,Blue,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopPuffHDolly1,11952,AcacBmTTXMoCpthvT,269
blossom tee,800.0,200,Pink,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower0,8205,M7qCnBYqNGLyLSskf,84
guayabera shirt,1120.0,280,Blue,Blue,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHCuba3,9436,zLdpKoiAKMRKuy7fS,435
sleeveless parka,1200.0,300,Purple,Black,1,640,Able Sisters,Summer,Yes,Active,Yes,For sale,TopsTexTopOuterNNosleeve3,7996,QnPQeiQ3CbF3J8yEQ,891
retro sweater,1200.0,300,Purple,Colorful,1,640,Able Sisters,Winter,Yes,Cute,Yes,For sale,TopsTexTopOuterLHighsence0,4575,dEvz6cPYicrEfAXRp,788
lacy shirt,850.0,212,Black,Black,1,640,Able Sisters,Summer,Yes,Elegant,Yes,For sale,TopsTexTopTshirtsHLace0,3811,ngdhgZrf5ibCcotY4,525
Nook Inc. blouson,1348.395967,4000,Green,Green,1,800,Nook Miles Shop,All Year,No,Simple,Yes,Not for sale,TopsTexTopOuterLRco,5625,3yAwEXCgtLKgxqY3q,623
blossom tee,800.0,200,Light blue,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower1,12099,cskAiddHb4wcR4Rny,85
animal-stripes tee,960.0,240,Gray,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHStripe1,12066,gkjWimKdm6sMgiTw8,15
A tee,560.0,140,Blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR,0
after-school jacket,1050.0,262,Red,Green,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen1,7554,mGvZuvYbGma2REd6A,4
apron,840.0,210,Gray,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron6,9600,QdF6ZF74688kYPLx3,26
apron,840.0,210,Purple,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopCoatHApron5,9599,GRb6jZGaZzWdsmYuj,25
work apron,1100.0,275,Brown,Blue,1,640,Able Sisters,All Year,Yes,Active,Yes,For sale,TopsTexTopCoatLWorkapron0,9830,LGnwusDDvGBNQzYoz,1091
big-star tee,560.0,140,Blue,Yellow,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHStar0,6822,JpATLjagWyw8q8zqx,77
hello tee,640.0,160,Black,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHelloen0,12116,PvdrCjp68ATfFAWTx,472
handmade cape,500.0,125,Red,Light blue,1,640,International Children's Day,All Year,No,Active,Yes,Not in catalog,TopsTexTopCoatHChildren0,12575,kyri67BZSPNBozQ3K,450
ciao tee,640.0,160,Red,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHelloit0,12120,QPxsFRrvvtHwR2STb,184
heart apron,1000.0,250,Purple,White,1,640,Able Sisters,All Year,No,Cute,Yes,For sale,TopsTexTopCoatLHeartapron3,9604,jLwfArowQrb2Szc8Q,464
thread-worn sweater,980.0,245,Black,White,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopTshirtsLDamage1,8556,5WikqoBPEKiw2wvJu,1014
after-school jacket,1050.0,262,Purple,Blue,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen4,7557,svQfLQXgrowTDaDoh,7
after-school jacket,1050.0,262,White,Black,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen3,7556,N6nbrMGHwztxBWTMm,6
front-tie tee,640.0,160,Red,Red,1,640,Able Sisters,Summer,Yes,Active,Yes,For sale,TopsTexTopTshirtsHKnot2,8357,FRugEM48NkxaqnJSp,392
hand-knit tank,840.0,210,Blue,Blue,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopOuterNKnit3,11791,LPFmc9c38hPivZgFW,447
annyeong tee,640.0,160,Light blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHellokr0,12117,mfMor9YWpsoEbPK5e,16
No. 1 shirt,560.0,140,Red,Light blue,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHOne0,6888,JGTwnNNjjSRijFpuF,610
four-ball tee,560.0,140,Purple,White,1,640,Nook Shopping Catalog,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHNumberball4,3321,NGv4n2Su8Qx95Eemh,384
Aran-knit cardigan,1300.0,325,Light blue,Light blue,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan1,7678,MzK6AWudRCPLEdSPi,29
colorful striped sweater,1200.0,300,Gray,Light blue,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopTshirtsLMulti5,7643,szvG9EkBCRinLR7XJ,211
danger tank,640.0,160,Yellow,Black,1,640,Nook Shopping Catalog,Summer,No,Active,Yes,For sale,TopsTexTopTshirtsNDanger0,8192,5wkzgmR4e7eegZkfc,245
basketball tank,1120.0,280,Orange,Blue,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts3,8040,vvNhYDS8JMeaS6ixD,71
bold aloha shirt,960.0,240,Pink,Light blue,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopYshirtsHPolynesia1,12098,t6XA6gv2RhEy2CWZ5,102
puffy-sleeve blouse,800.0,200,Light blue,Light blue,1,640,Able Sisters,Summer,Yes,Simple,Yes,For sale,TopsTexTopPuffHFrill0,5349,JxtiDDsrLffETC83Q,735
Aran-knit cardigan,1300.0,325,Yellow,Yellow,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan3,7680,7nmckbhG5uG3JQxPz,31
gilet and shirt,1120.0,280,Black,White,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopTshirtsHGillet0,3676,fBWJR2m42FRP27E2R,403
camper tee,840.0,210,Green,Green,1,640,Nook Shopping Promotion,All Year,No,Simple,Yes,Not in catalog,TopsTexTopTshirtsHOkmotors0,12426,WiN73dy22JaKPfnmp,142
Aran-knit cardigan,1300.0,325,Pink,Pink,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan2,7679,mJtGnjdLxpmdakhxo,30
simple-dots tee,640.0,160,Red,White,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopTshirtsHSimpledot2,9499,R9xN2MNz6Fd4ZTfwW,865
tree sweater,880.0,220,Beige,Green,1,640,Nook Shopping Catalog,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLTree0,8194,THhQgeXeutm26jHxt,1035
meme shirt,960.0,240,Purple,Green,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHMeme0,4717,gaFvwJQhpijd3zZuR,560
madras plaid shirt,1120.0,280,Red,Green,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopYshirtsHMadras2,8964,ZvCch2H7rkW7d5688,554
work shirt,1040.0,260,White,Purple,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLNecktie2,8486,nWAc5jewJmTvCDdov,1095
after-school jacket,1050.0,262,Black,Red,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen0,4366,rAfEdHYdt5e4AGTya,3
argyle sweater,1200.0,300,White,Green,1,640,Able Sisters,Winter,Yes,Simple,Yes,For sale,TopsTexTopOuterLArgyle7,7748,22jF8CGD8WXrECzwD,46
hand-knit tank,840.0,210,Red,Red,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopOuterNKnit5,11793,tXQJdNPRpgMjyDEjL,449
tube top,640.0,160,Blue,Blue,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsNTubetop5,8086,R6mpP7Q5fhDH7q37A,1046
sweater on shirt,960.0,240,White,Pink,1,640,Able Sisters,All Year,Yes,Elegant,Yes,For sale,TopsTexTopYshirtsLTiedsweater0,3328,wB2XQvnvbYXfiWTh3,952
gilet and shirt,1120.0,280,Red,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHGillet2,8401,Xs753h2y26FT8SYoW,405
heart sweater,1000.0,250,Pink,Red,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopOuterLHeart0,8193,HbWJjSf6WwKBYj2RC,466
tank,350.0,87,Blue,Blue,1,640,Able Sisters,Summer,No,Simple,Yes,For sale,TopsTexTopTshirtsNTanktop4,8376,ST7z58LiuJx4gzaNg,983
starry tank,800.0,200,White,Colorful,1,640,Nook Shopping Catalog,Summer,No,Active,Yes,For sale,TopsTexTopTshirtsNStar0,9535,5wGwiPDDCpRRrpfT5,929
three-ball tee,560.0,140,Red,White,1,640,Nook Shopping Catalog,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHNumberball3,2498,i5drcDjwqEoZFsPEf,1017
Aran-knit cardigan,1300.0,325,Beige,Beige,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan0,3643,fJR97K7r3qHAB2TLr,28
bold aloha shirt,960.0,240,Blue,Red,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopYshirtsHPolynesia0,8206,KuY6kA7WnY24gjmhF,101
after-school jacket,1050.0,262,Gray,White,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen5,7558,m279zqujD3zTbp44a,8
