dataset,input_files,merged_rows,pareto_rows,reference_rows,hv,spread,igd,mdh,output_file
accessories,9,65,58,666,0.23922608741496146,0.30303652849991536,0.00292347257331949,1.1363806832270977,pass_2_outputs\accessories\combined_frontier.csv
all_players,9,25,4,4,0.722777777777778,0.6159638429764135,0.23450150216840907,0.7372239977823434,pass_2_outputs\all_players\combined_frontier.csv
BankChurners,9,277,212,358,0.931231955316174,0.3247041355153265,0.01282189540775797,0.9227628690101682,pass_2_outputs\BankChurners\combined_frontier.csv
billing10k,9,63,21,21,0.7889196217494092,0.5886428925228286,0.0,0.8233882101906906,pass_2_outputs\billing10k\combined_frontier.csv
Data_COVID19_Indonesia,9,76,30,35,0.4003926456343655,0.5925703600552401,0.004964956492263208,1.030276798023299,pass_2_outputs\Data_COVID19_Indonesia\combined_frontier.csv
FFM-1000-200-0.50-SAT-1,9,84,45,53,0.6936163522012583,0.5113940866946526,0.009739480267265446,0.8637631481322863,pass_2_outputs\FFM-1000-200-0.50-SAT-1\combined_frontier.csv
FFM-125-25-0.50-SAT-1,9,66,19,24,0.7658275862068967,0.7980193493694809,0.02011494252873564,0.9551118286144208,pass_2_outputs\FFM-125-25-0.50-SAT-1\combined_frontier.csv
FFM-250-50-0.50-SAT-1,9,61,34,35,0.6314926108374387,0.5713965316416576,0.0,0.9249548830224352,pass_2_outputs\FFM-250-50-0.50-SAT-1\combined_frontier.csv
FFM-500-100-0.50-SAT-1,9,45,11,14,0.6593870967741937,0.7062205393533842,0.015010596751062052,0.9271862075150861,pass_2_outputs\FFM-500-100-0.50-SAT-1\combined_frontier.csv
FM-500-100-0.25-SAT-1,9,64,22,22,0.7734242424242427,0.6043195465825383,0.001377410468319558,0.8443535628194528,pass_2_outputs\FM-500-100-0.25-SAT-1\combined_frontier.csv
FM-500-100-0.50-SAT-1,9,74,11,8,0.5804117647058825,0.7227312890424265,0.13913138097542171,0.9962647181556203,pass_2_outputs\FM-500-100-0.50-SAT-1\combined_frontier.csv
FM-500-100-0.75-SAT-1,9,39,9,9,0.8090701754385967,0.6588176984792232,0.0,0.794549086122546,pass_2_outputs\FM-500-100-0.75-SAT-1\combined_frontier.csv
FM-500-100-1.00-SAT-1,9,49,10,10,0.7714166666666669,0.9212460071309896,0.0,0.9773499636040599,pass_2_outputs\FM-500-100-1.00-SAT-1\combined_frontier.csv
