DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
2.984,4.349,2.599,2.971,4.62,5.441,3.306,5.346,3.39,89.088,3.486,3.0,2.907,3.0,2.22,3.372,1.223,2.0,5.0,2.679,2.132,1.501,3.0,3.436,2.72,5.421,2.219,476.555,17.746,4836.574,4.021,9023
2.695,5.55,2.739,2.257,6.694,5.947,3.189,2.532,4.837,79.574,3.758,3.0,2.435,3.0,3.204,5.992,1.363,2.0,5.0,2.951,2.071,2.292,3.0,3.421,2.042,3.284,2.538,512.179,20.717,2149.427,1.072,5417
3.095,5.161,2.294,2.967,6.297,5.447,2.424,5.915,4.732,82.095,3.067,3.0,2.177,3.0,3.621,3.808,1.459,2.0,5.0,1.957,2.313,1.802,3.0,3.252,2.509,3.935,2.894,506.398,17.751,3292.297,3.485,9401
3.273,5.6,2.377,2.605,8.852,5.252,2.628,5.098,2.467,89.999,3.493,3.0,2.433,3.0,3.948,5.671,1.543,2.0,5.0,2.409,2.427,1.517,3.0,3.456,2.439,4.114,2.461,601.661,18.752,2518.476,3.485,5253
2.027,5.825,2.781,2.2,8.159,5.049,2.785,1.466,3.017,87.8,3.695,3.0,2.528,3.0,3.343,3.194,1.033,2.0,5.0,2.376,2.536,1.196,3.0,3.226,2.479,3.202,2.891,372.885,16.374,5123.502,3.485,9646
2.974,4.164,2.982,2.654,9.763,5.578,3.786,3.832,2.599,91.432,3.62,3.0,2.488,3.0,3.82,5.32,1.56,2.0,5.0,2.473,2.202,2.615,3.0,3.828,2.205,3.115,2.439,414.883,19.721,2263.258,1.072,5896
3.966,5.902,2.827,2.855,5.648,5.959,2.061,5.326,3.992,85.26,3.809,3.0,2.862,3.0,3.412,4.123,1.733,2.0,5.0,2.736,2.369,2.756,3.0,4.264,2.91,3.414,2.666,630.563,22.015,1851.034,1.072,5934
2.698,4.557,2.996,2.949,7.025,5.057,3.583,5.155,4.289,103.526,3.934,3.0,2.993,3.0,3.968,5.9,1.886,2.0,5.0,2.58,2.288,2.221,3.0,4.901,2.323,4.289,2.051,707.029,22.071,1781.743,1.072,1783
3.664,5.508,2.679,2.904,9.48,5.042,2.27,4.002,3.412,85.023,3.991,3.0,2.953,3.0,2.466,5.42,1.74,2.0,5.0,2.12,3.872,2.487,3.0,3.394,2.395,3.86,2.931,392.753,19.131,2430.783,1.072,1114
2.263,5.746,2.83,2.075,7.234,5.648,2.235,4.224,3.796,77.579,3.671,3.0,2.97,3.0,3.614,3.756,1.192,2.0,5.0,1.396,2.407,1.694,3.0,3.838,2.275,3.145,2.524,492.132,17.808,3535.55,3.485,9378
2.289,5.233,2.821,2.976,7.696,5.377,2.822,5.359,4.671,83.685,3.791,3.0,2.63,3.0,2.062,4.298,1.121,2.0,5.0,2.137,3.678,1.456,3.0,3.083,2.315,3.44,2.125,499.377,17.666,3491.285,4.021,3554
2.45,4.955,2.886,2.08,3.87,5.084,2.875,5.878,2.746,89.735,3.112,3.0,2.135,3.0,3.684,5.098,1.401,2.0,5.0,2.801,2.53,1.197,3.0,3.093,2.434,3.206,2.178,533.494,17.579,2662.408,3.485,3628
2.022,1.57,2.993,2.879,6.431,5.213,2.438,5.504,3.804,75.204,3.772,3.0,2.324,3.0,3.051,2.584,1.321,2.0,5.0,2.16,2.904,1.194,3.0,3.3,2.953,4.105,2.87,394.909,16.353,4980.29,3.485,9924
3.855,3.058,2.705,2.757,3.064,5.489,2.13,1.211,3.334,82.078,3.63,3.0,2.188,3.0,2.405,4.848,1.8,2.0,5.0,2.355,2.399,2.956,3.0,3.465,2.278,3.467,2.871,339.183,18.921,4784.087,1.072,3659
2.424,5.85,2.902,2.464,3.063,5.309,3.926,5.574,4.62,77.21,2.262,3.0,2.58,3.0,3.985,5.377,1.639,2.0,5.0,2.554,2.386,1.355,3.0,3.006,2.362,3.937,2.251,562.276,17.89,1927.141,4.021,3464
2.114,4.511,2.723,2.833,7.94,5.402,3.12,1.486,4.277,76.958,3.708,3.0,2.847,3.0,2.476,2.798,1.732,2.0,5.0,2.923,2.891,2.675,3.0,4.618,2.338,3.41,2.052,379.901,19.164,4486.973,1.072,76
2.759,5.952,2.073,2.989,5.012,5.935,3.57,4.57,4.518,76.374,3.412,3.0,2.548,3.0,3.18,4.829,1.849,2.0,5.0,2.379,2.714,1.874,3.0,3.015,2.476,3.868,2.429,673.907,19.445,2420.367,3.485,4250
