MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.99909011111349,0.9166666666666664,100,absolute_error,1,0.0,8,109
0.0,0.9634117621871588,1.0,110,absolute_error,3,6.5,14,78
0.0,0.9634117621871588,1.0,130,absolute_error,2,4.25,8,31
0.0,0.9634117621871588,1.0,100,absolute_error,3,5.25,11,14
0.0,0.9634117621871588,1.0,100,absolute_error,4,0.0,10,106
0.0,0.9634117621871588,1.0,90,absolute_error,7,4.75,3,71
0.0,0.9634117621871588,1.0,150,absolute_error,6,1.25,1,73
0.0,0.9634117621871588,1.0,30,absolute_error,1,0.5,6,36
0.0,0.9634117621871588,1.0,130,absolute_error,12,1.75,9,5
0.0,0.9634117621871588,1.0,80,absolute_error,4,0.75,16,96
0.0,0.9634117621871588,1.0,20,absolute_error,3,4.25,3,54
0.0,0.9634117621871588,1.0,70,absolute_error,1,0.5,14,49
0.0,0.9634117621871588,1.0,130,absolute_error,14,9.75,10,101
0.0,0.9634117621871588,1.0,100,absolute_error,1,1.75,10,25
0.0,0.9634117621871588,1.0,80,absolute_error,3,0.25,20,45
0.0,0.9634117621871588,1.0,150,absolute_error,2,0.5,15,46
0.0,0.9634117621871588,1.0,70,absolute_error,18,1.0,14,88
0.0,0.9634117621871588,1.0,160,absolute_error,15,1.25,8,22
0.0,0.9634117621871588,1.0,100,absolute_error,18,4.75,15,10
0.0,0.9634117621871588,1.0,60,absolute_error,4,2.25,17,35
0.0,0.9634117621871588,1.0,70,absolute_error,12,2.25,1,98
0.0,0.9634117621871588,1.0,70,absolute_error,1,8.5,16,97
