MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.5231591448931117,1.0,50,absolute_error,6,5.75,15,31
0.0,0.5231591448931117,1.0,20,absolute_error,13,1.75,13,23
0.0,0.5231591448931117,1.0,80,absolute_error,8,4.0,5,5
0.0,0.5231591448931117,1.0,80,absolute_error,3,4.5,5,28
0.0,0.5231591448931117,1.0,100,absolute_error,9,5.25,8,29
0.0,0.5231591448931117,1.0,90,absolute_error,7,6.0,4,6
0.0,0.5231591448931117,1.0,10,absolute_error,9,6.25,16,18
0.0,0.5231591448931117,1.0,20,absolute_error,11,0.75,17,15
0.59418233416105,0.5273159144893113,0.3,100,absolute_error,1,0.25,19,36
0.6503488234598558,0.9192399049881236,0.3999999999999999,10,squared_error,1,0.0,16,10
0.0,0.5231591448931117,1.0,10,absolute_error,10,3.75,5,4
0.0,0.5231591448931117,1.0,20,absolute_error,17,2.0,3,30
0.0,0.5231591448931117,1.0,10,absolute_error,14,3.25,2,25
0.0,0.5231591448931117,1.0,20,absolute_error,19,4.75,17,19
0.0,0.5231591448931117,1.0,30,absolute_error,2,5.0,3,38
0.0,0.5231591448931117,1.0,10,absolute_error,13,1.25,2,27
