MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.8605680560678716,0.0,20,absolute_error,15,6.25,11,25
0.0384516362007108,0.8962744374769458,1.0,100,absolute_error,4,5.0,12,9
0.0094724769875316,0.9082995204721503,0.0,30,absolute_error,3,7.75,14,15
0.0087435677099877,0.8829214312061969,1.0,130,absolute_error,3,8.5,17,34
0.1362525369720841,1.0,0.0,10,absolute_error,1,9.5,8,13
0.0643646953794507,0.9404647731464404,0.0,10,absolute_error,4,3.75,17,24
0.0578847587744962,0.931907045370712,0.0,40,absolute_error,4,2.5,6,6
0.0083590513479806,0.8683142751752121,0.0,20,absolute_error,2,2.75,7,22
0.2783564098877547,0.9589819254887496,1.0,20,absolute_error,3,2.25,20,18
0.0583461784089047,0.9274806344522316,1.0,50,absolute_error,1,8.0,2,46
