applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row
4/2/59,47,485341,620,Employed,Bachelor,25,35042,48,Widowed,2,Own,270,0.718531386,6,0,0.168096677,0,Auto,0,18,26,3588,659,86133,85134,24935.83333,0.769073683,4,4581,0.220042,0.23455672,1131.914177,0.056220867,1,37.6,80
2/8/22,47,422480,518,Employed,Master,27,50214,84,Divorced,1,Rent,397,0.145101012,1,0,0.248193425,0,Home,0,29,10,1756,2081,55293,9842,17952.58333,0.632131932,2,45451,0.316214,0.257883351,1296.417456,0.09432723,1,39.2,81
7/11/33,69,212504,548,Employed,Master,45,37150,120,Married,2,Mortgage,759,0.312548764,1,1,0.068001554,1,Debt Consolidation,1,19,11,855,1887,12151,26420,10145.58333,0.762813394,5,5727,0.31815,0.283770584,935.1051185,0.166979568,0,66.0,231
10/23/60,64,300000,621,Employed,Bachelor,41,49391,120,Divorced,3,Mortgage,338,0.194366984,6,1,0.250674036,0,Debt Consolidation,0,24,16,2688,286,95007,11077,25000.0,0.651651602,6,83930,0.293891,0.326017681,1397.900752,0.06943603,1,35.2,140
9/24/27,70,280976,571,Employed,Doctorate,47,18911,48,Single,3,Mortgage,616,0.410117812,4,0,0.549132382,0,Education,0,19,7,249,694,57848,54549,23414.66667,0.857224599,6,3299,0.228411,0.213394504,589.0504918,0.051465627,1,46.4,104
2/24/38,63,295818,642,Employed,Bachelor,41,52486,60,Married,5,Own,239,0.170907992,3,0,0.581618146,1,Debt Consolidation,0,27,14,1429,702,37918,43239,24651.5,0.867461425,4,1682,0.236486,0.279510569,1632.645297,0.075924195,1,51.2,144
11/7/43,36,251665,596,Self-Employed,Doctorate,15,7129,96,Divorced,1,Mortgage,145,0.184868877,2,0,0.083814172,0,Education,0,22,5,16929,612,33525,147987,20972.08333,0.873104449,8,7317,0.244129,0.289624277,191.4595624,0.016043211,1,41.6,14
12/23/29,51,333715,506,Employed,Bachelor,32,32528,48,Married,1,Mortgage,355,0.605978799,6,0,0.054374318,0,Other,0,15,19,394,542,154152,7417,15052.91667,0.660037253,4,146735,0.274528,0.3294336,1227.53732,0.105131607,1,36.8,141
10/11/28,54,184385,566,Employed,Master,34,66131,60,Single,1,Own,430,0.602946105,4,1,0.433550497,0,Education,0,24,1,3794,3861,46472,36780,15365.41667,0.853968225,3,9692,0.288131,0.284168928,2075.707098,0.163074465,0,60.0,61
10/14/64,53,157925,616,Employed,Associate,28,73129,72,Married,0,Own,600,0.349795903,4,2,0.366918825,0,Home,0,28,14,3212,2724,27983,64585,13160.41667,0.815958558,4,4733,0.280129,0.256703739,2000.077345,0.197568011,0,49.0,87
