applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row
4/18/31,68,63858,673,Unemployed,Associate,46,70498,60,Married,0,Own,273,0.140741227,4,3,0.418633647,0,Other,0,30,22,2669,1804,178773,16732,5321.5,0.927127763,8,162041,0.238998,0.21598088,1931.002536,0.414169414,0,48.0,228
4/12/26,53,253674,446,Unemployed,Associate,30,54959,96,Single,2,Mortgage,253,0.550834449,6,1,0.117624619,0,Auto,0,25,21,2605,2381,98447,78352,21139.5,0.941627168,6,20095,0.366959,0.380904955,1835.929808,0.098816425,1,41.6,186
11/24/27,48,122915,472,Employed,High School,27,115410,48,Widowed,2,Mortgage,341,0.527655292,3,1,0.221992022,0,Home,0,30,6,8525,4490,53919,24957,10242.91667,0.892904614,6,28962,0.37441,0.379182938,4703.345737,0.492471617,0,53.0,183
11/25/64,34,287180,554,Self-Employed,Bachelor,10,26986,12,Married,3,Mortgage,194,0.280525921,1,1,0.510897632,0,Auto,0,24,12,4669,1045,87549,8943,23931.66667,0.75081599,1,78606,0.214986,0.197985517,2497.233714,0.112454922,1,45.6,132
3/27/23,66,252597,622,Unemployed,Bachelor,44,26125,60,Married,4,Rent,723,0.160604766,7,2,0.160931424,0,Debt Consolidation,0,24,12,13203,1062,101937,22184,21049.75,0.888548242,7,79753,0.220125,0.203750475,697.6158079,0.067488488,1,36.0,196
12/3/19,52,203812,692,Employed,Master,32,26006,72,Married,2,Mortgage,267,0.248314446,5,1,0.131973961,0,Home,0,18,26,3876,2342,339541,12791,16984.33333,0.770803633,5,326750,0.195006,0.181935834,595.9889248,0.05081088,1,28.8,218
6/7/32,71,203884,620,Unemployed,Associate,47,29894,36,Single,2,Mortgage,713,0.164597818,3,1,0.193889156,0,Debt Consolidation,0,22,24,1120,1153,72823,35957,16990.33333,0.898230861,7,36866,0.204894,0.204637257,1118.044127,0.107769759,1,37.6,89
6/22/68,30,104619,515,Employed,Master,10,136565,36,Widowed,1,Other,638,0.152304838,4,0,0.374555492,0,Home,0,17,24,1723,2007,108716,16437,8718.25,0.931721686,7,92279,0.364065,0.328440454,6012.168529,0.762787088,0,50.0,161
9/4/59,55,216255,638,Unemployed,Bachelor,33,39518,60,Single,0,Rent,165,0.192362955,0,0,0.29850966,0,Debt Consolidation,0,32,23,689,754,47326,51258,18021.25,0.925037998,8,7909,0.225518,0.207694774,1063.976567,0.068195967,1,39.2,310
6/5/68,74,110160,641,Employed,Master,55,18358,12,Married,2,Rent,167,0.305854454,6,0,0.422713712,0,Education,0,27,6,5846,588,33128,8699,9180.0,0.634102501,4,24429,0.162858,0.148241305,1655.438995,0.198522766,1,43.2,222
5/22/35,73,134051,588,Employed,Associate,49,14887,12,Divorced,0,Mortgage,346,0.084855209,3,1,0.155492365,1,Home,0,15,5,2589,1744,250807,37271,11170.91667,0.859519127,5,213536,0.185887,0.171548321,1358.859256,0.152615878,1,45.6,232
5/22/63,69,113852,652,Employed,Associate,45,30585,72,Divorced,0,Mortgage,960,0.274166656,2,2,0.25280216,0,Home,0,22,19,1815,1144,67060,19297,9487.666667,0.514273529,7,47763,0.219585,0.200176574,732.910262,0.17843273,1,36.0,230
12/10/68,67,101544,614,Unemployed,Master,46,15401,12,Married,4,Mortgage,360,0.299705883,3,1,0.128675218,0,Education,0,27,17,5895,4852,30658,10993,8462.0,0.944984989,8,19665,0.173401,0.182592652,1413.864562,0.209627105,1,39.2,316
10/23/60,64,300000,621,Employed,Bachelor,41,49391,120,Divorced,3,Mortgage,338,0.194366984,6,1,0.250674036,0,Debt Consolidation,0,24,16,2688,286,95007,11077,25000.0,0.651651602,6,83930,0.293891,0.326017681,1397.900752,0.06943603,1,35.2,140
9/18/37,41,184873,549,Employed,Bachelor,16,82644,36,Married,4,Other,299,0.152745012,3,0,0.137331139,0,Education,0,26,29,5998,166,48305,6310,15406.08333,0.936164125,5,41995,0.293144,0.280902592,3422.483565,0.241559356,1,37.6,4
8/19/33,62,48153,635,Employed,High School,41,93360,48,Married,2,Own,346,0.25782988,2,1,0.19213319,0,Debt Consolidation,0,23,25,5832,1931,211956,27486,4012.75,0.720950784,6,184470,0.27086,0.257957544,3137.129203,0.868015501,0,44.0,129
2/26/60,59,92922,665,Employed,Doctorate,36,80250,36,Single,0,Own,294,0.130305737,3,2,0.242026369,0,Home,0,21,24,1311,158,155885,15354,7743.5,0.760648769,3,140531,0.23275,0.264138599,3251.040505,0.45780855,0,40.0,3
2/8/22,47,422480,518,Employed,Master,27,50214,84,Divorced,1,Rent,397,0.145101012,1,0,0.248193425,0,Home,0,29,10,1756,2081,55293,9842,17952.58333,0.632131932,2,45451,0.316214,0.257883351,1296.417456,0.09432723,1,39.2,81
1/31/22,70,75903,532,Employed,High School,45,113452,60,Single,4,Mortgage,613,0.230672197,3,2,0.129225067,0,Debt Consolidation,1,26,20,3305,3048,35754,32582,6325.25,0.337897438,5,3172,0.352452,0.373239739,4196.740164,0.760403172,0,56.0,85
7/15/39,27,62127,615,Unemployed,Bachelor,4,92888,24,Married,2,Mortgage,903,0.246558626,3,1,0.486821908,0,Other,0,18,19,4171,481,64119,6378,5177.25,0.878523982,5,57741,0.260388,0.263549382,5020.944429,1.144226072,0,54.0,64
7/15/34,49,126197,616,Employed,Master,26,115815,60,Married,2,Own,556,0.514982441,4,1,0.322913325,0,Other,0,19,16,9763,1946,172062,4030,10516.41667,0.901671514,3,168032,0.312815,0.324436965,3922.69059,0.425876107,0,46.0,197
10/12/55,57,260149,586,Employed,Bachelor,38,14921,12,Single,3,Rent,468,0.533150051,6,2,0.381630487,0,Home,0,22,2,773,403,10813,15254,21679.08333,0.921050396,4,7264,0.186921,0.219920004,1396.464294,0.086002912,1,45.6,75
10/21/26,61,144052,666,Self-Employed,Bachelor,40,15390,60,Divorced,2,Mortgage,228,0.255439606,1,1,0.185850738,0,Home,0,29,15,1341,1907,242196,25504,12004.33333,0.645686154,5,216692,0.18739,0.222708324,427.4282947,0.054599308,1,32.8,220
1/18/37,61,39654,585,Employed,Associate,42,184732,24,Single,0,Rent,586,0.102038785,2,2,0.128911382,0,Debt Consolidation,0,26,15,21416,1003,55695,48248,3304.5,0.709762681,4,7447,0.367232,0.358435093,10892.62952,3.473635806,0,50.0,63
8/7/39,47,114757,637,Employed,Bachelor,24,36175,72,Divorced,2,Rent,100,0.104069276,1,2,0.15887707,0,Debt Consolidation,0,23,11,15138,1207,419903,54452,9563.083333,0.846823759,7,365451,0.232675,0.24103139,954.6393228,0.110282352,1,31.2,221
4/4/30,34,235538,577,Employed,Doctorate,9,58552,60,Single,0,Other,318,0.046927838,3,1,0.533578846,0,Auto,0,18,29,4037,1219,135709,31662,19628.16667,0.951374358,3,104047,0.275052,0.247415561,1709.718427,0.103306563,1,40.8,124
