twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,20
1,1,0,0,1,0,1,0,1,2,2,0,0,6417.6,253.6,39.093333,79
0,1,0,0,1,1,0,0,1,2,1,5,3,6313.4,258.6,37.333333,3
0,1,0,0,1,0,0,0,0,2,1,5,6,6498.4,274.0,36.436667,0
1,1,0,1,0,0,1,0,1,1,0,5,6,46702.4,1675.6,26.187734,55
1,1,1,0,0,0,1,0,0,1,0,15,3,57852.8,1997.8,25.936963,68
1,1,0,0,1,0,0,1,1,4,0,0,0,5593.2,231.8,41.348,4
1,1,0,0,1,1,1,0,0,4,1,15,3,5255.8,227.0,44.786,41
1,1,0,0,1,0,0,1,0,3,1,0,0,5674.2,255.2,37.566667,48
0,1,0,0,1,0,0,0,0,4,0,5,6,5373.2,229.0,43.954,38
1,1,0,0,1,1,1,0,0,2,2,5,0,6293.2,294.8,36.186667,88
1,1,0,0,1,1,1,0,1,1,0,5,0,7921.8,299.6,28.336786,63
1,1,0,0,1,1,1,0,1,4,0,0,0,5293.4,224.0,45.98,43
1,1,0,0,1,1,1,0,1,3,2,15,0,5509.2,274.8,41.26,73
0,1,0,0,1,1,0,0,0,4,0,15,3,5289.8,278.6,41.788,42
1,1,0,0,1,1,1,0,1,4,0,15,6,5217.6,242.2,43.492,46
0,1,0,1,0,1,0,0,0,1,1,5,0,41577.2,1568.8,26.239652,12
0,1,0,0,1,0,0,0,0,1,1,5,3,8223.8,311.4,26.845,2
1,1,0,0,1,1,1,0,0,1,1,15,6,7777.4,335.4,27.797143,69
1,1,0,1,0,1,1,0,1,1,1,5,0,48956.0,1716.0,26.174507,60
1,1,0,0,1,1,1,0,1,4,2,15,0,5183.8,246.8,44.972,45
0,1,0,0,1,1,0,0,0,1,1,15,0,7677.8,317.2,32.65,53
0,1,0,0,1,1,0,0,1,3,0,5,3,5494.0,217.6,41.388,31
1,1,0,0,1,0,1,0,1,2,1,0,0,6498.4,264.0,37.174762,82
0,1,0,0,1,1,0,0,1,3,1,15,3,5794.0,247.4,39.560667,61
0,1,0,1,0,1,0,0,0,1,2,0,3,39393.4,1434.8,26.775385,34
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,19
