twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
1,1,1,0,0,0,1,0,0,1,0,15,3,57852.8,1997.8,25.936963,68
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,19
1,1,0,0,1,1,1,0,1,4,0,0,0,5293.4,224.0,45.98,43
0,1,0,0,1,1,0,0,1,3,0,5,3,5494.0,217.6,41.388,31
0,1,0,1,0,1,0,0,0,1,2,0,3,39393.4,1434.8,26.775385,34
0,1,0,0,1,0,0,0,0,1,1,5,3,8223.8,311.4,26.845,2
0,1,0,1,0,1,0,0,0,1,0,5,3,39590.4,1409.8,26.642449,8
1,1,0,0,1,1,1,0,0,1,1,15,6,7777.4,335.4,27.797143,69
1,1,0,1,0,1,1,0,1,1,1,0,6,49217.6,1733.4,26.150365,50
0,1,0,0,1,0,0,0,0,2,1,5,6,6498.4,274.0,36.436667,0
0,1,0,0,1,1,0,0,1,1,1,5,3,7779.4,333.0,32.1425,15
0,1,0,1,0,0,0,0,0,1,1,5,0,45337.0,1684.6,26.191555,17
1,1,0,1,0,0,1,0,1,1,0,5,6,46702.4,1675.6,26.187734,55
0,1,0,1,0,1,0,0,1,1,1,15,6,40949.4,1502.8,26.231707,54
0,1,0,0,1,1,0,0,1,4,1,15,3,5239.8,232.0,42.272,36
1,1,0,0,1,0,1,0,1,2,2,0,0,6417.6,253.6,39.093333,79
0,1,0,1,0,1,0,0,0,1,1,0,6,41471.2,1495.0,26.322439,57
1,1,0,0,1,0,0,1,0,3,1,0,0,5674.2,255.2,37.566667,48
0,1,0,0,1,1,0,0,1,1,0,5,6,7983.0,310.6,27.913571,35
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,20
1,1,0,0,1,0,0,1,1,4,0,0,0,5593.2,231.8,41.348,4
0,1,0,0,1,0,0,0,0,2,2,0,6,6313.8,305.4,37.1,84
1,1,0,0,1,1,1,0,1,1,1,0,0,7912.2,316.6,29.183929,10
1,1,0,0,1,1,1,0,1,4,0,15,6,5217.6,242.2,43.492,46
1,1,0,1,0,1,1,0,1,1,1,5,0,48956.0,1716.0,26.174507,60
1,1,0,0,1,1,1,0,0,4,1,15,3,5255.8,227.0,44.786,41
1,1,0,0,1,1,1,0,1,1,1,5,3,7838.8,313.6,31.0725,16
0,1,0,0,1,1,0,0,1,3,1,15,3,5794.0,247.4,39.560667,61
1,1,0,0,1,1,1,0,0,1,1,5,0,7819.2,317.2,30.201786,28
0,1,0,1,0,1,0,0,1,1,0,15,0,40244.0,1481.2,26.5375,47
0,1,0,0,1,0,0,0,0,4,0,5,6,5373.2,229.0,43.954,38
