twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
1,1,0,0,1,1,1,0,1,1,1,0,0,7912.2,316.6,29.183929,10
0,1,0,0,1,1,0,0,0,1,1,15,0,7677.8,317.2,32.65,53
1,1,0,0,1,1,1,0,0,4,1,15,3,5255.8,227.0,44.786,41
0,1,0,0,1,1,0,0,0,1,2,5,0,8037.8,298.6,30.325,9
0,1,0,0,1,0,0,0,0,1,1,5,3,8223.8,311.4,26.845,2
1,1,0,0,1,1,1,0,0,1,1,15,6,7777.4,335.4,27.797143,69
1,1,0,0,1,1,1,0,0,1,1,5,0,7819.2,317.2,30.201786,28
1,1,0,0,1,1,1,0,0,2,2,5,0,6293.2,294.8,36.186667,88
0,1,0,0,1,1,0,0,0,1,0,5,0,7836.2,316.8,27.336072,24
1,1,1,0,0,0,1,0,0,1,0,15,3,57852.8,1997.8,25.936963,68
0,1,0,0,1,1,0,0,1,1,0,5,6,7983.0,310.6,27.913571,35
