twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Performance-,Cpu-,_source_row
1,1,1,0,0,0,1,0,1,0,1,4,5,6,184816.2,3.421049,70
0,1,0,1,0,0,0,0,1,1,0,8,0,3,28470.8,7.510961,26
1,1,0,1,0,0,0,1,0,1,1,8,0,0,44046.4,6.505,53
0,1,0,1,0,0,0,0,0,1,1,1,0,0,45909.6,4.53087,43
1,1,0,1,0,0,1,0,1,0,1,8,5,6,89266.4,3.68248,55
0,1,1,0,0,1,0,0,0,0,1,8,0,6,122457.6,3.596954,30
0,1,0,1,0,1,0,0,1,0,0,4,15,3,50877.8,3.984227,32
0,1,1,0,0,1,0,0,0,0,1,1,0,0,122610.6,3.553838,56
1,1,1,0,0,1,1,0,0,0,1,8,15,0,168035.4,3.423692,17
1,1,0,1,0,1,1,0,0,0,1,8,0,3,79359.4,3.950726,39
1,1,1,0,0,1,0,1,1,0,1,2,0,0,139980.8,3.534245,58
1,1,1,0,0,1,1,0,1,0,1,8,0,3,165580.0,3.458215,14
1,1,0,1,0,1,0,1,1,0,1,4,0,0,66458.0,3.968182,25
1,1,0,1,0,1,0,1,1,1,0,8,0,0,40559.2,6.727622,10
1,1,1,0,0,0,0,1,0,0,0,4,0,0,150639.0,3.520168,59
0,1,0,1,0,0,0,0,0,0,1,4,0,3,45990.2,4.263546,38
0,1,0,1,0,1,0,0,0,1,0,8,15,3,31203.0,6.830484,31
1,1,0,1,0,1,0,1,0,1,1,2,0,0,40601.6,6.555854,41
1,1,0,1,0,1,1,0,0,0,1,4,0,3,79777.0,3.818269,0
0,1,0,1,0,0,0,0,1,1,0,4,5,6,28587.6,7.204483,22
1,1,0,1,0,0,1,0,1,0,1,1,15,0,84276.6,3.745723,21
0,1,0,1,0,0,0,0,1,1,1,4,5,6,28578.0,7.372734,9
0,1,0,1,0,0,0,0,1,1,1,4,15,0,28675.8,7.134015,18
0,1,0,1,0,0,0,0,1,1,1,2,15,6,28757.4,6.971035,13
0,1,0,1,0,0,0,0,0,1,0,8,15,6,28828.4,6.90138,49
