Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput-,Latency-,_source_row
3,100,1,120,10000000.0,100000.0,82.438,26910.0,19
3,100,1,120,2000000.0,100000.0,87.4,23256.0,18
1,10,2,10,10000000.0,100000.0,829.31,98.881,50
1,10,6,300,2000000.0,10000.0,34558.0,1.9466,9
3,100,1,300,10000000.0,100000.0,83.4,24896.0,22
3,10,1,300,2000000.0,100000.0,98.0,3007.2,31
1,10,2,300,2000000.0,100000.0,927.0,81.577,11
1,10,9,120,10000000.0,10000.0,33198.0,2.7953,30
1,10,2,60,10000000.0,100000.0,876.5,83.818,12
1,10,6,300,100000.0,10000.0,37138.0,1.9115,35
1,10,18,10,10000000.0,10000.0,32951.0,2.8242,28
1,10,2,1,2000000.0,100000.0,363.06,152.7,49
1,10,2,120,2000000.0,10000.0,8535.6,8.7319,0
1,10,2,1,2000000.0,10000.0,2127.8,23.5,48
