encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,Level,ProcessorCount,MaxRam,Performance-,Benchmark-cpu-,_source_row
1,0,0,0,0,0,0,1,1,1,2,6,14227.0,32.345714,66
0,0,0,0,0,0,0,0,1,6,3,6,12054.6,32.713333,31
1,0,0,0,0,0,0,1,0,3,3,18,14509.2,32.04,52
0,1,0,0,0,1,0,1,0,9,3,6,1650529.0,25.405164,56
1,1,0,1,0,0,0,0,1,1,1,18,28054.2,30.017143,18
1,1,0,0,0,1,0,0,1,1,3,6,223406.6,26.311659,16
1,1,1,0,0,0,0,1,0,2,1,18,71813.8,26.991318,80
0,1,0,0,0,0,1,0,0,2,1,2,63967.2,29.045625,74
1,0,0,0,0,0,0,0,0,2,2,6,14564.4,31.747238,65
1,1,0,0,0,1,0,1,0,7,1,18,705071.0,25.498153,17
0,1,0,0,0,1,0,1,0,1,2,6,218147.6,26.621107,58
1,1,0,1,0,0,0,0,0,2,1,6,30302.8,29.394258,71
0,1,0,0,1,0,0,1,0,2,2,18,9645.6,46.944,26
0,1,0,0,0,0,1,1,0,1,1,18,67616.4,27.131773,4
0,1,0,0,0,0,1,0,0,1,1,6,67457.2,27.566062,81
1,1,0,1,0,0,0,0,0,3,1,18,34931.0,29.195819,82
0,1,0,0,1,0,0,1,0,1,2,18,9702.2,46.794,45
0,1,0,0,0,1,0,1,0,5,3,2,684551.4,25.661477,51
1,1,0,0,1,0,0,1,1,1,1,18,14985.8,31.379714,37
0,1,1,0,0,0,0,0,1,2,1,6,66551.8,28.013492,70
0,1,0,0,1,0,0,0,0,2,2,18,9772.8,45.010889,10
0,0,0,0,0,0,0,1,0,1,3,18,10343.0,33.406,48
0,0,0,0,0,0,0,0,1,6,2,6,12019.2,32.843333,9
1,1,0,0,0,1,0,1,0,8,1,18,1651986.2,25.327496,75
0,1,0,0,0,1,0,1,0,1,1,18,224713.8,25.853438,33
0,1,0,0,0,1,0,0,0,1,1,18,225432.6,25.810571,5
0,0,0,0,0,0,0,0,1,1,3,18,10339.8,34.274182,49
0,1,0,0,0,1,0,1,0,1,1,6,218113.8,26.649652,19
0,0,0,0,0,0,0,1,0,2,4,18,10199.0,34.692,6
