num,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties+,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength+,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,_source_row
3564,4260,0,71,47,73,64,64,39,79,39,53,75,74,80,62,72,82,69,51,59,71,63,45,61,53,44,72,73,76,25,76,39,39,29,79,60,86,83,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,12
9073,10108,0,65,42,67,61,63,37,71,48,37,70,63,72,66,64,80,61,67,67,60,53,65,63,58,56,67,65,67,32,68,40,30,26,72,54,79,72,0,3,3,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,4
3453,4260,0,71,56,72,61,64,31,77,57,56,75,74,75,62,73,78,65,54,57,65,57,68,64,40,57,66,71,73,25,77,26,27,25,86,57,87,77,0,4,3,0,0,0,0,37,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,16
2716,3521,0,72,49,74,66,65,46,76,49,49,78,77,76,67,68,76,70,57,65,70,64,66,65,41,46,65,75,77,52,78,41,40,38,83,61,87,67,0,5,3,0,0,0,0,40,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,10
1890,2318,0,74,69,76,56,69,44,81,67,70,79,79,76,68,75,75,58,41,56,64,52,63,64,66,80,68,76,71,47,74,33,45,38,86,74,89,67,0,4,3,0,0,0,0,34,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,24
10869,12239,0,63,43,64,56,56,41,77,41,45,66,63,69,60,59,70,65,50,61,57,48,55,56,45,55,66,57,66,36,67,39,44,26,74,59,89,70,0,3,3,0,0,0,0,35,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,19
3115,3521,0,72,44,75,48,63,28,79,51,38,81,78,77,64,74,70,48,32,48,58,46,42,64,32,33,69,74,67,19,71,20,27,25,81,54,91,80,0,3,2,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,20
7135,7937,0,67,49,68,46,56,39,84,34,62,69,68,74,63,59,73,52,38,38,56,34,37,53,44,32,68,63,73,20,78,28,53,28,81,68,93,82,0,3,2,0,0,0,0,35,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,1
1688,2318,0,74,52,75,62,66,45,84,43,59,77,77,77,68,79,69,74,50,51,69,48,57,67,47,31,76,73,76,39,77,43,45,35,75,67,94,82,0,3,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,3
9645,10108,0,65,68,62,53,67,32,84,67,68,60,65,67,48,62,64,47,58,39,62,38,51,67,74,62,58,69,61,36,64,23,32,19,84,71,95,72,0,3,4,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269,8
