algorithm,dataset,input_files,merged_rows,pareto_rows,reference_rows,hv,spread,igd,mdh,output_file
NSGA2,accessories.csv,1,22,22,666,0.23917489361940533,0.39308077409361886,0.003119323729627091,1.1279445782475337,pass_3_outputs\accessories\NSGA2.csv
MOEAD,accessories.csv,1,7,7,666,0.15955906735033792,0.3661658871849676,0.02256759273616302,1.087459864551102,pass_3_outputs\accessories\MOEAD.csv
NSGA3,accessories.csv,1,7,7,666,0.23493604734735832,0.6438289072397518,0.05592347039298354,1.0809041812512437,pass_3_outputs\accessories\NSGA3.csv
UNSGA3,accessories.csv,1,7,7,666,0.23493604734735832,0.643828907239752,0.05592347039298354,1.0809041812512434,pass_3_outputs\accessories\UNSGA3.csv
RNSGA3,accessories.csv,1,2,2,666,0.2100000000000002,1.4142135623730951,0.6041027516807477,1.0,pass_3_outputs\accessories\RNSGA3.csv
RVEA,accessories.csv,1,7,7,666,0.6378446118208316,0.5812944002669787,0.045406739798445374,0.9962928678270311,pass_3_outputs\accessories\RVEA.csv
AGEMOEA,accessories.csv,1,24,24,666,0.2392004905171834,0.3667311405431647,0.0029987661070170254,1.128485399442211,pass_3_outputs\accessories\AGEMOEA.csv
AGEMOEA2,accessories.csv,1,24,24,666,0.22420198826412818,0.34954311101908636,0.004053761757813956,1.1286164920370398,pass_3_outputs\accessories\AGEMOEA2.csv
CTAEA,accessories.csv,1,9,9,666,0.22285559144100214,0.5281783190721384,0.0338475285150353,1.1112053210333703,pass_3_outputs\accessories\CTAEA.csv
NSGA2,all_players.csv,1,4,4,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.1060786185288338,pass_3_outputs\all_players\NSGA2.csv
MOEAD,all_players.csv,1,4,4,4,0.3683333333333335,0.5604063657179348,0.5287444986469565,0.9445364786513657,pass_3_outputs\all_players\MOEAD.csv
NSGA3,all_players.csv,1,4,4,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.1060786185288338,pass_3_outputs\all_players\NSGA3.csv
UNSGA3,all_players.csv,1,4,4,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.1060786185288338,pass_3_outputs\all_players\UNSGA3.csv
RNSGA3,all_players.csv,1,2,2,4,0.6083333333333335,0.7304869000270375,0.33135865130526226,0.7416666666666667,pass_3_outputs\all_players\RNSGA3.csv
RVEA,all_players.csv,1,10,10,4,0.6095689655172415,0.42730502352963146,0.39007173009818225,0.8229075274897589,pass_3_outputs\all_players\RVEA.csv
AGEMOEA,all_players.csv,1,4,4,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.106078618528834,pass_3_outputs\all_players\AGEMOEA.csv
AGEMOEA2,all_players.csv,1,4,4,4,0.20500000000000013,0.6123868854537418,0.5699958179226583,1.106078618528834,pass_3_outputs\all_players\AGEMOEA2.csv
CTAEA,all_players.csv,1,4,4,4,0.7452490421455941,0.44688551116577796,0.3378731370596842,0.7427843579848602,pass_3_outputs\all_players\CTAEA.csv
